CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	117982	131516	167509	167773	122149	134119	120367	141523	141523	123611	116518	130776	179871	189793	148130	166357	151664	147994	147806	103663	91553	97597	113290	113004	69494	57215	61370	75758	75758	82865	73502	75504	89865	89046	66544	78381	77938	85370	85652	69962	66859	70001	85570	97534	70865	82667	100833	88202	78878	68389	79661	79459	79459	83669	62903	41831
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	39608	31655	30491	30349	15901	36974	17562	28538	28538	10698	12898	10779	35002	40355	18093	4110	25774	28456	27189	1731	11732	10832	7582	7582	21981	23539	18924	8701	8701	10769	7293	13580	12026	12000	15798	18308	15481	12149	11799	13841	11836	7835	12715	12823	1637	5150	5255	3776	3376	7320	8437	4977	4977	3377	2481	4787
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7500	89	29	0	0	0	0	0	0	515	8	798	936	673	26	26	2	2	7006	3645	850	4859	3955	3934	3333	3035	2761	2638	2638	3392	3339	2034	3122	0	1498	1553	1479	1493	1843	739	0	432	100	0	0	5000	3550	0	400	0	0	0	0	0	3000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	63784	92992	128108	128468	86546	84619	81382	93972	92003	88681	93858	110432	105842	109498	83132	97362	84600	85828	79903	66344	68745	72710	89369	86088	33564	23173	27619	54348	51859	49379	42722	40765	60882	62082	31479	40005	39645	57883	58121	33993	36217	40553	55745	54999	36456	34041	58196	60891	53569	33315	29131	48245	48245	49550	38598	26581
Hàng tồn kho###Inventory	6353	6265	8744	8744	18181	8413	19702	17454	19423	23094	9217	8360	37694	38873	46377	63329	40568	33323	33323	31353	9772	8840	11454	11305	7129	6961	9639	9674	9674	15668	15369	13636	10332	8716	14293	13258	16015	10615	10658	17478	14640	17872	12668	22685	24085	29230	27384	17357	19993	23342	35814	17295	17295	15810	10538	6904
Tài sản ngắn hạn khác###Other Current Assets	738	515	136	211	1521	4112	1721	1559	1559	623	537	406	397	393	501	1531	720	385	385	591	453	356	931	4095	3487	508	2427	397	2886	3657	4779	5488	3503	2805	3475	5257	5317	3231	3231	3911	4166	3310	4342	7027	8686	9247	6448	6179	1540	4411	6280	8942	8942	14932	8286	3559
Tài sản dài hạn###Non-current Assets	7611	7842	7938	7747	8769	9246	9366	9544	9544	10584	9182	10220	10523	10085	8389	7543	7169	7728	7816	7642	7406	7114	7358	7379	7434	7539	7977	8369	8369	5624	5932	6083	6920	7237	7720	8216	9577	9930	9930	10262	10687	11712	12717	12926	13122	13618	11452	11592	12118	14167	12960	13700	13700	12386	9252	11335
Các khoản phải thu dài hạn###Long term Account Receivable	120	5	120	5	632	632	275	275	275	858	264	879	1246	818	803	519	334	334	825	827	449	27	27	0	0	27	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1872	2087	2287	2287	2550	2813	3096	3339	3339	3608	2828	3054	2879	2879	1211	1236	1342	1456	1456	1571	1683	1745	1902	1902	2001	2098	2295	2491	2491	3143	3063	3499	3939	3939	4324	4666	5495	6065	6065	6553	7174	7821	8453	8493	5859	7155	6057	6417	6385	7310	6512	7799	7799	7334	8378	10976
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-36859	-36599	-36759	-36759	-37693	-37439	-37781	-37546	-37546	-37286	-37061	-36844	-36608	-36608	-36679	-36578	-36472	-36366	-36366	-36575	-36470	-36340	-36241	-36241	-36082	-35915	-35743	-35571	-35571	-38597	-38276	-38204	-37810	-37810	-42111	-41656	-44006	-43362	-43362	-42825	-42530	-42740	-41979	-41979	-39084	-37691	-37601	-37227	-37240	-36229	-38307	-36788	-36788	-33728	-29661	-24439
