CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	350710	341516	333754	337808	305786	319604	273584	290340	295259	257499	271174	267375	312098	311854	313366	300835	307086	238515	240852	209151	223795	208220	219392	219405	182045	171697	157779	172996	173288	169111	152354	141415	154425	154881	167322	166112	91511	104222	103997	82293	76880	76476	105794	105794	99364	94401	92881	85257	85257	77236	69664	66323	73806	73806	37885	31253	42862	30593	30593	365781	28069	29089	18129
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	112787	76862	111406	111381	63052	77241	48573	84666	84646	53108	40511	31281	70638	70633	37893	45458	61017	45354	45350	27955	39213	13228	26842	23449	33238	15893	32608	36580	36580	39702	20544	36003	54255	54255	67333	43799	16621	26419	3419	1432	10489	1183	3382	3382	210	1422	2820	4762	4762	626	4225	4271	23358	23358	3872	507	841	2244	2244	35103	1219	2020	5886
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	668	668	668	634	634	7634	634	634	570	570	570	9604	9604	14064	13630	16002	7977	7977	15522	15522	7009	11209	14602	13729	12020	5500	4547	4547	5677	5511	2381	5292	5292	2292	0	0	0	23000	0	0	10000	1370	1370	1950	3270	8250	3200	3200	3228	7440	4000	5118	5118	0	1000	7800	1000	1000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	169566	181680	157488	161626	167330	168200	143016	157404	161501	146588	155779	167492	183862	183598	218079	202997	189290	153629	155381	123808	123670	127588	141623	141697	99129	105263	70938	88351	88351	78298	92358	61727	56936	57212	59528	80182	60424	70230	71068	63873	60938	58601	90303	90303	84255	67529	67019	63093	63093	57431	43311	48103	41162	41162	32345	24846	31517	22228	22228	97066	21476	23548	10391
Hàng tồn kho###Inventory	66842	80507	63823	63807	74008	72492	72485	47319	46868	55511	73674	66986	47688	47713	42359	38300	39441	30551	30799	40670	43877	58788	39570	39509	35711	38479	47865	41868	42160	43205	32133	38436	35129	35308	35415	40165	8289	6932	5869	4009	4887	5199	10319	10319	10280	19509	11309	12299	12299	12431	10804	7944	2525	2525	944	4214	1447	4440	4440	230093	5051	3025	1007
Tài sản ngắn hạn khác###Other Current Assets	1515	1798	368	326	762	1038	1875	317	1609	1721	640	1045	306	306	970	450	1336	1004	1345	1196	1514	1608	149	149	238	42	868	1650	1650	2228	1808	2868	2813	2813	2754	1967	6177	641	641	12980	566	1494	421	421	2670	2672	3483	1904	1904	3520	3884	2006	1642	1642	724	685	1257	680	680	3519	322	496	845
Tài sản dài hạn###Non-current Assets	306487	296951	304543	304594	298342	285717	271625	260826	259333	251836	252867	224956	226879	226878	202327	179275	182024	181105	182289	181506	169427	167536	164134	164138	125939	117160	106527	96060	96001	90603	91800	97283	101205	101187	103771	98302	52446	50721	50721	34622	35919	33562	34132	34132	35842	36626	39156	42379	42379	45714	49052	53619	53951	53951	45525	45447	31547	30056	30056	269925	12289	14537	12588
Các khoản phải thu dài hạn###Long term Account Receivable	1648	1648	1355	1355	1355	1355	1355	1297	1297	1297	1286	1286	1065	1065	1065	1065	1245	1152	1152	1152	1132	1132	881	881	716	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38020	0	0	0
Tài sản cố định ###Fixed assets	265361	263301	269307	269307	261568	247459	220656	214232	212573	207017	213456	187283	188130	188128	178259	152962	156463	139361	140912	135288	132491	130449	129855	129855	122497	112575	103805	92927	0	88056	88845	91405	96802	96808	98923	93507	18272	18550	18550	16742	18358	20121	21916	21916	23456	25426	27415	29586	29586	31895	35126	37263	36488	36488	28668	24768	25228	25928	25928	28571	9899	12937	10988
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-373700	-364985	-350971	-350976	-344425	-333797	-324090	-316049	-316025	-306099	-295343	-286008	-277178	-277179	-267821	-258333	-257906	-253019	-253068	-246128	-239971	-233762	-226578	-226578	-190214	-182502	-177644	-178559	-178559	-172824	-168329	-161830	-155325	-155319	-150422	-145270	-45816	-43912	-43912	-42066	-40441	-38678	-36883	-36883	-35055	-33085	-31392	-29722	-29722	-27413	-25427	-22944	-20457	-20457	0	0	0	0	0	0	0	0	0
