CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	274437	631295	231684	231391	187332	167321	165042	182955	182955	181844	196734	185254	211973	212025	180160	199229	193904	188556	188556	183231	189180	181412	183462	183469	177518	177789	209524	255594	255451	189966	184851	173932	191977	192111	172597	150795	153175	176147	175820	170947	180176	186081	197166	188793	243936	190641	149633	145539	140098	145077	111854	102863	124026	123650	133873	102006	102555	115473	115473	143259	140054	101080	142909	142909	82794	69293	56107	66128	67722	64542	63476
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	45539	35526	44691	44691	10149	37221	20270	15408	15408	17627	18706	17645	15948	15948	6704	21820	26728	19266	19266	7268	13881	10452	4849	4849	15634	10348	6314	6271	6271	8777	6338	4491	11867	11867	5628	3160	5072	5622	5622	5456	6126	8642	12900	12900	14165	2068	16519	9321	9321	5138	2445	15449	25918	6418	3431	6476	1058	1162	1162	3302	4802	2030	47748	47748	2342	1398	721	1685	1689	1231	621
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	79000	58000	43000	43000	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5486	5486	5486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	21500	29000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	50811	439347	64884	64591	47120	42294	52975	63003	63003	49262	55661	60941	73283	73336	52542	49993	55931	63682	63682	64437	57302	66719	66902	66909	58371	48249	102315	108103	108103	56861	47050	47616	49428	50749	52395	46639	41103	53243	53243	30829	36862	32123	35952	40335	47496	39050	32487	32052	34636	35072	26383	23397	27519	28467	22911	17497	18144	21515	21510	20758	17668	15269	20710	20710	13953	15632	13004	17910	19499	14791	18907
Hàng tồn kho###Inventory	97600	93989	77858	77858	97339	86787	91124	103344	103344	113331	121199	105912	121329	121329	119061	123930	110409	104334	104334	109994	114589	102573	110436	110436	102465	117056	97107	131744	131744	116994	123563	114940	129436	128187	111837	97659	93020	108146	107818	125362	127124	135295	146313	133517	168073	127166	97865	103242	94921	95918	81547	62789	67875	60815	73690	74512	82464	92531	92531	117066	107654	74959	72156	72156	63073	51336	41756	46122	46122	47688	43901
Tài sản ngắn hạn khác###Other Current Assets	1487	4433	1252	1252	2725	1019	673	1200	1200	1623	1169	756	1413	1413	1853	3485	836	1273	1273	1531	3408	1668	1274	1274	1049	2136	3787	9477	9334	1847	2414	1398	1247	1309	2736	3337	13979	9136	9136	9301	10064	10020	2001	2041	14203	22357	2762	924	1220	8948	1479	1228	714	6450	4842	521	888	266	270	2133	9930	8821	2294	2294	3427	927	626	411	411	831	46
Tài sản dài hạn###Non-current Assets	59334	63827	68226	68220	71974	76081	79636	82236	82236	85887	87173	94449	100831	100831	101915	108076	112959	119507	119507	124492	131254	137964	144044	144044	149318	155554	112141	116327	116379	116466	120994	125708	129060	128935	133045	136186	111435	99759	99759	102825	105932	109478	107887	107887	75136	77982	79409	82552	83860	74254	75606	76976	77953	77953	79352	82539	85787	89313	89313	90510	84551	83057	83949	83949	34103	24588	23565	25716	25716	27436	35056
Các khoản phải thu dài hạn###Long term Account Receivable	5	15	15	10	10	10	10	10	10	10	10	1010	1010	1010	1010	1010	1010	1010	1010	1321	1321	1353	1353	1353	1353	1353	1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	56912	60581	64519	64519	67687	71742	74977	78522	78522	82703	83973	89829	95856	95856	96417	101848	107729	113576	113576	118084	123966	129812	135803	135803	140246	145659	101874	106067	105559	108568	113199	117795	122092	122092	126900	130197	107298	95471	95610	98545	101964	105767	106140	106140	73576	76389	78229	79340	82680	72574	73926	75701	76678	76678	78187	81374	84797	88323	88323	88538	82579	81085	81977	81977	32131	24588	23565	25716	25716	27436	35056
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-291742	-287690	-283676	-283676	-279611	-275556	-271473	-267395	-267395	-263147	-258747	-238508	-233706	-233706	-230301	-225653	-220998	-216320	-216320	-211678	-207334	-201755	-197063	-197063	-192561	-188020	-183386	-178788	-178788	-174225	-169586	-164923	-160258	-160258	-155522	-150814	-147853	-144500	-144500	-140883	-137036	-133305	-129583	-129583	-126890	-123981	-120907	-117407	-117407	-114054	-110660	-107381	-104073	-104073	0	-97334	-93911	-90381	-90381	-86067	-82499	-81848	-79751	-79751	-77809	-75824	-73766	-71189	-71189	0	0
