CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	621032	540006	521825	521273	457631	417129	466376	451457	451456	419371	372656	388555	305571	305571	269948	234632	293567	248321	248383	293493	266676	299195	262773	262773	323631	272994	288547	430339	430339	233780	183847	308061	293284	213239	278203	238141	336545	239711	309495	252397	369600	333188	344466	361036	369257	431558	350631	350526	354377	340218	442171	348533	355800	434094	335870	424581	395388	395544	495679	340076	425735	520202	520202	299067	246538	206432	388256	376574	373709	358761	371156
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	225118	104351	175084	174605	216693	179894	246927	266396	266396	239525	226248	252653	132739	132739	135688	98369	87243	63503	63503	109489	108967	144524	121856	121856	172080	105549	125337	211228	211228	89609	26987	136875	49635	49635	106423	34879	114561	44072	68944	32697	87414	59835	59835	84212	87404	99648	58089	58089	32717	50942	55388	14183	14183	102605	49545	158351	146243	146243	156758	52517	194483	265048	265048	43510	22551	63587	156929	16929	56563	41501	162618
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	275000	255000	205000	205000	85000	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819	538	580	580	563	606	2848	70717	70717	589	589	538	80583	583	391	391	418	418	1301	1307	1222	2707	2707	3394	3294	4311	5287	5303	5438	6328	6716	6475	14745	9622	-680	22407	24472	24453	37368	48118	47952	84969	84969	74687	70619	10211	33251	173251	198149	177630	10013
Các khoản phải thu ngắn hạn###Short term Account Receivables	53946	110428	70760	70760	69950	111941	128860	96050	96050	109803	64409	61102	65946	65946	42391	41233	94343	89666	84708	82084	69063	66517	57254	57254	58851	80148	70174	59830	59830	52723	61571	69386	62009	62494	53968	72647	92290	74517	106297	92362	107054	135229	146760	134437	162416	196552	163680	163073	152145	125812	201668	159298	162683	147525	143360	111798	98519	98694	94245	115349	98152	90790	90790	98565	78970	66119	54821	54821	35996	62111	116794
Hàng tồn kho###Inventory	63552	65538	69795	69721	80350	83892	85070	86578	86578	64207	80285	69176	75621	75621	76862	76993	87268	94128	99149	96747	83892	83114	82209	82209	86196	84037	86422	83913	83913	86894	90085	94076	97275	96755	91799	106842	104099	97747	106094	101531	145791	109168	108916	109527	89751	104120	97299	94474	134442	129058	147612	137195	132807	131875	113948	104590	95896	95896	103406	98116	77002	75275	75275	75169	69357	62100	64232	52549	79553	74927	79493
Tài sản ngắn hạn khác###Other Current Assets	3417	4690	1186	1186	5638	1402	5520	2433	2433	5836	1714	5624	31265	31265	15007	18037	24713	1023	1023	5173	3935	4502	873	873	5942	2655	3767	4651	4651	3966	4617	7188	3783	3773	25622	23382	25178	22958	26859	24499	28120	26249	26249	29466	26392	26928	26276	29586	29635	28079	30788	31382	31382	42465	29696	27435	30258	30258	103902	25975	8146	4119	4119	7136	5041	4415	79023	79023	3445	2590	2238
Tài sản dài hạn###Non-current Assets	840989	875782	914906	914906	937006	977475	1028675	1092016	1092016	1138817	1187856	1238361	1282535	1282535	1331259	1372370	1414963	1459024	1457911	1502982	1536721	1227194	1255295	1258059	1278242	1308917	1337387	1370883	1370883	1398809	1445349	1467329	1499708	1578315	1632957	1669715	1702455	1717126	1738432	1754095	1796265	1807685	1796698	1790910	1801929	1807402	1813706	1824287	1827048	1884435	1858894	1885218	1885218	1912414	1921426	1043188	1051964	1050771	1065774	1070025	1095658	1034077	1034077	1036156	1045136	1067488	301941	313623	315624	328416	351536
Các khoản phải thu dài hạn###Long term Account Receivable	4171	4206	3634	3634	3243	3255	1259	1234	1234	1241	1247	2626	2725	2725	2822	2822	2820	2771	2771	2701	2643	2642	2660	2660	0	0	2385	0	0	0	0	0	0	0	46	47	47	46	109	109	0	108	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	39	0
Tài sản cố định ###Fixed assets	570134	588783	624743	624743	661285	697397	733421	804753	804753	848239	888452	931362	970494	970494	1013797	1059124	1102576	1146028	1146028	1189498	748060	781150	812656	812656	841443	872890	904419	1073874	935955	971746	1010067	1048286	1334965	1334965	1371413	1406749	1436866	1240166	1588275	1603581	1643480	1392203	1640970	1633081	1634521	1734879	1641670	1738114	1759893	1796382	1772022	1798283	1798283	1792707	1802671	926822	935115	935092	960520	962281	989667	1001047	1001047	1008806	1020304	1043648	298818	310500	310623	323679	349236
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1654839	-1939440	-1903479	-1903638	-1867605	-1831493	-1794851	-1768597	-1768597	-1725178	-1681779	-1639505	-1596698	-1596698	-1553603	-1511734	-1468349	-1425242	-1425242	-1381922	-1338554	-1308932	-1277901	-1277901	-1246587	-1215491	-1184056	-1152616	-1152616	-1116919	-1078839	-1040715	-1002571	-1002571	-964545	-927298	-892142	-854229	-811663	-773419	-803168	-764854	-764854	-727399	-689303	-653818	-614783	-615284	-750600	-709673	-682151	-640713	-640713	0	-555805	-516719	-493437	0	-470341	-449680	-427431	-404191	-404191	-410415	0	-361209	-343869	-343869	0	0	0
