CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008
Tài sản ngắn hạn###Current Assets	38995	17056	16421	16421	28375	17668	33483	18052	25917	26626	26430	28429	25695	26146	32953	32312	38424	44612	44612	37231	38505	45664	47676	47676	62432	41897	39623	51501	51501	57665	56199	72381	53851	54846	57833	53981	55004	55904	64904	50676	54280	58943	68314	65220	59422	69446	0	60998	60998	62083	62083	64065
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	440	456	677	677	460	281	3305	747	748	1883	1073	858	698	698	1055	622	1058	628	628	329	329	369	449	449	383	661	21882	663	663	1072	1741	742	448	448	633	617	1644	1146	1146	1121	672	334	226	226	1336	887	0	1408	1408	2381	2381	376
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5613	2446	2446	2446	3073	3450	3606	3995	3995	3871	3626	6671	4550	4550	5183	5057	2452	2224	2224	2457	2395	2623	3421	3421	2623	2623	2623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	32940	13928	13176	13176	24399	13637	25598	12881	20746	18980	19083	18385	17878	18025	23967	22649	25957	30779	30779	21582	21994	28400	28502	28502	39394	28880	6426	42753	42753	47397	46452	58290	45467	46875	48911	22220	46051	47938	56938	43148	40483	45354	48571	45477	37588	45927	39294	37754	37754	30100	30100	27949
Hàng tồn kho###Inventory	0	226	85	85	442	298	972	426	426	1852	2481	2455	2465	2483	2499	3947	8876	10969	10969	12862	13740	14104	14871	14871	18868	9554	8599	7987	7987	9084	7870	12301	7244	7244	8045	29111	7125	6630	6630	6198	12889	12981	19180	19180	20196	22435	0	21085	21085	29525	29525	35119
Tài sản ngắn hạn khác###Other Current Assets	2	0	36	36	1	2	3	3	2	39	167	60	105	390	249	37	81	12	12	0	48	169	433	433	1164	179	93	98	98	112	135	1048	692	279	243	2033	184	190	190	208	235	274	337	337	302	196	0	750	750	77	77	621
Tài sản dài hạn###Non-current Assets	113183	126115	126359	126332	119697	119941	110946	114848	104378	104194	104423	103073	103315	102238	102555	102882	105238	105581	105656	106037	106409	106335	106716	104655	105035	104966	104714	76512	76362	73174	73625	73079	73379	74488	76077	76495	75372	75371	75270	81014	80919	82585	82705	82705	83556	73891	0	74018	74018	52996	52996	49585
Các khoản phải thu dài hạn###Long term Account Receivable	1513	14400	14400	14400	12887	12887	4300	8000	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	441	465	489	489	512	536	560	584	584	612	642	672	702	702	739	780	829	887	887	1020	19975	1201	1296	1296	1391	1487	21878	22258	22258	22640	23022	23415	23715	23715	23843	24251	24697	2245	24687	24826	24717	24516	2821	24620	24631	19104	0	3299	16289	3700	3700	4068
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-10686	-10888	-10864	-10864	-10840	-10817	-10793	-10769	-10769	-10741	-10711	-10681	-10651	-10651	-10614	-10572	-10524	-10466	-10466	-10429	-10343	-10248	-10153	-10153	-10057	-9962	-12436	-12056	-12056	-11674	-11292	-10899	-10503	-10503	-10089	-9680	-9785	-9372	-9372	-9235	-9097	-8955	-8808	-8808	-8658	-8506	0	-8196	-8196	-7733	-7733	-7428
