CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	288019	246998	232601	232600	235956	233387	224106	243583	239597	238106	231373	263092	262778	262975	269202	253993	259414	247581	247581	238088	233702	233573	252054	252054	245098	238532	231301	245153	245153	170844	149959	140639	138053	138053	138575	125577	116108	125612	125612	89226	115347	112722	109259	109259	97506	88676	86973	99467	99467	105360	90330	82857	84894	85188	86595	78717	70494	71808	71507	47067
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	59904	57825	74035	74035	76643	67489	59761	61800	61800	58408	66109	124414	123008	123008	121748	116299	137240	129341	129341	130810	124577	118753	133330	133330	88262	118514	128733	140920	140920	30836	27519	31158	42537	42537	39787	35108	40027	52804	52804	38171	36175	35072	35164	35164	30666	23903	28427	42901	42900	30920	24784	28374	33763	36763	23858	30215	28197	31026	37362	23157
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	900	0	0	0	0	0	0	0	620	620	620	0	2000	400	0	0	0	0	0	0	0	0	0	0	3000	0	5000	5000	5000	5000	5000	5000
Các khoản phải thu ngắn hạn###Short term Account Receivables	226519	187639	157671	157670	157782	163913	161314	179192	175205	174890	161104	133395	139512	139512	145324	134103	116501	117981	117981	105054	105546	110149	118711	118711	155239	116836	97516	98870	98870	133679	115633	104053	91490	91490	90638	81414	70970	68569	68569	44535	73844	72313	68384	68384	60845	58670	53600	52118	52118	69252	58181	50502	45135	45429	51650	37821	32394	32105	26042	15779
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	768	1534	894	894	1531	1985	3031	2591	2591	4808	4160	5283	258	455	2130	3591	5674	259	259	2224	3579	4671	13	13	1596	3183	5052	4462	4462	6329	6807	5427	4025	4025	8150	9055	4491	3619	3619	6520	3327	4937	5711	5711	5995	6104	4946	4449	4449	5187	7364	3981	2996	2996	6087	5681	4897	3677	3102	3131
Tài sản dài hạn###Non-current Assets	107925	110645	108301	108031	104980	106546	108418	110574	114561	114151	111988	77042	78036	77838	86475	89241	87703	86852	86852	88034	86271	87083	86820	86820	85949	76716	87379	62872	62872	85752	89059	91228	80785	80785	81560	80120	84247	56968	56968	57463	54341	56804	58415	58415	53680	54627	54045	54767	54767	54127	52474	52848	53273	53273	52836	54855	51511	52038	46284	26301
Các khoản phải thu dài hạn###Long term Account Receivable	2438	2415	2490	2490	3177	4164	4346	6371	10357	10025	9838	9275	9087	9087	16667	16667	16662	16634	16634	16632	16517	16547	16451	16451	16245	15795	15815	0	0	0	0	0	0	0	0	0	0	0	0	7714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	49307	49283	47832	47562	48183	48281	33398	33552	33552	34109	34799	9308	10014	10014	9511	10303	11105	11925	11925	12765	12096	9718	10481	10481	9035	9234	9230	9261	9261	9915	10333	11117	11844	11844	12535	12496	13593	13761	13761	10483	15276	16015	16670	16670	16741	17522	18148	18866	18866	18230	16841	16994	17475	17475	17316	17241	13978	14502	10237	5677
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-30544	-30672	-30058	-30058	-32020	-31768	-31013	-31265	-31265	-31100	-31859	-31212	-30502	-30502	-30049	-29752	-28950	-28130	-28130	-27265	-26460	-25692	-24937	-24937	-24554	-24141	-23322	-22573	-22573	-21795	-21473	-20682	-19892	-19892	-19085	-18321	-19085	-18278	-18278	-14208	-16730	-15981	-15197	-15197	-14586	-13951	-13183	-12406	-12406	-11649	-11267	-10662	-10061	-10061	-9468	0	-8928	-8405	-6477	-5349
