CAN DOI KE TOAN	Q3 2019	 2018	 2017	Q2 2017	 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	49744	41332	56555	57261	68169	87068	91741	88863	88863	134806	203595	221449	147140	147140	393291	837233	682026	637990	642990	816538	775215	1011994	758670	758585	879272	963685	920750	446596	445926	647830	687052	663308	438446	442480	734117	522968	464453	322843	149636	146872	103550
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7256	6369	8627	9110	10842	3165	8273	4700	4700	8637	16013	11272	10233	10233	11942	89157	141045	266066	266066	175050	31371	75574	280866	280866	222411	331295	219255	133299	133299	49568	114275	218127	70321	70321	449909	305742	81433	31173	14947	14742	80726
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7301	1	2	1	1	1	1	1	1	1	1	1	1	1	172830	334220	162405	1043	1043	43792	2825	1008	2891	2891	2962	986	15797	10855	10855	1397	48743	2272	37272	37272	37399	1926	1926	1926	1152	888	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	34913	34752	47625	47904	54933	79230	78279	80755	80755	90168	114372	153124	126605	126604	177992	271613	206559	217597	222597	284872	362347	400617	207746	207746	331408	281862	327023	156509	155840	192035	311669	247103	213989	218017	87437	75469	118010	50391	69494	122978	15873
Hàng tồn kho###Inventory	0	0	0	41	2113	3240	3846	1869	1869	35492	72351	54467	9054	9054	26060	136017	167549	147841	147841	301952	370650	517720	232702	232702	304676	334954	343724	142596	142596	387715	181123	163508	105399	105399	135715	114279	250427	224759	41504	7714	1886
Tài sản ngắn hạn khác###Other Current Assets	273	210	301	205	279	1431	1341	1538	1538	508	858	2584	1247	1247	4468	6226	4469	5443	5443	10872	8022	17075	34465	34380	17814	14589	14950	3337	3337	17114	31242	32297	11466	11472	23657	25551	12656	14593	22538	550	5065
Tài sản dài hạn###Non-current Assets	39835	48849	67484	80365	85149	96765	97549	104433	104404	110578	112008	201659	205897	222447	212531	214216	218514	223519	218731	222076	225982	226356	228774	226751	135978	142430	136566	136616	136616	127435	121008	130344	108635	108635	112002	112133	112570	114239	110623	89531	59838
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-924	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	35164	38903	44942	58532	61646	72411	74331	75834	75834	80602	83992	170587	175357	174533	178480	182311	186257	192754	192754	196176	199882	203059	207346	207346	107833	109859	107250	104718	107499	98409	92514	85977	84228	84289	85803	86031	86468	88097	88170	64528	48258
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-48826	-46202	-52478	-58343	-55274	-69543	-67645	-65738	-65738	-64842	-65868	-78663	-75471	-75471	-73480	-76375	-72940	-73060	-73060	-69927	-65955	-64429	-60248	-60248	-57964	-55683	-54168	-52006	-52006	-51398	-49351	-47900	-46037	-46037	-48941	-47004	-45151	-43276	-36274	-30120	-25542
