CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	 2010
Tài sản ngắn hạn###Current Assets	1190889	1412617	1481693	1481693	1400509	1501034	1541339	1370443	1370531	1338821	1243002	1373470	1281818	1279262	1155193	1138152	1230815	1169529	1169450	1088993	1023012	964218	1060464	1060464	940117	902921	831468	845606	845606	956612	956612	937666	937666	760792	760792	564761
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	96022	76948	164544	164544	199670	267835	345677	199874	199874	260585	233815	410787	547111	547109	486416	463047	572063	489856	489856	555773	528985	453161	508015	508015	420047	408278	398687	405609	405609	466596	466596	342036	342036	362429	362429	167753
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	453644	638644	668644	668644	657644	641000	627000	597000	597000	597000	552000	492000	272000	272000	252000	252000	252000	72000	72000	84907	99114	124852	122852	122852	102852	96852	28852	28852	28852	106852	106852	170332	170332	36145	36145	46398
Các khoản phải thu ngắn hạn###Short term Account Receivables	146015	153566	159773	159773	220703	220751	155167	169449	167775	131881	140902	132068	134952	133002	163479	154514	132641	293708	293626	199421	151509	130461	168792	168792	183229	178576	154089	165016	165016	131604	131604	138210	138210	64968	64968	82836
Hàng tồn kho###Inventory	372322	417181	387693	387693	239625	292098	341669	340343	340343	288720	259695	293630	285872	285872	216671	241038	251988	293610	293613	211897	216675	228270	253409	253409	215700	200319	233184	223451	223451	238931	238931	268190	268190	259871	259871	228611
Tài sản ngắn hạn khác###Other Current Assets	122887	126278	101040	101040	82867	79350	71826	63777	65538	60635	56591	44985	41883	41279	36628	27554	22123	20355	20355	36995	26729	27474	7396	7396	18290	18896	16657	22678	22678	12631	12631	18898	18898	37379	37379	39163
Tài sản dài hạn###Non-current Assets	837105	852848	865693	865693	830962	836618	836812	843048	843363	846225	844569	856732	867959	873410	866977	864551	867806	854340	854143	896511	917679	920818	932504	932504	1403808	1422176	1114085	1128028	1128028	606781	606781	633421	633421	726184	726184	827112
Các khoản phải thu dài hạn###Long term Account Receivable	237326	240567	239365	239365	253739	254242	253973	254229	254229	253425	253186	255398	254939	254939	252904	250836	252874	252588	212885	211441	211324	205991	205611	205611	448409	448400	430085	396436	396436	0	0	78828	78828	0	0	30040
Tài sản cố định ###Fixed assets	210421	215839	229709	229709	174884	183160	196465	203861	203861	199183	210671	223055	233143	233143	240777	240099	245151	231747	231747	198327	193468	213300	222726	222726	210621	238722	256646	277527	277527	190829	190829	96642	96642	87518	87518	94845
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-324214	-313610	-355497	-355497	-347651	-359959	-354489	-342225	-342225	-338104	-350520	-333421	-336840	-336840	-325842	-314173	-309336	-298155	-298155	-287471	-304399	-293966	-285214	-285214	-303709	-302844	-284507	-263909	-263909	-274019	-274019	-257379	-257379	-246414	-246414	-228268
