CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	2353728	2215634	2172178	2171034	2092337	1818372	2005320	2054262	2059832	2010765	2261464	2367410	2230071	2233864	2133286	2137202	1777715	1666092	1666001	1657848	1648680	1452850	1541692	1541951	1606791	1662092	1581869	1608489	1608489	1511299	1557292	1494094	1466042	1464821	1341873	1303445	1388531	1314039	1313795	1177286	1133047	1189141	1060332	1058967	957693	1156080	1209454	829556	838291	745331	688177	810168	771414	774429	937410	624352	724515	724255	493437
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	97135	148105	62581	63081	160811	79366	61742	77424	77446	50923	38472	32827	33449	33324	57402	163155	43189	30960	30960	80443	199885	74109	123751	123751	60658	147649	28463	40414	40414	64093	73309	44910	35295	35295	21070	36180	28204	30416	30416	29603	24170	26277	42504	42504	24138	30324	101282	63239	63239	99142	70554	127252	46047	46514	113722	162441	93164	110693	99514
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17750	18920	18920	18920	186150	1350	11350	11350	1350	57850	1350	1900	1900	0	40000	0	0	0	0	0	20000	30000	30000	30000	30000	50000	50000	50000	234500	10681	11669	38480	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	961990	808808	810601	808956	820795	649442	767921	769645	765595	777310	966369	878945	804744	803411	920328	912104	800619	629612	629615	732673	660277	584700	539406	539556	670507	624894	505061	457691	457691	448070	494049	539006	399449	398228	552973	546816	575326	420782	420508	455073	422847	346156	285464	284822	335255	417669	348936	280042	287087	168934	159234	150464	176526	179880	110902	98867	104686	127803	77088
Hàng tồn kho###Inventory	1201386	1173424	1224138	1224138	1020103	976347	1070863	1124607	1122620	1098537	1180452	1383943	1328301	1328303	1114371	1025861	910880	982372	982372	826551	779022	792275	875709	875709	870698	885300	1009236	1073706	1073706	951654	786495	831106	894932	894932	674923	611351	756573	836647	836647	679316	630647	785387	707032	706756	581728	676580	707123	451968	451968	440965	418922	476951	491042	491042	453435	340632	491055	429419	312653
Tài sản ngắn hạn khác###Other Current Assets	93218	85297	74858	74858	90628	113218	104794	82586	94170	83995	76172	71696	63577	68826	41184	36081	23026	23148	23053	18181	9497	1765	2826	2935	4928	4250	21359	17758	17758	28562	17289	77721	125015	125015	91557	51247	27079	24295	24324	13294	15383	31322	25331	24885	16573	31507	32113	4308	5998	6290	9467	5501	7799	6994	24852	11730	23942	17861	4181
Tài sản dài hạn###Non-current Assets	1569788	1607544	1643844	1644769	1684788	1731340	1777004	1808610	1809973	1816337	1780394	1798416	1790349	1785481	1709204	1713061	1729445	1709361	1708417	1572861	1586839	1587180	1603393	1603393	1622560	1611820	1767981	1822108	1822108	1762852	1737120	1575237	1454755	1454755	1217662	977860	706010	533012	533012	467805	454984	459834	466821	462904	468696	338123	341999	351731	341169	346629	361498	376871	390943	389256	388524	378336	426694	258509	252880
Các khoản phải thu dài hạn###Long term Account Receivable	9795	10438	12348	12348	12348	12567	12567	11834	11834	12024	11608	10215	6710	6710	5940	5940	4313	2403	2403	2403	2183	2643	2643	2643	2654	795	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1495466	1534773	1576584	1577024	1594779	1636286	1684339	1717670	1718544	1651072	1632962	1621050	1617553	1617242	1530875	1551194	1548585	1507242	1507242	1464438	1480886	1459602	1492113	1492113	1517859	1528456	1700348	1794717	1727716	1456459	309307	1559815	1440373	1440373	1193324	953345	673182	357347	482162	419613	406525	411592	400477	414668	409509	278788	284796	283050	294032	296380	310254	323725	338310	336623	337875	326804	349836	234280	235354
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1636973	-1598523	-1548708	-1548765	-1498710	-1452802	-1403845	-1366687	-1366680	-1325256	-1299562	-1248855	-1213220	-1213530	-1183181	-1142630	-1101730	-1069479	-1069479	-1026103	-983187	-930654	-886494	-886494	-832355	-795348	-751456	-712349	-712349	-649306	-611220	-594767	-581319	-581319	-569183	-554132	-539327	-524642	-524642	-508010	-493943	-479019	-464612	-464612	-456457	-440504	-425611	-412990	-410098	-394163	-378924	-329683	-314991	-313300	-295205	-276624	-241631	-205084	-156341
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-31072	-29582	-29589	-29589	-25688	-22939	-18959	-15250	-15250	-11541	-13292	-11703	-8646	-8646	-6500	-4878	-3667	-2902	-2902	-1534	-1324	-11162	-10386	-10386	-9732	-8982	-8232	-7482	-7482	-6692	-5911	-8048	-7280	-7280	-6365	-5744	-4976	-4208	-4208	-5645	-4721	-3568	-3289	-3289	-3041	-2774	-2356	-2175	-2175	-15657	-14422	-42701	-40921	-40849	-39034	-37034	-33287	-34581	-23828
