CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2014	Q4 2014	Q2 2014	 2013	Q4 2013
Tài sản ngắn hạn###Current Assets	614443	543700	668146	682508	547749	577580	599255	642801	644745	560066	590419	634984	759726	757580	563882	540284	489685	630613	630613	548692	544660	686222	686222	468036	606092	607681
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	158215	128114	102194	102154	145231	167256	176604	149732	149732	194624	249673	274786	297467	297452	222348	210526	197939	240311	240311	147975	157598	107371	107371	54640	172404	172404
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5000	5000	25000	25000	25000	25000	42000	37000	37000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	314641	240623	470976	472595	197963	196567	219886	389583	391528	219004	168921	191385	393074	394681	189244	193166	191118	323931	323931	353857	303414	479490	479490	167361	297685	297685
Hàng tồn kho###Inventory	129536	142422	69793	82577	167401	177449	137046	66218	66218	137027	157585	143171	66907	65223	144086	128063	81642	65032	65032	37952	70229	12998	12998	63478	21098	21098
Tài sản ngắn hạn khác###Other Current Assets	7051	27542	182	182	12153	11307	23719	267	267	9412	14240	25641	2278	223	8205	8529	18986	1338	1338	8908	13419	86363	86363	182557	114905	116493
Tài sản dài hạn###Non-current Assets	197679	200132	201167	201169	197123	202321	208690	182960	182960	150268	150212	144124	148445	148445	152920	159052	172499	173721	173721	182648	190256	116367	116367	124571	134901	134901
Các khoản phải thu dài hạn###Long term Account Receivable	24488	24488	19987	19987	20114	20243	20793	16457	16457	17188	17138	18490	15959	15959	16608	17981	18768	14356	14356	16038	16262	0	0	0	0	0
Tài sản cố định ###Fixed assets	132359	132659	136041	136043	132502	135900	139943	75888	75888	61632	66369	68047	73123	73123	75358	78361	88928	93062	93062	97839	103470	115216	115216	123497	133828	133828
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-165765	-161303	-160415	-160450	-155783	-151237	-147266	-145222	-145222	-140853	-136133	-132291	-127232	-127232	-122022	-116975	-117299	-127815	-127815	-124809	-119194	-92869	-92869	-83182	-73032	-73040
