CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005
Tài sản ngắn hạn###Current Assets	5177375	4684945	4912949	4885883	5242643	5544007	5347120	5331755	5045413	5007104	4956393	4822241	5406718	5335753	5410577	5404758	4871914	5055634	5104359	4440869	3379408	3661946	4093458	4199762	5442983	11361089	3782389	4324132	4334455	4376087	4147055	3092256	3208952	3238545	3198288	2920457	2914777	2289383	2299063	2385557	2231699	2846914	2558533	2696467	2566324	2136178	2254572	2329537	2311769	2425016	2228936	2307078	2510074	2437422	1745188	1389020	1352676	1474434	1409149	1688473	1872501	1839548	1754629	1754629	589481	440181	454112	460247	460247	424516	327180	365337	380346	405450	463381
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1012533	352673	524591	524591	1342019	1438899	705402	644541	716541	683959	746913	646458	1807684	1897257	2440045	2253726	1323526	1683338	2333338	116923	88018	345658	1151037	1151025	4326341	1764275	1721674	2467178	2467177	2715129	2814517	2381078	1958065	1958065	1716899	1457382	1480631	829459	829459	929378	755546	1042145	967330	967462	465157	156855	179983	672316	672409	388375	381823	681197	984611	834704	324582	259018	225029	206808	206901	78702	68015	54391	530438	530438	19272	24335	44359	50826	50826	64709	17636	22604	44724	44723	104394
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	455399	638190	598325	598325	671279	1580672	2344029	2079920	2007920	2227511	2227511	2122072	1375856	1286356	864464	1084840	803764	653504	3504	1938614	1938739	1943693	1908783	1908783	124046	858705	848706	700101	708577	4328	3352	3780	39480	39480	234267	241702	235541	237483	235480	257416	254477	298759	373770	372520	795236	713811	632784	161660	160968	769906	805480	738679	518184	668393	629557	411653	622188	584291	579963	737755	810446	895273	522518	522518	131844	80563	91429	92109	92109	25437	7350	33676	29808	29808	26652
Các khoản phải thu ngắn hạn###Short term Account Receivables	2634874	2730675	2724696	2715989	1806462	745588	695088	941525	942411	908499	916211	912230	1066848	1046762	1233390	998622	1913609	1954491	1989056	2182890	1164997	1162757	893541	965666	777039	8606070	868243	784031	765817	1305410	910148	371428	859893	884534	896786	854834	855953	882114	890256	871858	809810	1124231	724911	862108	811961	748279	978922	1018355	1009928	1090735	865958	716875	825183	753953	635128	545086	351150	489407	425314	592707	739510	668797	560318	560318	334273	232195	206712	196579	196579	237423	204104	199910	215989	219584	192245
Hàng tồn kho###Inventory	914168	808442	907997	889599	974350	1301532	1135080	1195847	1195527	1036449	924114	976167	1022532	970365	748673	940691	723556	667967	673455	142269	127262	120840	94936	94936	95672	95544	285519	333740	326722	287980	355783	265697	303698	305373	315328	327177	275117	316606	319030	306457	363237	316618	398032	396274	454374	468735	425588	434328	434972	162088	143209	131867	162476	159173	139224	153733	135146	181656	186209	249457	212929	176745	136272	136272	95803	91859	101486	120403	120403	89711	89567	80253	65953	65953	73810
Tài sản ngắn hạn khác###Other Current Assets	160401	154964	157341	157380	448533	477315	467521	469922	183014	150687	141644	165314	133798	135014	124004	126879	107458	96335	105006	60173	60392	88997	45162	79353	119885	36495	58247	39082	66162	63239	63255	70273	47817	51094	35007	39363	67534	23720	24838	20448	48630	65162	94489	98103	39596	48498	37294	42877	33492	13911	32466	38460	19621	21199	16697	19530	19163	12271	10761	29852	41601	44342	5082	5082	8289	11229	10126	330	330	7236	8523	28894	23873	45382	66280
Tài sản dài hạn###Non-current Assets	6893663	7014452	7019205	7016724	7005913	7023057	7155480	7179786	7476787	7241787	7372599	5924428	7342995	5911571	6252853	6208483	3760117	3793386	3761423	2698993	2936838	2691098	2630651	2571543	2495675	2403616	3515293	3551745	3556458	3727026	3761580	3105790	3169294	3146317	3221873	3251056	3168616	3225322	3219202	3297562	3309414	3460235	3250888	3246334	3052237	3013103	2782214	2710327	2755057	1368605	1359009	1518118	1737527	1812146	1877503	1613285	1526854	1508976	1758478	1642400	1525904	1411967	1312846	1312846	803612	618305	501341	476125	476125	471033	458121	414924	403901	378797	272204
Các khoản phải thu dài hạn###Long term Account Receivable	58759	59969	60437	63406	68313	72671	86274	92128	92128	92181	92163	117743	117926	119122	119223	113064	27923	27806	27732	28737	29149	26515	27174	5365	5775	26789	13951	0	6882	0	0	267	0	267	267	240	267	300	267	612	345	685	345	685	685	685	685	612	685	612	682	107982	22553	95853	71829	45839	34405	31059	103955	73555	60784	34395	30911	30911	0	95160	0	37063	37063	25104	25104	25104	25104	0	0
Tài sản cố định ###Fixed assets	2740754	2790049	2851640	2851883	2774068	2831797	2881102	2930190	3188959	3199524	3247454	2282342	3369130	2336975	2687407	2716679	1188128	1193317	1193317	772913	736886	715314	662260	662260	639571	647275	1561213	1613383	1591800	1135451	1171826	1209297	1371192	1417310	1456539	1481031	1418595	1354000	1457781	1474010	1491383	1413822	1284673	1437463	1098987	1057942	936361	895463	944269	646700	638848	639245	656085	665340	668950	734398	755361	749092	744505	686627	585284	537611	480860	480860	340335	250924	251508	258219	258219	223230	219094	223664	227554	227554	211967
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1416321	-1387766	-1355404	-1355428	-1324572	-1301775	-1272435	-1253683	-1292320	-1184038	-1147234	-1102073	-1062205	-1058085	-1019548	-988915	-627247	-599683	-599683	-211308	-197723	-185439	-174021	-174021	-166442	-158847	-992059	-960292	-968487	-944246	-905513	-870588	-835864	-835178	-802449	-763581	-782432	-747591	-747268	-730350	-694291	-666999	-635947	-651375	-618177	-557149	-527443	-510469	-509275	-305308	-280192	-263328	-244984	-244094	-228146	-219398	-202705	-187860	-90517	-125426	-95988	-85978	-120646	-120646	-112278	-102441	-95548	-88233	-88233	-78028	-71974	-64824	0	0	0
