CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	Q4 2008	 2007	Q4 2007	 2006
Tài sản ngắn hạn###Current Assets	951254	1011303	1034943	1042797	1022719	935065	883394	1106310	1111309	1102944	1256745	1213157	1254527	1255909	1266292	1226329	1681908	761412	797749	940546	757999	491894	535615	601306	383155	196736	219112	190871	198687	204755	206366	161916	155487	162245	153031	145864	147549	136063	136094	131565	135710	128727	123923	124687	133353	130340	123540	123048	123020	137046	117432	131419	135719	135673	111417	92673	93025	93025	126944	126944	111572
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	187455	238985	247250	247800	274898	254581	246642	207480	207480	193843	305306	175327	264761	263474	277514	243689	685735	179244	194244	432137	229537	207234	418025	418025	220446	19921	23482	57119	57119	52367	73993	56769	79832	79832	73751	60992	66719	62477	62506	57717	52580	52447	56839	56839	58827	49118	29960	46144	46106	29142	12371	34391	50028	50028	20523	22467	8836	8836	14306	14306	19788
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	271046	253281	299249	316707	285323	271504	262972	456166	451995	442592	498340	591839	612298	613407	628331	632934	669449	232765	258320	175289	163173	58171	1471	67913	23055	3255	2668	2668	2668	2708	2708	2450	2450	2450	2973	2714	2785	2673	2673	2405	2664	2726	2410	2410	2755	2489	3459	3423	3423	3303	3198	3644	3648	3648	15354	4120	4030	4030	9212	9212	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	434536	466241	456497	446544	410749	369369	322916	396061	403465	425134	408194	404581	335709	337546	319790	305525	290820	308540	303239	261522	299190	184449	111258	110090	123030	149747	175114	119679	127506	140112	121193	95507	64770	73612	68784	69464	65180	59365	59367	60860	67538	64085	55694	56238	59362	69488	78637	61141	61302	92917	85196	75914	52516	52516	52400	42318	44181	44181	58225	58225	54297
Hàng tồn kho###Inventory	35351	35618	21575	21575	40543	26031	38947	30882	31315	32464	35673	34727	32109	30353	30790	37288	24513	27592	27592	61360	54911	35926	3850	4139	14883	19506	7574	1053	1053	1295	1702	1497	1973	1973	2513	2595	3185	3668	3668	5390	6589	4828	4057	4057	4691	3531	3186	2532	2532	3213	6554	9289	21265	21265	14771	15873	30951	30951	39453	39453	34625
Tài sản ngắn hạn khác###Other Current Assets	22865	17179	10372	10170	11207	13581	11918	15722	17054	8911	9232	6683	9649	11129	9867	6894	11392	13271	14354	10238	11188	6116	1011	1139	1742	4308	10274	10351	10341	8274	6769	5694	6461	4378	5011	10100	9681	7881	7881	5193	6340	4642	4922	5142	7718	5715	8298	9807	9656	8471	10113	8181	8263	8217	8369	7896	5026	5026	5748	5748	2863
Tài sản dài hạn###Non-current Assets	1496216	1265914	1240513	1231537	1197668	1192863	1247920	1240911	1246212	1219967	1170329	1192371	1218889	1225543	1173242	1182182	1169928	1528169	1480580	1436975	1335315	1121362	136397	71078	70614	72171	60447	65372	53738	40449	34002	32665	32031	32031	31436	31664	31862	33243	33243	34699	35695	37173	38643	38643	40353	42001	44200	46093	46436	41979	43888	33139	22670	22670	24404	25621	28585	28585	29596	29596	31577
Các khoản phải thu dài hạn###Long term Account Receivable	2215	6705	2083	13763	13665	1661	967	685	498	2168	2474	2517	3601	3601	3777	4087	2500	3715	3817	2874	3205	4418	3560	4767	229	4200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	791571	724760	678938	678938	686672	684899	642863	652393	652393	650883	597979	570521	590767	597216	601903	600819	510717	535329	450825	418133	409073	267897	56720	56720	58552	60477	32313	59501	36775	34631	24896	25757	26938	26938	28138	29254	29746	30978	30978	32277	33077	34449	35761	35761	37318	38856	40704	42227	42227	38903	40709	29826	19488	19488	20602	21786	25607	25607	27615	27615	30055
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-864118	-845822	-826228	-830918	-823706	-808694	-793047	-777068	-777886	-766557	-753906	-740233	-726049	-725679	-707383	-686729	-662595	-645643	-645322	-630961	-619872	-225887	-77536	-77536	-75621	-76609	-74881	-73566	-73673	-72255	-74919	-73800	-72633	-72633	-71412	-71023	-70035	-69425	-69425	-68156	-66910	-65571	-64226	-64226	-62652	-61068	-59596	-57985	-57985	-56624	-58022	-57528	-56615	-56615	-55815	0	-54666	0	-49703	0	-44063
