CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	37964	37294	40758	39840	34378	48856	52166	53934	53934	49582	50620	55943	57655	59334	52586	45875	49875	52966	53012	54583	51613	37484	34084	34597	32440	28661	28412	32659	31748	27690	25016	24654	24757	23758	23265	19710	24588	10472	12384	13270	13095	12094	12382	11715	13699	20727	20740	20362	20304	19965	20000	18578	17562	17573	18845	20073	18337	18717	18797	19283	20252	14210	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4510	3414	1794	1794	289	1920	951	991	991	1126	562	575	3406	3406	5093	3473	3173	5832	5802	7219	13429	915	1036	1036	1312	2845	1337	1992	1992	1688	1030	2581	1953	1953	1520	2208	13307	2669	2669	1063	775	346	1243	1243	2287	1652	1239	2932	2932	1042	837	135	1087	1087	699	305	346	843	799	495	1978	229	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	900	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	15007	16336	24264	24262	17760	26146	29560	34865	34865	29025	31718	34185	34826	34826	29661	22689	22239	23316	23399	26820	21377	25865	23148	23687	21525	14462	12611	17796	16394	12097	11682	11200	9739	8961	11129	7255	4901	2121	4077	4698	4278	5236	5051	4360	5934	13280	12259	11273	11202	12775	13627	12907	11412	11788	13412	15221	10485	10342	11339	12191	12597	10183	6856
Hàng tồn kho###Inventory	18074	17080	14200	13285	15778	20267	20815	17229	17229	18682	17824	20616	18871	20549	17414	19119	23596	20119	20119	16983	13829	10437	9817	9817	9521	11220	12436	12598	11133	11956	11375	9746	9420	9917	8907	5870	5512	4599	4629	5459	5904	4989	5395	5395	5062	5581	6942	5875	5888	5789	5176	5188	4696	4696	4726	4523	6821	6555	6645	6565	5667	3764	0
Tài sản ngắn hạn khác###Other Current Assets	373	464	500	500	550	523	841	849	849	749	515	567	552	552	419	594	866	3699	3692	3560	2978	267	84	57	82	135	2029	273	2229	1948	929	1126	3646	2927	1710	1377	868	1083	1009	2050	1238	924	694	718	417	214	301	282	282	359	359	349	368	3	7	23	684	977	14	33	9	34	0
Tài sản dài hạn###Non-current Assets	60681	62807	64958	64958	67088	69067	71310	74295	74295	76811	75191	74679	76805	75028	77117	77588	77812	77769	77819	76711	71779	46388	44309	44457	45174	45294	46576	45389	44979	45979	45075	46109	43238	43238	39484	23936	10804	7948	7954	7441	7075	7065	7086	7127	3763	3064	3131	3294	3294	3370	3533	3205	3350	3350	3298	3243	3239	3350	3350	3373	3423	3626	0
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	741	741	990	1110	1110	1110	1110	1110	1105	1105	1105	1105	1105	1105	1105	1105	990	990	990	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	60412	62530	64650	64650	66788	68828	70964	73099	73099	75244	73269	72698	74643	72866	75243	76008	43118	44348	44348	43217	43029	42030	42255	38513	39451	39679	40654	41568	40288	43034	43157	11407	41081	41081	38431	22780	10615	3062	7712	7232	6847	6718	3466	6927	3763	3064	3131	3109	3281	3370	3533	3205	3350	3350	3298	3243	3239	3350	3350	3373	3423	3626	1386
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-40774	-38663	-36551	-36551	-34420	-32290	-30162	-26423	-25509	-22304	-20437	-18625	-16858	-18635	-16860	-15103	-13496	-12476	-12476	-11695	-10802	-10311	-9531	-9371	-9359	-9058	-8354	-7770	-7739	-5053	-6567	-4803	-4679	-4679	-4553	-5049	-4946	-5267	-5267	-5260	-5150	-5047	-4902	-4902	-5090	-5023	-4928	-4788	-4787	-4664	-4503	0	-4186	0	0	0	0	-4056	-4056	0	0	-3734	-3480
