CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	1180842	1196592	1233241	1230534	1230579	1169764	1120218	1176272	1175981	1230082	1011037	1026556	967785	976238	1005269	848963	788046	804991	829253	797812	835213	812428	804660	804197	810226	813040	759007	707735	707796	720047	738955	617814	593968	600897	637474	626741	571245	588489	588422	619347	614462	604964	633917	636967	645340	648520	596746	519012	517642	534243	333611	321014	321014	140350	112892
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	40350	65412	67059	104230	55826	50098	49674	64672	47272	92690	75473	111201	131587	131587	172128	144908	132229	79149	79139	52730	57025	46760	46537	45777	25199	83928	10447	35571	35571	60663	130997	24182	51350	49430	48858	128483	111140	107330	183234	143829	64882	88308	119403	143185	109328	36509	166906	194842	189133	152518	30309	130783	130783	19952	4960
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	575057	575002	552700	515803	518573	465701	471101	452549	469949	413849	245681	247971	187860	187860	139330	0	22000	73140	73140	71440	90465	180885	160692	160692	165324	90721	187921	185014	185014	121975	51837	133093	105859	107787	78250	16893	35381	75904	0	0	21906	0	23694	0	0	45512	0	0	5000	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	173539	170984	210481	207401	225713	201128	178569	239770	239479	264444	228662	210975	245393	255291	264680	260637	219677	243743	255595	259577	250013	191301	215757	214906	207208	217885	192693	159225	157713	170229	169708	134028	124034	138876	164164	166286	114764	96645	108706	131721	153419	151010	106151	118434	143401	179309	141281	84998	84071	94407	79853	54518	54518	43874	28185
Hàng tồn kho###Inventory	384801	381845	397655	397736	417634	433734	402734	400853	400853	439651	449819	445700	394350	394192	426002	437181	411925	405618	418869	403753	427551	388534	377144	372608	396428	404255	355298	316367	316367	344830	364271	307219	297339	289463	328292	304324	298268	292415	280014	327827	347985	354097	360634	351517	364628	366792	274817	224725	228131	246268	187070	131839	131839	75039	75939
Tài sản ngắn hạn khác###Other Current Assets	7094	3349	5346	5364	12833	19103	18141	18429	18429	19449	11402	10710	8595	7309	3129	6236	2214	3341	2510	10312	10159	4949	4530	10213	16067	16251	12648	11558	13131	22350	22142	19292	15387	15341	17910	10755	11691	16195	16468	15970	26270	11549	24035	23831	27984	20398	13743	14447	11306	41049	36379	3873	3873	1484	3808
Tài sản dài hạn###Non-current Assets	284633	288779	304392	308099	314398	316343	329850	313841	313841	310544	320125	328710	308665	309001	315972	311695	301904	309836	306705	315628	316699	303201	303360	304445	301629	292490	287446	278250	278281	282019	286642	287446	293021	286288	288478	294611	309019	310814	292890	274236	252887	224374	215767	211892	179829	151146	146461	150466	150466	102099	102053	95760	95760	89939	88895
Các khoản phải thu dài hạn###Long term Account Receivable	3924	2793	2894	1524	2820	2686	2771	3190	3190	2783	2747	1305	2520	1313	1297	2173	1266	1648	1635	1212	1444	931	900	931	1050	918	949	839	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	1143	0	0	0	0	0
Tài sản cố định ###Fixed assets	223572	233518	244478	249246	257357	258840	270785	273930	273930	280420	289298	294068	275587	275587	286608	288485	277331	285737	285706	279291	281153	256321	256912	257490	262585	265103	259985	252005	252005	257507	261255	260996	274869	268307	270805	275881	291807	291215	273656	257492	236804	207438	156831	195202	172451	143709	139296	139671	140579	95786	96391	89975	89975	85299	81623
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-364772	-357057	-346316	-346316	-337568	-327253	-316493	-305537	-305537	-293542	-283886	-273207	-264534	-264534	-252036	-245076	-237225	-230693	-230674	-222533	-215105	-212732	-212560	-212559	-205140	-197496	-189982	-183091	-183091	-176222	-168808	-162106	-156713	-155515	-150619	-143673	-137310	-132667	-131290	-138264	-122501	-117650	-113397	-102157	-109133	-105632	-101974	-98478	-98478	-95995	-93549	-89459	-89459	-81872	-74706
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	-47	-44	-42	-42	-39	-36	-33	-30	-30	-27	-25	-22	-19	-19	-16	-13	-10	-8	-8	-5	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-36391	-35879	-35366	-35366	-34860	-34327	-33772	-33217	-33217	-32662	-32137	-31630	-31123	-31123	-30487	-29851	-29215	-28579	-28579	-27943	-27307	-26671	-26034	-26034	-25398	-24776	-24187	-23608	-23608	-23029	-22425	-21793	-21161	-21161	-20528	-19887	-19259	-18632	-18632	-18009	-17386	-16762	-16139	-16139	-15515	-14892	-14268	-13849	-13943	-12922	-12469	-11502	-11502	-9879	-7851
