CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Vốn chủ sở hữu ###Owners equity	1401008	1343981	1321825	1326582	1292733	1266525	1372726	1324727	1324714	1287915	1260657	1384725	1343695	1343643	1304736	1279331	1399644	1351355	1351984	1279462	1243166	1190176	1151142	1151142	1339729	1288273	1160745	1101532	1101400	1215103	1129564	1176868	1131695	1131747	1093448	1050813	1034980	988645	988713	1052278	1026319	1008504	957897	961641	930338	830859	779044	738700	738809	641329	554171	529818	473285	475612	372218	343990	344529	316514	345366	347670	322701	315742	297777	313491	289028	212989	221401	211268	211268	178210
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3122442	2984944	3027069	3024054	2640368	2957370	2427923	2492740	2465692	2601700	2460107	2822389	2857959	2803572	2494672	0	2141741	2270687	2235383	1898331	1628312	1532753	1303053	1285952	1219230	1047616	1064666	1427421	1428873	1178890	1205837	1185413	1148696	1154291	957824	974256	1012331	954699	954699	771045



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1187652	1381129	6160046	1822694	1171021	1521992	1644333	6436325	2170741	1280448	1580724	1402066	5049088	1678259	982181	1240935	1146792	4804729	1473483	1018600	1136904	1170965	6916021	1626308	1690115	1781344	1818254	6808161	1759084	1783835	1622302	1655526	6198288	1838412	1354082	1608817	1395010	6063203	1632999	1427061	1509723	1492163	6077721	1950199	1405345	1435560	1289152	5151575	1481685	1245430	1161243	1265797	3742838	1241131	988695	834050	680558	2970599	720598	673421	792008	787795	2575966	824970	591618	642747	573622	1991025	71264	1432003
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	-160	160	2347	0	0	0	0	2630	0	0	0	1709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	92	0	0	0	0	0	0	0	0	0	0	0	0	284	284	0	0	0	263	0	145
Doanh thu thuần###Net Sales	1187652	1381129	6160046	1822694	1171021	1522152	1644173	6433978	2170741	1280448	1580724	1402066	5046459	1678259	982181	1240935	1145083	4804729	1473483	1018600	1136904	1170965	6916021	1626308	1690115	1781344	1818254	6808161	1759084	1783835	1622302	1655526	6198288	1838412	1354082	1608817	1395010	6063203	1632999	1427061	1509723	1492163	6077721	1950199	1405345	1435560	1289152	5151483	1481685	1245339	1161243	1265797	3742838	1241131	988695	834050	680558	2970599	720598	673421	792008	787795	2575682	824686	591618	642747	573622	1990762	71264	1431858
