CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	2494166	2305797	2352945	2493637	2268303	1875031	1894061	1750319	1751175	1701823	1527668	713583	693264	693237	559459	526882	454256	354298	353370	337975	300878	268125	315696	314615	315840	323121	302646	303472	303481	284739	257684	252308	232881	232865	246913	241623	266432	252825	252829	306005	273150	294191	261319	263153	266604	256553	295962	255749	254949	268038	228827	216820	208158	206019	226927	100678	54210
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	329662	71830	139585	139585	111366	98535	130190	125292	125292	112554	130881	300277	316147	316687	266056	215925	188139	79262	79262	116470	113399	83929	175310	175310	129003	121836	108068	126660	126660	104192	86434	95976	83665	83665	77032	64256	79987	89691	89691	115543	95402	113291	103947	103947	121367	110708	150326	159299	159299	172795	144586	126683	120282	120282	117755	33914	4215
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	69014	66983	66983	66983	65000	0	0	41000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1123	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2003509	2042193	2008008	2145545	2000899	1634294	1619211	1498043	1498043	1515720	1334711	282687	237097	237113	171364	196391	213309	217581	176581	164514	129175	113162	85860	85138	121236	131169	125281	117862	116419	128255	115718	103962	102776	102807	120415	127820	138440	125689	125870	150141	134849	140128	120336	121301	109164	112147	115495	69159	69068	66926	53659	62070	64441	62441	87411	54215	38588
Hàng tồn kho###Inventory	90256	96824	108335	108335	73478	67238	73266	50224	50224	46820	50764	51322	63563	63563	42148	42907	43692	48533	48533	50210	50544	52789	46220	46220	60934	66285	63795	54490	54760	47800	49335	43777	41151	41151	45001	43972	40680	33307	33307	33550	32882	31143	31585	32617	30923	25857	22975	19368	19368	20209	19117	17522	13346	13346	17035	8504	9539
Tài sản ngắn hạn khác###Other Current Assets	70739	94950	97017	100172	82560	74964	71395	76760	77616	26728	11311	10283	9475	8892	12908	6659	9116	8922	7994	6781	7759	18245	8306	7948	4668	3831	5501	4460	5643	4493	6198	8593	5290	5243	4465	5575	7326	4138	3961	6771	10017	9628	5451	5288	5151	7841	7165	7924	7214	8109	11465	10545	10090	9950	4726	2921	1868
Tài sản dài hạn###Non-current Assets	1678285	1688849	1606381	1468508	1430328	1341351	1108926	1146454	1145550	1159437	977190	833773	737266	737801	712936	661311	627562	619408	620336	599503	604985	568275	523298	524188	507447	494640	477074	476666	475060	459586	456152	457524	457409	457470	457152	449548	433353	437940	440102	394517	400853	381724	394729	394196	386097	367431	340151	340252	340252	294753	292309	283684	273796	276509	177129	107665	123342
Các khoản phải thu dài hạn###Long term Account Receivable	378968	307256	206347	34258	31785	31785	31785	27827	27827	29391	22747	22961	19818	19818	15139	12692	11531	10593	10593	10179	10076	10076	9375	9375	9048	8361	8361	6809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	2000	0	0
Tài sản cố định ###Fixed assets	151046	157403	164603	183438	185116	190172	193622	200290	200290	182293	154272	152550	143758	143758	143980	125142	125036	128818	160996	156137	154185	155761	161327	162047	164403	160840	128276	127578	126840	133818	141220	218483	222920	212195	224333	217329	198890	100580	206207	163126	166675	145996	97125	175418	210879	191180	165926	83683	164102	189610	185680	178228	167938	167938	97738	35604	35473
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-184525	-179979	-175449	-175480	-171466	-167107	-191015	-192170	-192170	-187931	-186721	-204510	-199983	-192001	-210255	-205498	-202468	-197598	-202174	-200220	-196076	-193412	-187323	-186604	-180652	-173473	-166317	-160687	-161425	-154716	-147889	-140256	-132016	-132016	-124832	-118257	-112095	-106368	-106368	-101243	-96000	-93344	-87721	-87721	-82097	-77363	-76179	-73581	-73581	-68301	-56237	-51860	-47854	-47854	-36935	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-19296	-16939	-14581	-14581	-12223	-9865	-7507	-5149	-5149	-3049	-1220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1332	-1307	-1280	-4527	-4206	-3884	-4300	-3886	-3886	-3480	-1654	-1589	-1531	-1531	-1474	-1417	-1359	-1302	-1302	-1245	-1188	-1131	-1074	-1074	-1017	-988	-975	-956	-956	-937	-918	-887	-868	-868	-846	-818	-896	-869	-869	-841	-814	-786	-759	-759	-716	-687	-658	-628	-628	-593	-560	-526	-492	-492	-356	0	0
Lợi thế thương mại	62503	64454	66406	66406	68357	70309	72260	74212	74212	76163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-73715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	140403	141928	143453	143453	156868	158494	159020	169631	169631	181175	186660	191938	196726	196726	198437	200149	202447	203573	186614	172521	173647	174773	175899	175899	177017	154524	155486	156448	156448	155238	156205	157171	158138	158138	159104	160071	161038	162004	162004	162971	163937	164904	165870	165870	149313	150176	151038	151901	151901	85630	86125	87066	87116	87116	63586	63384	73683
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	42513	43439	44454	44454	46043	48305	31998	32964	32964	34226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3372	205	205	205	224	224	224
Tài sản dài hạn khác###Other long term assets	290607	301990	316075	295694	342733	323633	258209	303023	302119	348303	252694	189612	206766	207301	188011	169236	127960	122730	108439	116401	117382	109631	89764	92455	67013	69606	71137	74269	81078	85842	83753	81870	76351	87136	73715	72148	73425	71890	71890	68421	70241	70824	53441	52907	25906	26076	23187	24248	24248	19514	17132	18186	18538	19250	13581	8453	13962
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	4172451	3994646	3959326	3962145	3698631	3216382	3002987	2896773	2896725	2861259	2504858	1547357	1430530	1431038	1272395	1188193	1081818	973706	973706	937478	905862	836400	838995	838803	823287	817761	779720	780138	778541	744326	713836	709832	690290	690335	704065	691171	699785	690765	692930	700522	674002	675914	656048	657348	652702	623984	636113	596001	595200	562792	521136	500504	481955	482527	404057	208343	177553
