CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	 2012
Tài sản ngắn hạn###Current Assets	731699	599618	584050	585837	818819	738259	718043	627304	631723	658220	576432	463147	145635	144828	48769	35509	46343	75450	86546	79642	78190	45223	52449	52449	48057	58144	38168	38168	10704	5122
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	21089	11284	10956	10956	6565	27964	49202	78282	35525	21663	20923	111889	137486	137486	4673	1848	6063	5229	5187	1434	1960	8062	22935	22935	2666	8576	425	425	868	3328
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	46163	46163	91163	90000	45000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	170450	112060	112989	113719	411532	407939	452203	327418	329604	503094	464528	313215	8148	7341	42989	32688	38888	69900	81037	76754	75894	37006	29368	29368	36965	49569	37733	29890	9118	1636
Hàng tồn kho###Inventory	465090	406647	391986	392804	347074	262790	142099	152574	152574	35401	40427	36416	0	0	1107	779	1342	321	321	1454	286	155	146	146	86	0	11	10	489	0
Tài sản ngắn hạn khác###Other Current Assets	75070	69627	68118	68357	53648	39565	28375	22866	22857	8062	5554	1628	2	2	0	195	50	0	0	0	51	0	0	0	8339	0	0	7843	230	158
Tài sản dài hạn###Non-current Assets	296647	285708	273886	277088	81740	72559	58754	57134	56034	51749	41083	34811	67514	67514	170445	172590	175906	175917	166173	140229	140296	150826	132939	132939	138259	140324	139459	139459	5201	4045
Các khoản phải thu dài hạn###Long term Account Receivable	192	192	192	192	2574	3674	1100	1100	0	0	0	0	0	0	10150	10595	3542	19405	19405	19405	19405	4815	4815	4815	10000	12000	85500	85500	0	0
Tài sản cố định ###Fixed assets	693	709	791	791	2564	2567	2719	2929	2929	3050	935	170	0	0	591	651	710	1283	1229	1331	1434	1536	1638	1638	1740	1843	989	989	1383	292
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-933	-853	-771	-771	-1156	-969	-786	-575	-575	-365	-194	-140	0	0	-1148	-1089	-1030	-1650	-1650	-1548	-1445	-1343	-1241	-1241	-1139	-1037	-840	-840	-537	-408
