CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	877690	570565	658638	644987	553620	541142	578644	646336	663318	604473	600687	478159	486633	500566	488714	442970	343489	351014	345125	309527	305812	276044	318148	333178	306661	316587	318073	333696	313094	269951	290399	282178	346044	357282	298983	313256	308855	343765	349859	344795	328647	304633	350604	342541	248544	226391	209423	232965	236779	307429	264127	188720	158428	155278	75305	79017
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	54141	47507	91326	91082	33675	42509	91830	111018	134809	159817	184002	24521	76177	76060	100355	123202	27883	54936	54936	51933	19488	30849	32766	32787	7691	16702	20286	33608	33608	10066	14760	5456	44351	44333	3647	18468	9337	21970	21951	20443	4909	7885	34584	34631	18855	27579	19796	29132	29081	54875	69289	15198	25490	25075	6642	9437
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	45500	50743	49743	50526	44588	41848	49927	80574	82074	90754	65754	147209	66000	108000	13000	13000	33000	0	0	0	0	0	0	0	0	0	0	0	510	513	564	564	563	563	563	563	563	763	813	763	1549	1238	763	451	451	451	451	451	451	537	535	522	522	82	584	92
Các khoản phải thu ngắn hạn###Short term Account Receivables	379315	368254	416864	416955	389285	374800	340113	392175	379467	246546	247107	209502	267048	240650	240699	186565	201677	221910	207396	137412	171099	164527	200638	214971	141938	136628	147317	150416	150263	127331	127009	131754	147792	166072	108912	113888	125257	133264	143693	143874	130819	136141	144468	136763	134218	106611	122324	131533	129820	115718	76755	75376	54338	61408	29883	33432
Hàng tồn kho###Inventory	372228	78674	82786	66161	81069	78657	92226	61008	65211	103800	99914	92879	74339	73039	130304	116847	78717	73755	82236	117267	112408	79762	84171	84623	154003	160440	139977	140247	118646	119748	134279	128728	142118	135145	173390	168272	163846	178763	174729	170447	181247	151908	159784	161388	85482	76153	57986	63307	64557	98259	85657	41912	52906	44370	35185	35468
Tài sản ngắn hạn khác###Other Current Assets	26506	25387	17920	20263	5003	3327	4548	1561	1757	3556	3911	4049	3070	2818	4356	3356	2212	413	557	2915	2816	906	574	798	3029	2817	10492	9425	10066	12293	13787	15675	11220	11168	12471	12064	9851	9004	8673	9268	10123	7462	11006	9309	9538	15597	8865	8541	12869	38040	31890	55712	25172	24343	3012	588
Tài sản dài hạn###Non-current Assets	84586	346818	315339	341127	194082	168001	151043	104641	104716	97342	96451	99713	96354	96597	100526	97881	101882	97948	95161	109578	129135	132506	136437	126676	158649	157435	155552	155328	270590	303669	300197	299949	307094	305596	309310	310387	310855	325450	398168	402070	395346	392465	387611	367775	366502	370365	361197	315579	295350	230430	214783	96303	90298	85353	63364	29719
Các khoản phải thu dài hạn###Long term Account Receivable	2460	2460	2460	2460	2293	2460	2293	2460	2293	2293	2460	2327	2460	2332	2337	2464	2089	2260	2089	2089	2260	4125	4124	3056	35116	36161	33327	35206	96	96	96	1	96	1	1	96	1	96	1	0	0	1	24	0	0	0	0	0	1	0	0	0	0	9	0	0
Tài sản cố định ###Fixed assets	50149	49116	50266	50366	51664	47420	48448	49543	49543	46318	47197	46943	47707	47781	45008	42785	41128	42120	55236	41832	42887	44460	44431	44424	44383	43594	42548	43150	43211	44355	44170	43998	96978	96953	97199	97302	97896	43122	111964	107110	106529	107522	48185	107861	106289	111915	110387	50444	108880	53471	52290	48973	49418	53270	45342	21308
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-38812	-37550	-36399	-36361	-35404	-34373	-33296	-32404	-32404	-33108	-32229	-31055	-30013	-30000	-28819	-31557	-31574	-30584	-30466	-29653	-28605	-27386	-26429	-25308	-24314	-23293	-22927	-21736	-21800	-21368	-20961	-20658	-19716	-20194	-19370	-18156	-18901	-18011	-17764	-16680	-16007	-14167	-13888	-12959	-12640	-12213	-10936	-10238	-10220	-9103	-8669	-8323	-7585	0	0	0
