CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	868280	679204	492374	529308	572970	599610	607185	667209	680140	619138	545618	665256	678775	699028	737308	661210	448261	468781	484820	486605	505070	426099	399665	359420	605856	575442	679153	569677	832675	441586	458765	558194	514827	586300	408238	355289	449078	455909	667562	681395	587612	491587	435457	437046	437193	334900	344264	267923	319018	330248	336777	277253	264173	264183	167140	83978	132547
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	109195	102967	83482	83482	162060	235793	220501	324544	324544	239863	138559	227216	271027	270904	368761	353120	242269	253805	253805	264382	286432	132296	110381	110390	159112	176950	225917	179071	185071	53661	159656	160796	170635	170639	14613	13985	21149	19778	19755	74414	31840	30221	41895	41895	57960	10429	17909	9546	9546	22822	13170	10840	5146	5146	2002	6676	1130
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	49500	80000	74438	70000	85000	77500	70000	12500	7612	19112	7000	7000	47389	47000	7000	6000	6000	6000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	300028	314632	169145	188659	192251	149526	185682	178660	188502	185810	162231	136232	178143	165842	208548	147435	110807	109820	112061	139175	127534	127514	119743	118545	284824	266859	268724	238450	499402	226588	153006	215808	154388	219783	232226	171351	216021	228090	442411	384224	344065	282284	255301	258426	208079	183925	176892	160023	211118	160113	171154	130605	134599	134609	87762	25633	106064
Hàng tồn kho###Inventory	424358	228825	202060	221803	187278	179937	172344	133912	132204	115012	146084	202094	127295	142102	57862	66699	67841	65787	68158	48790	60749	94874	92210	91957	115302	97339	150202	117625	121248	137105	115908	155295	168090	174164	152310	160434	201771	200903	202415	214201	201484	169224	130146	128609	156204	132775	131873	95110	95110	137744	140327	117367	115626	115626	70663	50442	21461
Tài sản ngắn hạn khác###Other Current Assets	34699	32780	37687	35365	31382	34355	28658	30092	34890	28953	18744	25276	32310	35180	24637	23956	14845	31759	31685	27258	23355	24027	30330	31527	40619	28294	28310	28531	26955	24232	30195	26295	21714	21714	9088	9519	10138	7138	2981	8557	10222	9858	8116	8116	14950	7771	17591	3243	3243	9568	12125	18441	8801	8801	6712	1227	3891
Tài sản dài hạn###Non-current Assets	3573547	3935999	4034270	4036802	3932639	3860965	3776093	3763072	3761635	3793177	3704808	3602233	3623530	3629544	3827336	3674042	3468087	3378529	3373592	3320415	3216287	2995236	2881434	2928690	2415549	2254668	2046742	1925652	1976655	1758330	1517120	1415794	1230485	1240697	976878	927355	802180	717611	660292	512920	419156	383825	349973	348793	215157	212011	204861	207787	208365	203791	190680	194462	194083	193659	201718	244934	85873
Các khoản phải thu dài hạn###Long term Account Receivable	5410	12146	11518	11637	10773	9495	9735	8936	9146	37647	7044	7044	6515	5924	5924	13990	3955	15455	3955	7566	7436	3625	3525	4635	15844	17443	3175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2390497	2479643	2508668	2508460	2530610	2562640	2591808	2624913	2604312	2624323	2631541	2641130	2675047	2674358	2516521	2516025	2548429	2579754	2586510	2210826	2244639	1421503	1453867	1453867	1061997	1082238	1037574	1786892	1114524	1249946	120216	128159	1095661	1107531	844085	797231	759932	141976	645426	494415	404768	370685	158733	337906	204971	201479	193140	177570	196756	192325	179907	185631	182639	182639	199903	172600	55729
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-249770	-286730	-281565	-281729	-276664	-271476	-266174	-260565	-260565	-259278	-252995	-250847	-246209	-245941	-239480	-233498	-227431	-221319	-221302	-214952	-208081	-201359	-192553	-192553	-183431	-175916	-173735	-167502	-167502	-160867	-152920	-146159	-139620	-139662	-132794	-126633	-121961	-115543	-115543	-109040	-102657	-96264	-90824	-90824	-84902	-78695	-72778	-66883	-66883	-61151	-55650	-50644	-45456	-45456	-29243	-17821	-9412
