CAN DOI KE TOAN	 2019	 2018	 2017	Q2 2017	 2016	 2015	 2014	 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	41915	28787	28440	31135	30342	25075	23989	17517	15147	13841	14087	14856	11770	14211	13798	14232	14714	16786	15395	41359	49467	19363	22561	20635	19456	19511	22444	19760	20819	36259	36539	25248	24151	27617	26709	27429	31348	54788	58203	21916	18429	17660	14152	14152	15585
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14552	6764	2797	3534	4393	7278	3013	1767	2235	1552	1552	2128	799	1731	884	884	223	1298	1488	1434	1434	2437	4222	2082	1428	1428	1425	2371	4686	16022	16152	3288	3716	8535	6159	6120	8360	34895	39140	4465	4389	3827	4995	4995	4102
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	90	102	102	189	585	585	0	0	2985	2985	985	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	26374	21047	24663	26774	24659	16985	19173	14263	11552	11017	11164	11463	9955	11114	11474	11895	13309	14696	12670	35598	43971	13230	14051	13724	13051	13082	16382	13370	12334	16605	16712	17589	17026	15811	17558	17058	18236	15151	17518	16439	13475	13771	8865	8865	10161
Hàng tồn kho###Inventory	3	9	2	14	5	1	3	12	4	31	31	25	20	36	236	250	47	43	43	2588	2588	42	44	42	21	21	20	24	14	14	14	14	76	62	76	62	62	62	62	99	62	62	62	62	641
Tài sản ngắn hạn khác###Other Current Assets	985	968	978	812	1285	811	1799	1475	1356	1240	1340	1241	997	1330	1203	1203	1135	749	1193	1738	1473	3654	4244	4786	4955	4979	4617	3904	3695	3516	3558	4168	2747	2623	2917	4189	1705	1695	497	913	504	0	231	231	681
Tài sản dài hạn###Non-current Assets	38651	44669	45110	45318	45378	30422	25356	23846	23139	23807	23707	24201	24518	25130	26410	26319	27434	27835	29521	30382	29647	121254	126308	133300	138352	138352	131577	136696	140330	144910	144510	145026	146993	151411	126718	126609	118311	27360	12886	12048	12950	12690	12783	12783	11609
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	6	0
Tài sản cố định ###Fixed assets	34303	40730	41767	42224	39269	27187	23197	21367	21067	21695	21695	22324	22963	23636	24792	24792	25751	26458	27965	28706	27971	119443	124452	129073	134000	134000	127083	132027	136344	141009	141009	141755	143930	147079	123983	18078	116268	25653	11301	11793	11386	10770	10663	10663	10743
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-39848	-34715	-29748	-26944	-24391	-22624	-20509	-18930	-17231	-16603	-16603	-16006	-15612	-15357	-16159	-16159	-15453	-14956	-14644	-14051	-14084	-63596	-58621	-53750	-48687	-48687	-43777	-38888	-34656	-29788	-29788	-24266	-18939	-13281	-8430	-7970	-7347	-6909	-6533	-6445	-6225	-5985	-5655	0	0
