CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q1 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	285814	282705	272033	272032	268272	263929	264752	242519	244001	171293	191493	142602	138850	88921	99878	117756	149541	164419	163354	254190	215987	223277	220811	220811	236516	204190	223970	231711	231711	241725	251654	241914	261922	262112	237071	207866	192252	182872	183898	229782	152951	167590	151827	153517	130194	138078	149302	2063562	2003961	125275	125275	160961	160961
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	6276	13285	35037	35037	27001	14369	974	58674	58674	14117	6995	6582	36013	36013	61153	92153	106212	100226	100226	65578	46381	46976	18424	18424	30695	46492	26190	47926	47926	102246	105719	149494	135503	119503	80072	87860	84295	97159	96864	95485	76487	88501	55518	55518	48327	68956	83502	1031379	834550	76566	76566	75688	75688
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	51000	46000	31000	31000	0	0	1378	30000	30000	49973	80373	106373	75973	26000	0	0	0	30000	30000	42300	49900	28000	40917	40917	69909	56354	86748	87179	107179	59349	63140	18198	47348	63348	67514	35338	35483	3035	3035	12023	12331	2413	16947	16947	17189	17065	2541	256563	559295	8688	8688	24067	24067
Các khoản phải thu ngắn hạn###Short term Account Receivables	184396	161125	156880	156880	223467	212109	204302	116846	118328	100699	96742	20178	18414	18414	26083	22503	38500	30665	30211	145606	117741	142460	151146	151146	131468	96537	101823	56327	56327	68530	70646	64133	68175	68365	78599	73936	63468	76545	77883	111254	56157	66184	70294	70147	53491	42339	51099	606358	503801	31599	31599	46750	46750
Hàng tồn kho###Inventory	5156	7569	10442	10441	3894	3122	4721	5483	5483	138	511	1147	138	138	138	270	1240	1063	1063	398	363	3539	9522	9522	2810	3085	4416	4831	4831	4390	5102	5367	8155	8155	6340	5838	4325	3930	3930	7653	2879	4013	3335	4811	4439	3495	8382	115706	50759	1888	1888	730	730
Tài sản ngắn hạn khác###Other Current Assets	38986	54726	38675	38675	13911	34329	53377	31515	31515	6366	6873	8323	8312	8356	12504	2830	3589	2466	1855	308	1601	2303	800	800	1634	1723	4794	35449	15449	7209	7046	4723	2741	2741	4546	4894	4681	2203	2185	3367	5097	6478	5733	6093	6748	6224	3778	53554	55557	6535	6535	13726	13726
Tài sản dài hạn###Non-current Assets	40282	34046	34936	34936	35890	37096	36975	40095	40095	80414	88897	126731	133298	183347	186407	172675	149221	125217	125217	66338	136401	129321	131945	131538	141521	142167	149953	142854	142854	130688	135934	136617	136343	134374	140164	145426	156485	159653	159350	163893	177977	180774	188160	188300	187464	187052	173482	5703973	4943694	184416	184416	125222	125222
Các khoản phải thu dài hạn###Long term Account Receivable	326	326	326	326	326	326	326	2256	2256	2761	2524	2556	2556	2556	1556	1556	270	270	270	270	270	2092	2092	2092	2633	1994	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	0	0	0	0	0
Tài sản cố định ###Fixed assets	23653	24436	25182	25182	25993	26804	27144	28593	28593	68764	77469	115208	121738	118205	125777	62002	65043	65820	65820	57013	127075	116409	118680	118680	127998	129014	138487	128440	128165	116339	122075	123899	123605	123605	129843	135245	145795	149121	149157	154109	167702	170322	177913	178908	177863	177164	161129	5436610	4691852	173370	173370	114391	114391
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-11060	-10300	-9542	-9542	-8754	-7965	-7177	-9160	-9160	-38137	-37323	-37282	-33135	-33014	-36979	-33507	-32779	-29912	-29912	-22483	-56656	-94308	-106726	-106726	-128125	-136361	-150780	-145797	-145797	-151168	-155762	-146929	-138556	-138556	-133796	-129039	-122021	-114818	-114818	-106675	-100518	-91359	-81658	-81870	-72101	-63179	-49043	0	0	-24372	-24372	-7681	-7681
