CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	83669	808927	4840448	1325970	1179147	1463580	871750	3462565	1425695	418948	1137726	480196	4419146	2317393	488150	759019	854583	3259705	1754936	432354	451943	620471	968896	246318	247539	12816	726
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	57	10	44	2	0	115	115	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	83669	808927	4840448	1325970	1179147	1463580	871750	3462565	1425695	418948	1137726	480196	4419089	2317383	488106	759016	854583	3259590	1754822	432354	451943	620471	968896	246318	247539	12816	726
Giá vốn hàng bán###Cost of goods sold	104345	791860	4533456	1154056	1136730	1396709	845961	3233797	1313169	390798	1067339	462491	4009183	2131423	451024	686612	740175	2903006	1552941	380658	408676	560731	921507	213500	234081	9672	320
Lợi nhuận gộp###Gross profit	-20676	17068	306992	171914	42418	66871	25789	228768	112526	28150	70387	17704	409906	185960	37082	72404	114409	356585	201881	51696	43267	59741	47389	32818	13458	3144	405
Doanh thu hoạt động tài chính###Financial activities Revenues	265	18474	185607	69505	36890	35537	43674	217702	75017	47072	41787	53826	924158	745290	93301	34741	43979	232133	64513	60644	61211	45765	105774	30151	35255	906	0
Chi phí tài chính###Financial Expenses	100740	21554	123490	44011	34331	24588	20560	101960	22373	31137	25462	22988	144899	116135	14700	7240	6824	3135	2750	158	106	120	50	13	0	0	0
Chi phí bán hàng###Selling Expenses	-3	499	47443	45691	624	656	472	1985	630	490	794	71	19202	3051	3309	3425	9417	5649	595	1940	2841	273	0	0	0	0	306
Chi phí quản lý doanh nghiệp###Managing Expenses	29292	8759	94498	27373	31674	21652	13800	76466	27523	17191	16465	15287	125882	31277	33126	29418	26054	51309	24822	11157	11415	3915	7891	1208	1644	1711	160
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-150439	4730	227167	124345	12679	55512	34631	268799	138990	24091	71006	34712	1054158	782337	83214	70091	117616	529283	238885	99086	90115	101198	145221	61747	47068	2338	-60
