CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	 2011
Tài sản ngắn hạn###Current Assets	109313	133972	124109	142000	153290	127706	130674	133060	130733	162851	172917	194606	173887	189916	160622	178928	214909	269280	239686	205418	168424	156989	133023	266635	342042	273908	225154	209210	209210	21352	21352	14241	14241	16875
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	860	22833	1209	11821	6813	1574	2585	2897	2880	7841	902	507	1267	1268	427	22547	354	4701	4701	20261	15439	6741	3438	3438	832	1059	11551	2361	2361	720	720	1360	1360	4545
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	5000	5000	5000	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	100591	103954	116013	123292	139799	119700	121790	123831	121531	142349	150600	172069	152302	167881	139436	135165	193786	252153	217549	139932	127223	136911	100347	234028	277199	230988	193627	170026	170026	4719	4719	3390	3390	127
Hàng tồn kho###Inventory	0	0	0	0	0	0	0	0	0	7425	16200	16200	16200	16200	16200	16200	16201	8294	8294	37503	19170	5891	21794	21794	56661	29513	7232	27371	27371	15812	15812	9491	9491	11960
Tài sản ngắn hạn khác###Other Current Assets	7862	7184	6887	6887	6677	6432	6299	6332	6323	5236	5215	5830	4118	4567	4560	5015	4568	4131	9141	7722	6591	7445	7445	7376	7351	7347	7744	4452	4452	102	102	1	1	244
Tài sản dài hạn###Non-current Assets	222983	226985	242720	245365	233644	259378	259725	259541	255626	217641	210910	212588	214245	213175	235167	215040	218075	218471	218471	142860	142860	150704	147106	14905	13512	12763	11874	11874	11874	9380	9380	15088	15088	9463
Các khoản phải thu dài hạn###Long term Account Receivable	95694	98345	100769	99937	103346	105695	110695	110695	107364	108348	111531	113348	116531	115848	100015	120848	123424	125848	125848	130848	130848	135848	135848	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	18239	18512	18785	18785	19058	19331	19604	19877	19877	1045	1128	1210	1293	1293	1406	1458	1540	1623	1623	0	0	0	0	0	0	0	0	0	0	157	157	752	752	1424
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3731	-3458	-3185	-3185	-2912	-2640	-2367	-2094	-2094	-1884	-1802	-2506	-2424	-2424	-2310	-2259	-2176	-2094	-2094	-2066	-2066	-2066	-2066	-2066	-2066	-2066	-2066	-2066	-2066	-1913	-1913	-1668	-1668	-1022
