CAN DOI KE TOAN	Q3 2019	 2018	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	Q4 2014	Q1 2014	 2013	Q2 2013	 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	700371	680867	789479	762267	775704	779255	894418	846999	871442	777113	763645	763645	610939	454312	396269	379903	418292	415490	394031	419293	414466	422762	413949	359014	374772	355368	338435	336922	338560	297941	261052	251012	252352	291440	272957	311399	189922	363286	179117	151666	139543	107295	107703	132847
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	24823	3467	12390	15311	13174	16099	30105	49202	28198	12258	61098	61098	21034	21236	25796	55324	26521	26521	10942	36867	66436	87831	87831	15597	25488	20939	41188	41716	34931	25012	11534	56127	56127	14760	12522	114834	21196	21196	6515	3328	4134	9572	9572	21130
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	21608	21608	41795	28608	1608	1608	1608	1608	1608	1608	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	392057	406795	395952	379000	368462	366286	442650	389662	437306	381756	301032	301032	259351	199488	113820	107775	183468	183409	155138	151894	125933	137727	143668	167780	126752	105710	80070	83997	69480	39565	46495	52538	80337	90995	82613	50773	37773	208503	35144	41404	46731	26679	26695	40773
Hàng tồn kho###Inventory	264685	265573	364684	351851	378582	372027	402036	394888	385718	367007	359755	359755	306178	212534	236891	195948	185134	182481	210553	213558	205080	186549	170214	162516	210537	196002	192822	186010	201867	201284	154899	111619	111656	178669	171811	140368	125540	127539	133070	103576	85859	69910	70302	67843
Tài sản ngắn hạn khác###Other Current Assets	8806	5032	16453	16106	15485	24843	19627	13247	20220	16092	41759	41759	24376	21054	19762	20856	23168	23079	17397	16975	17017	10656	12236	13121	11996	12717	4355	5198	10674	10471	6329	2120	2623	5408	4405	3815	3804	4441	4389	3358	2818	1134	1134	3102
Tài sản dài hạn###Non-current Assets	704622	730173	755945	776195	815045	820082	771177	784239	767359	780132	576065	576065	345047	340935	264478	228593	153544	163575	123772	115314	106287	106127	106028	102620	105413	107621	97836	97684	93441	131660	128018	123843	124131	125953	125679	128573	84851	84232	82032	84971	89385	92773	92749	106861
Các khoản phải thu dài hạn###Long term Account Receivable	780	780	780	780	780	780	780	780	6780	6780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	630497	658431	704740	718809	735678	739256	697333	726022	705872	66807	506925	66363	43836	258784	30687	24558	28944	28944	28337	30616	29973	33773	42935	40306	35160	34686	31132	35604	24755	63457	65867	64341	64341	66566	65879	69261	72643	73011	77111	81321	85657	88186	88162	102772
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-282531	-254618	-206303	-192752	-178631	-177259	-167201	-157522	-151319	-138268	-127480	-127480	-124551	-122774	-117118	-118489	-115890	-115890	-113722	-112585	-110685	-109054	-109054	-107039	-104847	-102248	-99438	-99498	-96631	-110118	-107125	-103948	-103935	-119456	-114978	-111499	-107702	-107702	-103439	-99081	-94598	-91829	-91852	0
