CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	Q3 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	2566552	2500070	2439193	2403404	2789820	2466457	3297694	3201586	3201586	3005477	3189614	3103804	3080643	3080643	3041738	3023088	3095460	2928193	2960261	2916054	2706272	1978213	1906305	1932269	1901246	1764382	1769272	1769513	1557179	1424613	1890279	1885820	1901045	1903884	2136422	2146869	2255754	2177452	2189322	2222922	2257342	2228261	2220462	2227984	2275906	2310620	2234605	2213509	2205192	2206017	2658982	2318983	2341877	2414986	2627060	2582324	2894074	2951416	2842874	1110479
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	8172	18741	50643	43006	22098	50708	66571	77923	77923	19943	112351	112301	45266	45266	29037	58483	63491	50855	50855	18370	44020	17488	8562	8562	9994	29242	4526	9228	9228	12616	3217	5709	2600	2600	4945	7611	4227	12022	12022	5868	20120	23749	16525	16525	41382	59406	48730	64936	64936	116264	473638	30509	23194	23193	98644	41138	29581	4094	67364	9649
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	54822	74822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	418494	396711	417020	399013	502615	381876	315752	267602	267602	298745	307382	202272	287174	287174	308586	285908	317432	248674	280852	233978	177885	318877	280247	301129	305554	164766	161431	159777	159510	162986	163381	204988	227895	227479	240753	254321	411532	337228	349484	375767	411656	454449	476237	486381	499535	523178	584128	711780	691746	730115	726633	692114	686924	773167	959227	1025485	1202852	1150622	1265611	348773
Hàng tồn kho###Inventory	2112911	2062369	1947018	1885922	2163817	2009757	2889805	2834535	2834535	2669096	2750122	2769617	2731509	2731509	2688240	2672311	2703703	2625597	2624822	2658940	2480433	1638697	1614676	1616310	1580130	1564510	1602304	1599110	1383464	1242454	1718160	1674448	1669990	1673631	1889947	1884427	1838380	1827739	1827353	1836729	1822315	1748175	1727311	1724689	1733782	1721298	1599824	1435720	1447437	1355492	1453385	1592548	1629367	1615584	1560442	1504217	1651514	1783451	1491100	729577
Tài sản ngắn hạn khác###Other Current Assets	26976	22249	24512	20641	26468	24116	25567	21526	21526	17693	19759	19614	16693	16693	15875	6386	10834	3067	3732	4766	3934	3150	2821	6269	5568	5865	1012	1398	4977	6556	5521	674	560	174	777	509	1616	464	464	4558	3251	1887	389	389	1207	6737	1923	1073	1073	4145	5326	3813	2391	3043	8746	11483	10127	13249	18800	22480
Tài sản dài hạn###Non-current Assets	1607744	1697943	1687167	1698959	1382030	1372244	401067	302233	301924	300373	297500	437836	441735	441735	420311	420273	387734	384689	380104	391037	393088	395759	402742	400107	387348	388520	389358	396487	611516	623409	406548	412069	416138	419068	443384	462564	475681	484224	482911	506059	509674	518751	540869	538024	529987	541726	595227	563148	563014	676454	622629	582454	609829	453214	230549	225111	267636	270329	217760	71977
Các khoản phải thu dài hạn###Long term Account Receivable	14407	31949	19294	24829	20470	18535	15323	22356	22356	18680	18557	8673	10943	10943	5988	5359	3773	4491	1101	15183	11191	13343	18162	15638	1469	1536	666	1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109728	124691	169641	169641	169641	62	62	62	62	62	62
Tài sản cố định ###Fixed assets	61957	58321	58987	58487	59106	59773	60279	60881	60881	61593	62207	62496	60620	60620	61109	61596	62138	54511	53387	53932	54303	54745	55190	54946	55407	55872	56341	56810	272143	273207	55354	55681	58419	58477	59059	59657	48314	47112	49321	48098	49114	50107	51084	51084	52143	53161	54254	55060	55060	54831	61054	61218	62995	62988	25170	25786	27576	28473	29494	20580
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-34330	-33075	-32409	-32389	-31724	-31058	-30391	-29693	-29693	-28981	-28367	-27943	-26942	-26942	-26318	-25706	-25068	-24465	-25588	-29067	-28623	-28181	-27736	-27980	-27519	-27054	-26585	-26116	-25853	-25496	-24791	-24464	-23934	-23876	-23294	-22696	-25840	-24833	-24833	-24549	-23586	-20256	-21903	-21903	-22763	-22069	-20919	-20005	-20005	-20088	-19024	-18760	-16979	-16987	-18058	-17262	-15404	-14908	-14459	-13960
