CAN DOI KE TOAN	 2019	 2018	 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	122689	67669	21489	21195	21252	18388	18388	48452	25279	20832	19715	19715	22614	21644	26011	20270	20270	31680	34501	36738	32946	32909	36141	33450	37950	29273	29375	26889	25023	25860	24309	24469	21058	20300	18287	14485	14485	15029	14036	24732	35551	35554	35970	38490	47386	58763	57180	65886	62268	40283	23372	46764
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7718	10054	11895	9047	7623	6568	6568	29650	3988	5199	4803	4803	3275	4691	8641	5593	5593	6352	7345	12686	14675	14675	15830	11282	18319	17919	17919	17983	12173	13045	13240	3885	11025	5898	3298	4611	4611	2923	2655	5350	9210	9210	7986	17915	26797	33156	10668	13012	13119	7347	12477	17007
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9355	500	0	0	0	0	0	0	50	50	50	50	50	50	50	22539	31298	31900	21884	3050	50
Các khoản phải thu ngắn hạn###Short term Account Receivables	112560	46524	3394	6126	7960	6901	6901	12883	15661	9479	8736	8736	11780	9666	9824	7725	7725	17100	20115	15809	10287	10287	13524	14037	13418	5393	5393	3383	7526	4175	2812	2895	4286	10395	8791	4716	4716	5529	4536	14970	21632	21632	22075	15065	15122	20118	20248	16945	13202	9438	5813	28361
Hàng tồn kho###Inventory	755	945	1385	1573	1573	1573	1573	2446	2446	3021	3021	3021	3426	3578	3593	3600	3600	4764	4747	6287	6435	6440	3179	3209	3250	3184	3287	2464	2759	5939	5839	5916	2194	2233	2557	2619	2619	2923	2903	2007	1770	1770	1958	1998	3029	3068	1355	1284	1209	685	392	110
Tài sản ngắn hạn khác###Other Current Assets	1656	10146	4815	4449	4097	3346	3346	3473	3184	3133	3156	3156	4132	3710	3953	3351	3351	3464	2294	1955	1549	1506	3607	4923	2962	2777	2777	3059	2565	2701	2418	2418	3053	1773	3641	2539	2539	3654	3942	2355	2889	2892	3901	3463	2388	2371	2371	3347	2839	929	1640	1235
Tài sản dài hạn###Non-current Assets	219072	191856	222337	241672	250125	261455	261455	268678	277535	287544	299293	299293	308193	317704	325272	336764	336550	345551	351673	356185	368031	368031	378759	390642	397784	409639	409639	421838	432522	438240	448519	448519	457718	464391	473359	484035	484035	522996	533664	528859	541119	523449	511108	519238	527868	529377	529377	525372	531350	329274	35941	29817
Các khoản phải thu dài hạn###Long term Account Receivable	592	582	23	23	23	23	23	22	22	22	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	120239	153689	189115	207053	216022	224991	224991	233982	242969	251981	261004	261004	269219	278261	287302	297159	297159	305590	314753	323916	333914	333914	343162	352422	361673	370925	370925	380520	390710	400121	408410	409160	417810	427169	436727	446328	446328	455929	465530	503754	513499	496008	500124	509390	518922	519864	519864	521384	528053	327012	33597	19060
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-432525	-396642	-361811	-343979	-335064	-326148	-326148	-317249	-308316	-299553	-290585	-290585	-281935	-272949	-263963	-261451	-261451	-252715	-243607	-236207	-227013	-227003	-217810	-209222	-200025	-190829	-190829	-181274	-174141	-167335	-157990	-157990	-148649	-140654	-131203	-121658	-121658	-112113	-102568	-93313	-83623	-83479	-75674	-66240	-55920	-53225	-53225	-43073	-32801	-18040	-12415	0
