CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	40816	45095	49653	83065	72336	73323	74417	77705	77559	65017	66733	67722	63394	63932	77681	81195	80823	75663	86283	68439	73213	81515	84626	90454	95297	103044	109455	101227	102735	117597	124100	148931	146783	146286	140155	134036	136520	130203	129837	115341	123278	117824	118416	118365	116772	116226	115122	112824	121976	101412	88819	78896	81119	81119	77569	51277	39187	39119	39233	36479	36288	28113	13707
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	671	633	1312	1303	426	753	1059	6873	6873	3575	707	812	1202	1193	1677	1312	3674	1143	1143	1579	4214	3337	7438	7441	6221	4985	2667	3261	3261	5291	2575	3638	3887	3887	5212	4234	3212	7254	7202	3186	3229	5136	7413	7413	8510	8776	7022	16014	16037	11008	12241	5913	6987	6987	26549	2773	2446	4321	4336	4132	4660	5875	1200
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	220	260	260	260	260	1256	260	346	260	86	199	199	199	199	2699	699	699	879	920	454	414	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	35663	25494	25911	53593	46902	47461	46933	44731	50323	43336	43138	45110	40383	41162	48017	45189	47459	41626	41438	48289	32347	36895	34885	40653	42344	48614	51200	41597	44246	54144	59320	82510	68156	68180	74342	66063	61147	54087	53851	41756	43829	37720	25558	25205	30979	23337	37074	28809	38438	36937	25868	25462	29791	29791	13265	9474	9134	5791	5962	9255	6268	5509	3341
Hàng tồn kho###Inventory	3938	9370	12768	12768	14530	18747	19817	19440	19440	17300	21866	20721	20673	20673	26936	32738	28236	31339	42769	18035	35909	40720	41884	41961	46175	48624	52665	53446	52674	54279	57813	57073	69417	68945	55554	57140	56141	53645	53651	53015	56740	58173	68562	68571	61554	70119	58619	57246	57221	47516	47153	40739	38641	38641	35088	36699	25152	26965	26965	22022	24336	15926	8248
Tài sản ngắn hạn khác###Other Current Assets	544	9598	9662	15401	10478	6363	6608	6661	922	705	922	980	1036	805	950	1856	1353	1455	933	536	742	563	419	399	556	820	2703	2664	2295	3624	4131	4453	5063	4928	4787	6513	15821	15019	14935	17185	16781	16096	16184	16297	14808	13540	11993	10341	10281	5950	3557	6781	5699	5699	2667	2332	2455	2043	1971	1070	1025	803	918
Tài sản dài hạn###Non-current Assets	174070	158679	160692	160692	162616	164044	165782	167572	167720	170115	172471	174682	177268	177715	186311	188917	191018	193008	194316	196072	197878	198482	197907	197471	192587	189864	247042	239380	238869	239137	233288	227233	228336	229073	220308	289647	283142	277941	277740	261851	256268	258266	256843	257886	246093	241224	211411	200853	199856	170603	165293	149840	128565	128565	91762	88077	82358	80177	82026	74602	73080	60889	44469
Các khoản phải thu dài hạn###Long term Account Receivable	303	303	303	303	303	206	206	206	353	353	206	206	197	540	540	367	619	619	619	471	570	570	535	408	408	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	136842	138571	140317	140317	142079	143845	145613	147384	147384	149376	151197	153032	154884	154988	156848	158499	159264	160929	160241	162009	163820	164664	166266	166266	166271	166053	216003	224608	204751	201859	194754	166675	210011	210023	201015	261062	255146	218407	246536	233377	227036	227280	145980	225282	214109	206822	189715	122273	177802	152363	148315	132227	115634	115634	79205	78315	74528	72942	74748	67828	66404	56954	42530
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-73580	-71862	-70137	-70137	-68402	-66665	-64927	-63186	-63186	-61419	-59627	-57823	-56000	-56009	-54179	-52350	-50472	-48689	-48608	-46858	-45103	-43364	-41610	-41610	-41325	-40893	-58576	-55968	-55968	-53453	-50980	-49586	-47382	-47366	-45202	-53785	-53455	-50233	-50232	-47474	-44711	-43879	-41571	-41554	-39293	-37224	-23625	-21885	-21986	-20364	-19115	-17795	-16438	0	0	0	0	-12342	0	0	0	-9283	0
