CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	Q4 2006
Tài sản ngắn hạn###Current Assets	49499	41047	41047	21812	32288	34558	35161	35161	34044	33327	35589	25798	25798	29430	28372	27669	30038	30038	35532	28519	32126	34328	34328	36161	60267	55578	53567	53567	52896	46898	45337	37374	37374	46177	42460	43607	43538	43538	52681	51362	47654	47916	47916	45110	37460	35120	27873	27873	32645	41442	35513	29116	29116	32326	43612	24465	31171	31171	45693	31732	30316	38231	38231	26450	26450
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	28498	34948	34948	6576	14011	12480	14359	14359	5126	5930	8562	6615	6615	2527	5370	3975	13425	13425	18492	15370	8104	12495	12495	14257	45969	38209	38472	38472	35068	17608	22031	14496	14496	3746	4547	4160	2688	2688	3737	5988	11269	21055	21055	25988	18131	16412	10656	10656	11557	21781	9720	11306	11306	8783	24506	13944	17592	17592	31597	17757	10041	32044	32044	20621	20621
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	11000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	3000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	3195	1596	1596	4456	5949	9763	11128	11128	11743	11973	12110	7052	7052	14368	11193	10065	7863	7863	9439	6552	7824	9167	9167	9902	9213	11683	10071	9351	11411	20251	14284	13854	13854	31643	28845	29562	24204	24204	31511	31507	21822	11587	11587	5398	8754	5336	7287	7287	9148	7411	13679	7569	7569	5860	12729	5856	8470	8470	5089	2803	4688	2502	2502	2436	2436
Hàng tồn kho###Inventory	5011	2855	2855	6854	8644	9149	7183	7183	10520	9389	9139	7047	7047	7406	6910	6672	6191	6191	6242	5547	3692	3983	3983	3571	3383	4669	5020	5020	5456	5798	6190	7682	7682	9006	7357	8437	11858	11858	11446	10468	11290	13532	13532	10525	8440	10621	8583	8583	8111	8740	9031	8775	8775	7612	4558	3320	4142	4142	7387	6958	4082	2855	2855	2738	2738
Tài sản ngắn hạn khác###Other Current Assets	1795	1649	1649	3925	3683	3167	2491	2491	6657	6036	5778	5083	5083	5128	4899	6956	2559	2559	1359	1049	12506	8683	8683	8431	1702	1016	4	724	961	3241	2832	1342	1342	1782	1712	1448	4789	4789	5987	3398	3273	1742	1742	3199	2134	2752	1347	1347	3829	3511	3083	1466	1466	10071	1819	1345	968	967	1620	1213	8505	829	829	655	655
Tài sản dài hạn###Non-current Assets	70330	74456	74456	107065	113780	116331	121781	121781	128052	134323	140593	147233	147233	150865	154283	158204	165405	165405	168805	175012	178600	187206	187206	188952	128250	134852	135734	135734	139515	143545	148095	152651	152651	157177	161702	166246	184264	184264	189605	194813	196860	201008	201008	205410	210371	215610	220851	220851	231787	215036	218415	222807	222807	219161	136708	138087	141828	141828	144480	148478	149004	23608	23608	5830	5830
Các khoản phải thu dài hạn###Long term Account Receivable	96	96	96	96	95	95	95	95	95	95	94	94	94	94	94	14	14	14	14	14	14	14	14	14	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	68612	71766	71766	103402	108881	114359	119838	119838	125317	130796	136275	141753	141753	147232	152711	158190	163669	163669	167744	173165	178586	184006	184006	188938	128175	131950	135725	135725	139500	143276	147062	150854	150854	154646	158437	162247	181949	184250	187504	194798	196845	200607	200713	204509	208856	213480	218106	218106	222482	208628	209603	211245	211245	213459	132827	133613	136761	136761	139908	148422	148922	23046	23046	2854	2854
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-92876	-89877	-89877	-197773	-192294	-186815	-181336	-181336	-175858	-170379	-164900	-159421	-159421	-153942	-148464	-142985	-137506	-137506	-132040	-126619	-121198	-115777	-115777	-110346	-105785	-102010	-98234	-98234	-94459	-109305	-105518	-101727	-101727	-97935	-94143	-90429	-94035	-94035	-88480	-84104	-79729	-75354	-75354	-71452	-67105	-62481	-57855	-57855	-53220	-55003	-51189	-47247	0	0	0	0	-34770	0	-31624	-28872	0	-22705	-22705	-21784	0
