CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	6571241	6997039	7130818	7093268	6659308	6219212	5454651	5633633	5667397	5174628	5184843	4932218	4809788	4807557	4820992	4401744	4413211	4182170	4183844	3591020	3562080	3455341	3211019	3233211	3240743	3017942	3526270	3214221	3568417	3521297	3514885	3034366	3137089	3147220	3149820	3281885	3209535	3372636	3385471	3279258	3260952	3255613	3097803	3104810	3303902	2683352	2600741	2740946	2747830	2554349	2362549	2263123	2297774	2301925	1580690	1485547	1660339	989952
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	263079	119200	593928	818928	1094553	993709	450358	734834	734834	392016	429625	249865	202910	202359	256489	234517	290458	179462	179828	45172	30995	49213	64549	64548	93499	77738	307716	473093	473093	415297	492599	29194	39735	40108	74281	110958	73163	260287	260292	150277	179652	226027	254317	254293	354022	333992	357632	435844	435856	484918	715061	757135	1040027	1026561	272058	478824	292886	29546
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	125000	225000	225000	0	0	0	800	800	800	1242	41242	40992	40700	41250	40150	40150	40150	40000	40050	0	0	20000	0	40000	190000	100371	0	19635	0	0	0	0	0	0	0	0	0	0	0	50000	64868	83468	113103	113103	339900	73500	132500	250940	250940	257940	257940	257940	107940	107940	52517	52517	327931	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	2019205	1965410	1955554	1940103	1967507	1725074	1640097	1698829	1731497	1616629	1345485	1020536	976181	1149944	951108	913086	987281	1046747	1047713	819647	799470	800244	676227	653173	665109	661678	950549	715391	934739	989155	977862	1061930	1089422	1109238	1089416	1090105	1124392	1174466	1176163	1159108	1178185	1181847	1172172	1105392	1112073	1020454	992801	1018909	1008676	829631	640130	501855	459963	544286	496490	276134	190581	187030
Hàng tồn kho###Inventory	3981516	4509091	4193598	4170902	3408409	3326156	3199624	3132716	3127521	3089608	3296971	3548005	3538192	3362652	3504354	3154200	3031974	2858384	2854926	2672231	2684228	2542430	2436694	2439589	2267615	2160947	2243123	1987505	2118513	2072964	2002128	1904790	1972122	1963060	1952404	2039710	1946195	1903370	1913825	1865752	1764223	1642944	1430610	1500391	1373147	1149771	1053071	997986	1006236	936341	718729	716692	668094	609161	730696	652741	825068	758687
Tài sản ngắn hạn khác###Other Current Assets	182441	178339	162738	163335	188838	174273	163771	66454	72745	75134	71521	72819	51806	51353	68891	59791	63348	57577	61328	53970	47387	43455	33549	35901	24520	17207	24883	18597	42073	43881	42296	38451	35811	34813	33720	41112	65784	34513	35191	54122	74024	121326	127601	131630	124761	105635	64737	37267	46122	45519	30689	29501	21750	13977	28930	25331	23874	14689
Tài sản dài hạn###Non-current Assets	1526789	1059831	1066410	1072759	1172060	1143019	1175529	1198475	1148651	1232169	1194346	1319381	1273442	1311444	1312070	1684904	1694203	1693635	1716835	1837828	1844108	1874181	1878291	1841405	1879293	1851213	1481718	1817324	1475645	1497329	1526135	1506593	1494977	1482686	1547369	1777569	1778049	1718286	1717876	1733375	1739204	1729291	1717962	1744554	1721412	1520993	1505558	1486082	1456357	1335438	1301954	1300565	1307256	1106054	1207656	1166581	1022295	318498
Các khoản phải thu dài hạn###Long term Account Receivable	84006	84609	84609	121678	92927	95318	98790	98982	98982	271409	272404	291833	291833	291858	291805	291835	296238	298162	296743	304743	304721	308717	318140	227345	260344	266164	10104	349952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	776577	327643	333909	333909	336688	354946	336537	360300	360182	238597	230100	237738	231536	230853	223254	227225	254496	258830	257973	251149	241526	245392	245575	246058	234456	203176	205337	208738	206591	206751	210599	197773	300705	296374	305512	560009	570286	433324	571581	570632	575349	574992	448330	572954	577975	305195	304791	243213	285456	292169	274155	273418	270924	38636	269211	269151	253214	256127
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-300151	-299272	-296507	-296507	-302308	-321591	-335294	-345832	-345823	-244429	-240074	-241326	-237066	-237590	-233633	-231242	-241284	-236107	-237063	-200272	-195705	-190980	-187639	-187680	-180164	-170301	-166885	-163030	-163535	-159409	-158049	-153335	-151220	-146390	-156017	-230637	-224818	-219989	-223222	-218841	-212171	-205096	-197224	-197224	-189017	-131394	-126707	-122469	-122127	-117575	-114497	-111374	-106749	-11061	-104687	-101130	-90076	-76946
