CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	 2016	 2014
Tài sản ngắn hạn###Current Assets	3470190	3785429	3612204	3552075	3121950	2835883	2799129	2446636	2497891	2837913	3470662	3404396	2648578	2774203	2495193	3948087
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	715575	804472	862961	889545	613318	485502	627642	577412	581492	483855	876828	805966	686805	670307	759798	344457
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	215922	219445	234711	165344	283148	320668	257297	227534	223520	184726	177270	271731	243191	235794	104761	81974
Các khoản phải thu ngắn hạn###Short term Account Receivables	1121269	1157233	1274246	1329603	915246	956815	591851	701223	693581	549819	613339	820808	641467	746966	685266	1350741
Hàng tồn kho###Inventory	1327002	1511579	1138630	1000383	1129073	980836	1258532	871013	915587	1551454	1743768	1466552	1038114	1081902	886276	2147585
Tài sản ngắn hạn khác###Other Current Assets	90423	92700	101657	167200	181165	92062	63807	69453	83711	68058	59457	39339	39001	39235	59091	23330
Tài sản dài hạn###Non-current Assets	9357921	9291576	9219112	9271280	8857002	8770901	8087769	7961709	8264861	7315153	7094691	7485139	6958524	7024510	6401930	3904007
Các khoản phải thu dài hạn###Long term Account Receivable	113598	128001	127301	102922	138172	223303	223344	186052	165657	83762	64007	63705	3782	3747	4259	0
Tài sản cố định ###Fixed assets	1225765	1236565	764129	636885	640584	632028	527021	530170	810849	639366	655868	659818	554780	827599	648487	2933233
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-624529	-604312	-598596	-582653	-573031	-565186	-553488	-539998	-639242	-625333	-613146	-609477	-501314	-617403	-523270	-314675
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-125	-33
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-10905	-10595	-10302	-10294	-10026	-9822	-9615	-9408	-10114	-9840	-9570	-11388	-8543	-11749	-10304	-8573
Lợi thế thương mại	12825	12903	13551	13067	13714	14362	854	1139	278687	287642	296598	0	2277	1139	2277	0
