CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	8138840	7699912	8754954	8788040	9092970	9036498	8971783	9535525	9569925	10187266	9909846	9381527	9335429	9377979	8499600	8260557	7995631	7534535	7559277	7350847	7071726	6200822	6209523	6281214	5717279	5834771	5404103	5662047	5701645	5452042	5304996	5048029	4941297	5011336	4848043	4532526	4343846	4347964	4405633	4120175	3869981	3698618	3887206	3860145	3542751	3386937	2827656	2565798	2793747	2359554	2418156	1892244	1892244	1401046	1215857	1073381
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	165129	218882	143409	144909	151026	50407	252027	211914	218263	179395	116039	79762	161559	181258	156298	78448	51393	370132	185132	63681	28950	50679	88377	89506	65116	47898	38759	93390	93392	62263	94235	109313	141690	142890	120052	100840	54753	72999	66043	93128	123102	60409	81440	78734	56606	100245	52362	155502	133572	106165	38264	74653	74653	55692	41471	72627
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	12255	15400	16160	14660	16160	3935	5766	6355	0	0	0	0	0	0	0	0	0	0	185000	0	332	326	326	810	810	40560	810	310	4934	4680	4905	4750	4150	4150	3000	3000	0	0	0	0	0	0	0	2800	0	0	200000	0	0	0	0	0	0	10000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	3128549	2991935	3311369	3346011	3520047	3656162	3529665	3465670	3497785	3737685	3625047	3541907	3768965	3792513	3479233	3372317	3396306	3056182	3079295	3270195	3082132	2872929	3023383	3097016	2907187	2912502	2682989	2859588	2855631	2851189	2863398	2691859	2363602	2431311	2342384	2369224	2194695	2263398	2357922	2229544	2115200	2074041	1954298	1928761	1863054	1723904	1346408	1148626	1375551	1030165	1316323	799437	799437	560035	542332	488730
Hàng tồn kho###Inventory	4539081	4200913	4981346	4979956	5102990	5037018	4904033	5555126	5561414	5964074	5884770	5504784	5185583	5188339	4686053	4657910	4421968	4018993	4021024	3949680	3793838	3155932	3003991	3000544	2686068	2693044	2573124	2619426	2647070	2459470	2294805	2121983	2323499	2322220	2278235	1961022	1957260	1901077	1873003	1699508	1546785	1490476	1781572	1782950	1547678	1515308	1189523	1236668	1237843	1175726	1041159	988342	988342	723831	583332	485625
Tài sản ngắn hạn khác###Other Current Assets	293827	272782	302669	302504	302747	288977	280292	296460	292464	306112	283990	255073	219321	215869	178016	151882	125964	89229	88827	67291	166475	120956	93445	93338	58098	140766	108420	89332	100618	74439	47653	120125	108357	110765	104372	98441	137138	110490	108665	97995	84894	73692	69896	66900	75412	47480	39364	25002	46780	47498	22410	29812	29812	51489	48721	26400
Tài sản dài hạn###Non-current Assets	250628	243466	249480	235724	198343	208037	204672	212088	212077	211785	212704	203529	148298	148298	150751	151645	152642	155071	173698	148451	146096	144986	146463	146174	147311	147652	149440	154264	164842	166010	153109	154507	156631	174519	177575	150184	145688	145578	151745	152749	154422	147462	149175	148881	149192	148483	148575	149476	149203	148380	147464	139729	139729	144327	191203	73447
Các khoản phải thu dài hạn###Long term Account Receivable	3712	3952	3984	3984	3888	3911	3855	3841	3841	3836	3836	3993	3557	3557	3467	3310	3310	3486	22084	22084	21839	21827	21749	1056	1061	0	1061	21738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	137832	128634	132209	132294	96308	99469	103320	106625	106615	108698	111526	102786	55621	55621	56987	58572	60170	61181	32696	33363	34098	30793	31410	31410	32130	32314	33021	33841	33841	34669	35483	36330	40022	40022	40864	41949	24380	22606	41938	42551	43667	37847	21503	39067	38802	36388	36076	21923	37023	36019	35415	26644	26644	29114	103951	64228
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-62900	-62621	-59232	-59232	-56140	-53018	-54220	-51050	-51061	-47850	-44716	-40772	-39088	-39088	-37732	-36342	-34932	-33501	-33462	-34395	-33850	-33451	-32969	-32969	-32385	-31782	-30583	-29902	-29902	-29215	-28511	-27802	-26964	-27329	-26353	-25309	-27345	-26346	-26120	-25291	-24185	-23072	-21951	-21941	-20883	-19547	-18531	-17571	-17569	-16659	-15771	-14389	-14389	-11818	-10577	-9363
