CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013
Tài sản ngắn hạn###Current Assets	185446	188441	175846	175846	198621	199457	206906	218980	219704	116772	103195	115472	119758	118185	129078	223701	212446	202660	212093	191041	171480	151905	144284	146308	138534	123758	122336	122336	11064	11064
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	204	27621	692	692	2103	6299	4110	21207	21207	991	1871	400	659	659	272	1059	1838	7274	6703	3722	3749	3679	7328	7331	3639	3058	9442	9442	2087	2087
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	6900	10500	0	0	0	6370	9800	0	0	0	10300	16300	13500	7500	7500	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	149594	125181	139391	139391	154957	150032	161758	152947	153461	73605	58787	74662	79171	72311	76591	92362	94711	80746	83312	57479	60422	46681	43380	35445	28378	32673	38727	38727	3171	3171
Hàng tồn kho###Inventory	35638	35638	35755	35755	41516	43029	40872	44114	44339	40146	39504	37639	37127	35513	39138	126059	111922	109698	109698	113011	104451	96277	89288	88979	85992	72192	65395	65395	5796	5796
Tài sản ngắn hạn khác###Other Current Assets	9	1	7	7	46	97	166	712	697	2031	3034	2771	2800	2801	2576	4222	3974	4942	6011	7029	2859	5269	4288	4253	4225	2335	1272	1272	11	11
Tài sản dài hạn###Non-current Assets	30647	31700	47149	47149	47755	48176	39976	43492	43559	119940	125488	119618	119850	119850	109762	113391	115704	118321	109527	87080	85714	82506	84771	83035	84149	81900	82432	82432	562	562
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-495	-495	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	9371	9968	10172	10172	10573	10975	19906	23314	23314	35402	40813	33772	31421	31421	25997	61149	63522	65879	65907	58257	57069	53786	55830	55835	56679	54042	48436	43589	330	330
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4725	-4128	-3924	-3924	-3524	-3121	-6791	-7303	-7303	-8393	-7675	-6574	-5584	-5584	-4762	-38563	-36129	-33669	-33641	-31270	-29101	-27025	-25135	-25130	-23101	-26608	-17730	-17730	-301	-301
