CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	302983	301411	321288	321362	310582	277852	300444	310847	310847	332891	321733	294413	274688	274905	293845	261950	242714	237056	237127	233412	260944	311662	316261	399580	393407	371469	365760	326188	454333	545718	542907	536058	559348	559853	588618	630718	578359	592894	591867	635769	606066	509748	548153	548068	544760	451005	439158	463289	466475	458488	418482	476729	512470	513410	540610	511717	484266	488744	487364	494578	467635	548773	455064	454772	441879	337766	305413	311929	312521	282892	221259	192327	214864	214864	221263	180532	169170
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	22699	32749	67014	67014	19097	10118	18732	12317	12317	17568	20689	2035	10232	10232	18938	3444	14818	10469	10469	22171	29717	38069	21465	21465	9257	18312	29832	83448	83448	25781	25759	20995	29013	29013	34321	56731	37217	39625	39625	98333	94538	26192	72040	72040	86339	43252	85867	93850	93850	64795	59051	86535	127168	61286	87538	86163	87304	87927	87683	58109	41823	17775	42283	42283	109166	8740	16933	18525	18525	15072	17588	9358	10896	10896	8224	7370	13578
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	42025	30000	10000	10000	24500	24500	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65882	30000	35000	50000	50000	50000	0	0	164728	113728	113728	70000	110000	80000	90000	90000	30000	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	58145	56577	68472	68472	95675	70710	83863	86642	86642	112315	85965	104984	92270	92270	98140	96584	76594	78875	78868	87587	99571	139944	148673	151384	163276	115223	89757	132142	121492	146890	127224	133688	141694	138609	135551	136670	121274	140098	139998	161223	114423	88585	98625	98540	116131	121432	111393	118587	119985	137692	125190	171413	103690	104630	124750	162595	146454	124593	125411	184214	203617	259157	189486	189229	135377	96336	76308	58963	61171	46787	39698	60646	73119	73119	57228	39450	32824
Hàng tồn kho###Inventory	91059	105245	109430	109430	99880	98808	108097	124875	124875	121625	130214	110422	107066	107066	109701	97418	91390	99224	99224	94377	97482	103203	125333	205889	202918	222726	225324	101542	232460	345264	361053	355957	363780	367370	387961	410718	394166	390081	389081	365631	383003	374492	363132	363132	300664	251978	210647	217774	219562	222986	196958	190939	251929	251929	269021	204301	193073	215843	213924	233887	208460	95257	101052	101052	117911	115214	104226	140219	140219	185057	159401	117509	125611	125611	146941	127520	116549
Tài sản ngắn hạn khác###Other Current Assets	89055	76839	66371	66446	71431	73716	69752	67014	67014	61382	64866	56974	45121	45337	47066	44505	39912	28487	28565	29277	34174	30446	20790	20842	17957	15208	20847	9056	16932	27783	28871	25418	24861	24861	30785	26599	25703	23091	23163	10582	14103	20478	14356	14356	41626	34344	31252	33078	33078	33015	37283	27842	29683	29683	29302	23659	7436	10381	10347	18368	13735	11855	8515	8481	9425	7476	27947	4221	2606	5976	4571	4813	5238	5238	8870	6192	6219
Tài sản dài hạn###Non-current Assets	193769	191479	193856	193769	197228	192620	196829	198339	198326	192945	192590	213428	218931	218914	215839	215436	215495	214674	214568	213571	218236	219183	220247	128360	129346	131621	134702	261524	134591	113090	107801	93577	94600	94563	91712	86685	87068	89356	88436	87529	86233	83249	83479	83515	82026	72790	71567	73252	74908	75072	75413	75760	73077	73077	77287	78557	84433	87034	85573	80011	80850	84922	79759	79759	46875	45425	44852	46544	45756	46516	46177	47590	48898	48898	51320	51766	49712
Các khoản phải thu dài hạn###Long term Account Receivable	503	528	545	545	561	570	395	538	538	538	662	786	892	892	892	892	892	892	892	892	892	892	892	0	0	0	0	892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	66663	67166	66638	66524	67869	63229	65241	66474	66474	62521	61746	63606	66112	66112	66716	66653	67936	67751	67751	70219	72364	73916	68578	68266	69139	71564	73756	74617	76854	70495	72234	60423	61907	61907	58046	53000	56330	57817	58435	58181	57867	57551	57822	57822	58053	59647	58249	59920	61842	62190	62490	63334	60566	60566	62339	63329	64042	65816	61548	65494	66413	62689	57094	57094	43035	41303	41883	42718	42718	43164	42655	43623	44882	44882	46306	46591	48132
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-138012	-136210	-138137	-138136	-135066	-131994	-129170	-126309	-126309	-123252	-120524	-117899	-115272	-115272	-112552	-109900	-107212	-104491	-104491	-101794	-99025	-96963	-94440	-94440	-91915	-89063	-86828	-86446	-86591	-86909	-86424	-83842	-81439	-81439	-79337	-77281	-82662	-80378	-80378	-78211	-75844	-74836	-72589	-72589	-71704	-69159	-66672	-64218	-62562	-60626	-58753	-56924	-55128	-55128	-53278	-51418	-49593	-47790	-47541	-45559	-43724	-42152	-40914	-40914	-40142	-38899	-37855	-36600	-36600	-35742	-34473	-33424	0	0	0	0	0
