CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	1085461	1156831	1245763	1245763	1402997	1348519	1147445	1398870	1405010	1126329	1163900	949166	1104785	1104785	1168862	892845	848119	662908	662981	609441	592536	417020	362971	362961	395426	299493	161901	190621	190676	181124	198845	175509	184347	183572	197604	166296	173865	179373	180345	171580	164900	184667	235305	237004	211127	255628	225683	243291	245929	277942	361995	198965	180281	181642	168779	136836	170147	130296	123618	125876	113210	127214	69478	69914	66906	59863	40396	41939	41939	58674	90323
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	109766	102529	109639	109639	83771	77110	68356	120804	120804	59123	41945	49803	68605	68605	44107	53450	33714	40588	40588	34082	70293	11330	22571	22571	16967	11269	15444	13137	13137	18891	8224	11877	10779	10779	11465	6318	8874	9586	9586	7259	6457	4006	12390	12390	12327	31956	25923	32759	32759	20950	28507	8918	14833	14833	30812	23351	15246	8950	7949	10635	9597	44265	18066	18066	8547	4153	5291	7876	7876	5276	12952
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	3080	3146	3146	4000	4000	14656	5687	8982	5938	5843	6882	34873	14795	2049	2485	3024	3121	1110	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	213698	171542	393638	393638	592632	490699	509508	663422	669562	382921	421841	362437	359466	359466	314803	185001	179997	214631	214704	98981	151265	112148	73965	73955	77141	63252	69424	67048	67117	43229	55307	44215	46326	45219	39034	33304	36805	56305	56982	43631	39469	61368	51550	52918	62001	109487	52331	55841	57386	69326	76428	45322	84899	98173	23078	37410	60470	44450	45537	49882	19904	30327	20665	20665	25219	21892	14522	12600	12600	17693	30942
Hàng tồn kho###Inventory	755249	862723	720878	720878	697531	747270	553462	590256	590256	649518	660149	503742	628606	628606	752182	610352	599995	389643	389643	450498	351438	279031	253096	253096	282925	212638	75885	109626	109613	117267	131469	113223	125579	125579	142183	123800	124625	110821	111488	118178	116126	116631	162909	162909	129314	108830	140457	148151	146066	175852	237884	134417	74420	62466	96292	66580	79642	65996	60530	55068	45273	36182	27083	27083	28786	28151	17656	20620	20620	33944	42763
Tài sản ngắn hạn khác###Other Current Assets	6748	20037	21608	21608	29063	33440	16118	24388	24388	34768	39964	33184	48109	48109	57770	44042	34412	18046	18046	25880	19540	14511	13338	13338	18393	12334	1148	810	810	1737	3845	6195	1663	1995	4922	2874	3561	2661	2289	2512	2849	2662	8456	8788	7485	5354	6972	6541	6718	8734	16030	7161	2129	2171	3940	3809	5807	4962	3760	3410	3562	1645	1616	1616	1330	2546	1816	844	844	1760	3666
Tài sản dài hạn###Non-current Assets	298651	394107	386438	386438	433656	428061	387869	418208	412068	429434	377814	370610	371404	371404	351884	283273	220836	198093	198713	178914	96524	84967	78749	78596	65895	61521	57367	51752	51752	45491	48857	50949	47828	48152	51886	48755	49853	52820	53058	60096	62809	60767	65852	65844	64673	65594	71534	66723	66369	53010	50648	51961	53412	52391	48439	50898	50445	51116	52727	45958	42124	32164	19129	19097	15379	14568	14879	15567	15567	16268	19710
Các khoản phải thu dài hạn###Long term Account Receivable	4805	5033	5258	5258	5483	5710	5936	6162	22	8	8	22	22	22	22	0	22	22	22	22	8	8	8	18	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	250422	343326	333465	331091	376390	369572	329956	359666	359666	374697	320937	310878	308368	308368	287595	217842	147829	127334	127334	110475	90555	79035	72846	70905	56607	53563	50041	49657	47826	41668	45008	46897	44872	45331	48970	45765	46505	48270	49398	56244	58894	56660	60532	61544	59456	60349	66168	60806	61127	47627	45092	46653	47896	46917	42768	44657	38584	45819	40940	34080	30442	21106	17917	17885	14276	14465	14643	15183	15183	15740	18507
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-97717	-93099	-87541	-87178	-85542	-80197	-79606	-75885	-75885	-72718	-67305	-63595	-57804	-57804	-56109	-51669	-48257	-45265	-45401	-46420	-38769	-37038	-34848	-34740	-33436	-31989	-31908	-30730	-30865	-30313	-31501	-30541	-29110	-30629	-29632	-32354	-32598	-31045	-30938	-31017	-31948	-29766	-27973	-27981	-26969	-25390	-25397	-23889	-23889	-22175	-20674	-20062	-18384	-18384	-17120	-15966	-13566	-14436	-12423	-11948	-11376	-10433	-9602	-9634	-8841	-8084	-7336	-6606	-6606	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4455	-4201	-3947	-3947	-3696	-3445	-3194	-2954	-2954	-2719	-2483	-2248	-2013	-2013	-1778	-1543	-793	-627	-627	-627	-627	-627	-625	-625	-613	-602	-590	-578	-578	-610	-595	-624	-609	-408	-394	-379	-359	-329	-329	-299	-269	-239	-209	-209	-185	-161	-136	-115	-115	-100	-84	-69	-54	-54	-38	-23	-13	-13	-13	-13	-13	-13	-12	0	-13	-13	-13	-12	-13	0	0
Lợi thế thương mại	39305	40878	42450	42450	44022	45594	47166	48739	48739	50311	51883	53455	55158	55158	56860	58562	60264	61966	62586	63739	909	1039	1169	1169	1299	1429	1558	0	1688	1818	1948	2078	0	2208	2338	2467	2467	2727	2597	2857	2987	2987	3246	3117	3246	3506	3636	3766	3766	3896	4026	4155	4285	0	0	0	0	4285	0	0	0	0	0	0	0	0	0	0	0	0	0
