CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	525687	783729	778560	779560	781346	774539	420812	737255	417090	388524	385017	385928	595237	378601	380547	378274	557682	555593	568827	380825	387577	395469	385819	388051	357565	380343	378764	373467	381859	401808	409783	480111	465138	465138	576977	574679	523544	501250	501464	486661	460772	428630	430098	430098	426720	410149	379395	365731	365731	300232	300232	239889	239889
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2548	3007	2493	2493	2414	2293	528	2874	813	570	764	899	1114	1114	1339	1821	4390	1948	1948	4220	5074	6072	6958	6975	7517	7792	8687	9013	9013	2910	3925	4480	8744	8744	4964	6888	14846	5277	5277	1443	356	532	4740	4740	27792	1643	1766	21058	21058	1534	1534	1021	1021
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2703	0	0	0	0	0	10000	10000	7700	7700	30002	30002	2	2
Các khoản phải thu ngắn hạn###Short term Account Receivables	382424	396739	395352	396352	407795	402027	85117	402328	85989	85085	84640	86820	296313	71527	71228	66002	246135	244871	244871	62945	66985	84118	82937	82905	76072	79504	78392	75607	51813	50521	68506	63989	63011	63011	135009	170570	143236	163952	163952	178567	175231	180865	209382	209382	205062	243250	224864	197128	197128	180154	180154	110122	110122
Hàng tồn kho###Inventory	139571	382825	379572	379572	371136	367964	332841	329211	327473	302016	298451	294765	293897	302037	304152	305855	303368	305393	318735	313079	314236	305279	295924	298171	273977	293046	291685	288846	297159	323837	320477	387471	371023	371023	411612	379834	339756	306679	306893	277294	258750	220714	188942	188942	166145	129324	121195	119824	119824	81669	81669	99365	99365
Tài sản ngắn hạn khác###Other Current Assets	1144	1158	1144	1144	2	2255	2325	2843	2815	853	1162	3444	3913	3923	3829	4596	3789	3380	3272	583	1282	0	0	0	0	0	0	0	23874	24539	16875	24172	22359	22359	25392	17387	25707	25343	25343	26654	26435	26518	27034	27034	27722	25931	21570	20021	20021	6873	6873	29378	29378
Tài sản dài hạn###Non-current Assets	196705	118913	118592	118590	116847	116319	315483	114521	316600	314229	313128	317083	71388	283388	251496	233686	45813	48558	35693	40837	40029	36829	40771	43831	51301	53802	55935	52941	43916	39738	32420	40362	36244	36244	35847	40279	41949	42517	42345	43550	43140	43090	43182	43182	41556	43214	42295	43732	43732	30550	30550	31527	31527
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	4740	0	0	0	0
Tài sản cố định ###Fixed assets	94349	16983	17439	17439	16624	17066	17509	17951	17951	18393	18830	22333	22770	22770	23043	16678	22948	21313	8097	8295	8548	9010	8904	8904	9348	9720	12219	10054	11587	9924	10312	14921	15110	15110	13822	22016	22594	10993	23089	23574	24267	24844	13148	25404	26937	28442	27338	17818	27806	20994	20994	22711	22711
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8173	-6798	-6343	-6343	-5887	-5445	-5002	-4560	-4560	-4117	-3681	-8678	-8241	-8241	-9408	-11059	-20140	-23437	-23437	-22950	-22467	-21971	-21471	-21471	-20969	-20464	-19959	-19781	-19781	-19283	-18709	-18705	-18233	-18233	-17800	-17733	-17446	-16926	-16926	-16569	-16008	-15447	-14887	-14887	-16219	-16255	-15587	-14946	-14946	-15314	-15314	-12983	-12983
