CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	576556	547638	553512	553237	588812	577395	549974	496279	496279	533687	579161	563879	487994	487994	567544	543472	559960	522981	522981	548394	490210	453392	425932	425932	426071	350043	383491	383345	383345	307736	279372	269437	255377	255377	309817	297092	309473	269095	270746	275068	262917	279563	309661	320098	256223	267903	242945	208337	211425	203233	238129	190045	174910	177474	189933	206758	195381	198320	198748	216247	147284	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	144450	43747	80411	80411	79084	120459	82307	42340	42340	36101	77124	47793	21436	21436	145074	107066	68830	59394	59394	106898	55636	51378	36784	36784	57510	35781	102046	117211	117211	46842	23513	14475	5571	5571	38421	8309	19734	2294	2294	7973	7046	14241	12452	33452	7971	4475	18438	11789	11835	10692	36834	22215	15832	17830	16842	11590	6356	3862	3862	8884	6475	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	10000	10000	10000	10000	30000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10135	10135	12000	0	12000	17098	12000	12000	12000	12000	12000	12000	6000	6000	0	0	0	0	21000	0	0	0	0	0	0	70	70	286	2286	286	786	786	786	786	786	786	866	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	65582	78430	52799	52799	94884	84171	82084	53551	53551	66587	69996	91388	61659	61659	42500	47927	79086	56808	56808	75032	72551	50359	44927	44927	53768	43906	38507	43696	28100	23467	27622	31449	25857	25857	41874	40907	43912	40220	48212	46274	34339	54424	54523	58210	33905	49924	52006	41410	41316	46519	47384	38880	35009	37042	40265	42145	43894	29184	28893	55090	30889	16193
Hàng tồn kho###Inventory	353629	407738	403135	402860	379774	359919	371824	386421	386421	407776	405870	403867	381302	381302	356171	361952	384986	373363	373363	341408	341382	333723	323040	323040	296071	253067	216675	220696	220696	214303	210948	206354	205734	205734	214179	231787	235253	216842	216500	212982	212375	188920	201337	200697	182285	187713	145157	128141	131666	126480	135606	114996	106433	106488	115903	135359	127308	147988	148163	141672	90742	0
Tài sản ngắn hạn khác###Other Current Assets	2895	7724	7167	7167	5069	2848	3760	3968	3968	13223	16171	10831	13597	13597	13799	16526	17057	23416	23416	15056	10641	7931	11180	11180	8586	7154	14263	1742	5338	6026	5290	5158	6215	6215	3344	4089	4575	3739	3739	7839	9156	21978	20348	27739	32062	25790	27344	26997	26608	19473	18234	13669	15351	15828	16137	16878	17037	16500	17830	9816	18312	0
Tài sản dài hạn###Non-current Assets	697539	714794	729261	729261	730583	715962	725130	748369	748369	763303	768351	721225	733075	733077	768170	723605	716838	711847	711849	687811	629891	619618	621574	621574	602862	609403	568692	505347	505347	506880	519450	534039	547203	547203	569523	584532	575644	593103	592421	619127	645071	654992	657200	660855	668818	617756	574908	543152	543253	500760	486877	479496	485027	481299	490355	489530	460950	442700	440287	399619	398952	0
Các khoản phải thu dài hạn###Long term Account Receivable	6212	6661	6194	6194	6339	5789	5772	6615	6615	6725	6747	5882	5100	5100	5064	4009	4116	3966	3966	8914	8914	7084	6789	6789	5426	5426	1640	4316	1640	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	565196	579852	598308	598308	558108	572756	591933	614799	614799	602212	621591	584077	602925	602925	583541	591720	598119	605171	605171	502932	518228	501146	514068	514068	511102	527001	327142	342948	342948	349685	362463	379706	534450	534450	555870	571272	495579	476127	512321	531717	551247	581549	539631	582290	612533	564419	533685	388413	508320	475918	472189	460145	467278	467300	469941	469113	435322	423406	422897	385839	392157	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1095085	-1072265	-1060006	-1060006	-1039707	-1020637	-999179	-977753	-977753	-956731	-938379	-917607	-897729	-897729	-879588	-861453	-843226	-825030	-825030	-807244	-790786	-776977	-760305	-760305	-737645	-727247	-711373	-694148	-694148	-675938	-658755	-640841	-614456	-614456	-594650	-574893	-555849	-536044	-536044	-515430	-495005	-473868	-450657	-452853	-428408	-405298	-390607	-369389	-369164	-350424	-331844	-313736	-296253	0	0	0	0	-234716	0	-219719	-174434	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-4752	-6463	-5799	-5799	-4853	-3992	-3841	-3143	-3143	-2446	-1763	-1067	-719	-719	-378	-84	-11	0	0	0	0	0	0	0	-5202	-5044	-4882	-6265	-6265	-7681	-8862	-8371	-14042	-14042	-13182	-12321	-11461	-10601	-10601	-9741	-8966	-8310	-7654	-7654	-6998	-7743	-7064	-6509	-6509	-5955	15877	-4533	-3979	0	0	0	0	-1991	0	-1810	-1171	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-5821	-5008	-4195	-4195	-2646	-1904	-1163	-421	-421	-172	-169	-167	-164	-164	-161	-159	-156	-153	-153	-150	-148	-143	-142	-142	-139	-137	-134	-131	-131	-8317	-7983	-7648	-7314	-7314	-6975	-6643	-6294	-5963	-6644	-5207	-5019	-4827	-4631	-4631	-4434	-4237	-4041	-3844	-3840	-3647	10630	-3261	-3068	0	0	0	0	-2295	0	-2097	-1532	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	23	24	24	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	87922	87584	86036	86036	82548	80462	79735	81905	81905	79608	78336	75564	77682	77684	66162	26224	21949	18235	18237	6430	6430	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	68319	68319	68319	67853	67853	37632	35632	35632	25931	22486	12062	12000	12000	6000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	0	0
Tài sản dài hạn khác###Other long term assets	34072	33397	33424	33424	49940	33913	32576	32861	32861	32226	31804	27021	33668	33668	40511	39840	39799	37523	37523	39804	39518	39427	40416	40416	41188	41959	36909	18314	20990	15015	16375	16880	10668	10668	11567	11173	11746	11781	11781	19558	25972	35667	38888	42933	30353	30851	29161	23806	22933	18842	12688	17351	15749	11999	18414	18417	23627	17295	15390	11781	6795	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1274095	1262432	1282772	1282498	1319395	1293357	1275104	1244648	1244648	1296989	1347512	1285104	1221069	1221071	1335714	1267076	1276798	1234828	1234830	1236205	1120101	1073010	1047505	1047505	1028933	959446	952183	888693	888693	814616	798823	803476	802581	802581	879340	881624	885117	862198	863167	894195	907988	934556	966861	980953	925040	885660	817853	751489	754678	703993	725006	669541	659937	658773	680288	696287	656331	641020	639036	615866	546235	0
Nợ phải trả ###Liabilities	640737	570222	593749	593475	664051	671666	592511	588011	588011	688647	775977	663630	629261	629261	794857	703941	712100	699774	699769	724400	636607	588358	582494	582494	588753	545814	523596	481480	481480	494673	502896	486513	502413	502413	586994	603589	647275	632196	633400	736665	759331	784975	733271	713177	672298	640780	558260	497034	499951	453229	505179	473634	478859	435685	494894	517495	494198	485418	484624	465875	394362	467274
Nợ ngắn hạn###Short term Liabilities	481486	398860	423319	423045	491598	540088	419502	412836	412836	454363	524144	437326	404695	404695	541271	478045	460953	456733	456728	471550	412599	362618	372091	372091	409845	382337	349397	362380	361722	349728	367315	351195	379944	379944	413976	429531	479745	479568	418085	519006	584795	610639	559283	539164	512816	512134	463298	410363	413145	353848	418187	387715	411589	368415	360954	395162	390723	397855	397062	327890	256952	267780
Nợ dài hạn###Long term Liabilities	159251	171362	170430	170430	172453	131577	173009	175175	175175	234283	251833	226304	224567	224567	253586	225896	251147	243041	243041	252850	224008	225740	210403	210403	178908	163477	174200	119100	119759	144945	135582	135319	122468	122468	173017	174058	167530	152629	215315	217659	174536	174336	173987	174013	159482	128646	94963	86671	86806	99381	86992	85919	67269	67269	133941	122333	103475	87562	87562	137984	137410	199495
