CAN DOI KE TOAN	 2019	 2018	 2017	 2016	 2015	 2014	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	299213	341592	148442	93733	126363	30432	94256	89204	93501	30179	34115	34873	26497	26497	30182	62336	59124	85139	85139	125286	99202	81218	61030	71846	71909	72338	93618	67826	69005	88319	109253	210357	262888	262888	323055	249141	216909	241045	240453	53904
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	59	679	735	586	564	715	1090	2042	2042	932	1498	1129	834	834	2161	1117	1887	1305	1305	837	48	172	2050	2373	407	3364	390	508	536	547	5567	6530	7005	7005	3443	9249	28360	45540	45540	8431
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	26003	28306	26000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	276908	275373	107343	51840	78785	16169	4576	21559	28162	13191	16914	16108	7296	7296	4977	47694	19879	64086	64086	79390	48823	28646	17862	16824	23060	23228	40319	17799	19837	17973	18761	41467	68028	68028	117360	85076	115121	128780	128780	26316
Hàng tồn kho###Inventory	11750	49640	26701	27679	32491	10426	55979	32702	32702	14065	14277	15880	16581	16581	20757	11834	34348	18205	18205	41031	44327	46305	37326	47671	43198	39094	47784	45609	45609	65116	80197	157278	179439	179439	194177	147607	70623	64717	64125	16478
Tài sản ngắn hạn khác###Other Current Assets	10496	15900	13663	13628	14524	3123	6609	4595	4595	1991	1426	1756	1787	1787	2288	1691	3011	1543	1543	4029	6005	6095	3792	4978	5245	6652	5125	3910	3023	4683	4728	5081	8415	8415	8075	7210	2806	2009	2009	2679
Tài sản dài hạn###Non-current Assets	68372	143366	154707	305709	326421	43480	9908	10193	10193	109076	111245	113763	116220	117480	119774	121306	132967	120836	120836	134123	135496	139362	139291	136969	134197	131645	133353	135929	148822	147045	142780	149396	87997	87997	37761	74641	51487	22561	23149	13352
Các khoản phải thu dài hạn###Long term Account Receivable	500	1000	1000	60705	63145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1987	5057	6274	7421	9041	1503	9907	10191	10191	108943	111022	113417	115728	116988	119126	120644	131687	10286	10286	132019	133427	136943	137010	135507	133028	130662	132247	134824	143424	142977	139416	146869	84579	84579	16682	17657	19850	21590	22178	11847
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-6587	-26052	-25545	-23888	-22446	-4834	-11123	-10840	-10840	-52859	-51438	-49796	-47548	-47796	-45407	-44522	-35844	-30039	-30039	-35023	-33669	-32301	-30976	0	0	0	0	-27404	0	0	0	0	-24662	-24662	-23585	-22595	-20218	-16457	-16477	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	-528	-377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	-273	-257	-240	-213	0	-12	-11	-11	-1276	-1214	-1152	-1090	-1090	-1028	-967	-849	-3	-3	-791	-734	-675	-616	0	0	0	0	-388	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	16562	73561	84879	133778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	49323	50283	51243	52202	53162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	2	1155	41373	41316	41825	0	0	0	0	0	0	0	0	0	0	10	109930	109930	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20010	56022	30522	10	10	10
