CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	870096	858312	849444	897302	873775	869329	872726	858748	891275	943533	945325	988393	825515	819964	814257	767146	1030736	927025	960477	692620	587662	653848	671106	842323	813322	768352	1224580	813704	1113224	1137083	1147751	1146070	1151901	1245866	1095829	1152634	1466135	1966402	2004496	1936743	1871536	1908276	1843707	1497663	1553592	1484922	1600460	1838896	2109269	1142536	930581	866253	316220	316220	908496	908496
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	31598	16514	48575	48390	94065	152555	138399	125656	125656	228256	254410	273600	88254	87318	35430	20114	29120	23868	23680	14760	7197	37396	28781	28780	17984	20323	20483	27543	27549	40309	23914	14947	39667	39653	48961	58025	72592	191186	187151	63508	59202	52764	21021	21021	26290	33652	157267	544599	457301	167211	303215	255542	201794	201794	190575	190575
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	192159	209035	177741	177741	118430	53867	60000	80000	80184	30000	0	0	0	900	1700	2000	5800	5000	7000	7800	8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49500	49500	4553	34530	135530	34500	0	0	50000	50000	285000	285
Các khoản phải thu ngắn hạn###Short term Account Receivables	519841	506097	492518	456027	443091	444219	454933	435091	483363	483562	471631	516365	532072	547045	595263	563982	814867	718111	670710	403400	311792	325068	338487	505434	162676	133159	197971	177806	175544	99977	107796	154314	135454	162163	241509	284006	597802	351384	420827	349512	308371	244636	201845	493774	554590	556720	554921	705197	753634	362247	40937	28046	28632	28632	117934	117934
Hàng tồn kho###Inventory	106164	106158	109956	201804	204828	204828	205346	205346	188574	188574	206512	187992	195783	173594	172545	172017	171621	171079	248842	229987	220185	243632	244115	242055	549289	532714	930177	542773	838146	918984	944219	904475	905974	973214	735586	757772	756907	1374742	1335682	1445807	1444819	1534955	1549801	953318	897513	813898	848950	516043	723869	573146	580595	547828	1278	1278	290845	290845
Tài sản ngắn hạn khác###Other Current Assets	20334	20509	20653	13339	13360	13860	14049	12655	13498	13141	12772	10436	9405	11107	9319	9033	9328	8967	10245	36673	40088	47751	59723	66055	83372	82156	75950	65582	71985	77813	71823	72333	70806	70836	69773	52831	38835	49090	60836	77916	59144	75921	71041	29550	25699	31152	34770	38527	38934	5432	5834	34838	34516	34516	24142	24142
Tài sản dài hạn###Non-current Assets	274737	280208	281455	309186	319090	320313	320359	313749	283498	292470	307746	324657	629046	635122	730963	727942	748734	749783	717037	1041204	1065600	1082668	1080869	1012072	1185315	1180621	816086	1158646	859760	859076	861383	900660	911289	837533	1066540	1051160	907347	690424	693314	685368	684436	695727	691110	716910	690140	677471	801586	759491	841468	397082	298534	270662	806336	806336	80627	80627
Các khoản phải thu dài hạn###Long term Account Receivable	78255	84416	84440	86310	94992	94992	93826	96798	67391	74402	87339	87633	147453	147942	166204	163775	164648	164648	159473	164297	190219	206092	210838	143900	286965	286965	174082	261457	218932	218932	218932	199108	199108	191005	182670	152209	4633	4633	4633	4633	4633	4633	4633	4633	4633	4633	4633	4633	4633	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	103528	111366	112091	112091	112817	113543	114204	114864	114864	115584	116276	117001	117725	74455	75711	76548	77390	78233	78233	79076	79952	80803	81642	79652	106103	107282	107229	108433	108433	110241	112834	114166	479163	476944	479179	478542	409351	102139	455993	522091	519758	518652	106079	538738	500354	490147	467484	108867	638508	178824	173220	171470	591170	591170	34122	34122
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-21495	-21987	-21361	-21361	-21474	-20848	-20222	-19596	-19596	-18970	-18336	-18164	-18516	-18882	-18269	-17182	-16776	-16026	-16026	-15276	-14493	-13735	-12954	-12954	-16158	-15102	-14044	-12972	-12972	-12487	-14095	-12858	-11553	-11861	-13793	-12189	-10693	-12636	-12636	-11595	-10553	-9503	-8454	-8756	-7715	-6722	-5636	-4597	-4646	-3404	-2432	-2090	-1764	-1764	-646	0
