CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	1476076	1530687	1671995	1674557	1663749	1655239	1611591	1688720	1687232	1635316	1447122	1383632	1522188	1522188	1681502	1617196	1608870	1640702	1645362	1514404	1494988	1489150	1366014	1366014	1328896	1282181	1201101	1217145	1217145	1136027	1199661	1128932	1085733	1087204	970583	910262	920133	936936	936302	900906	921384	871271	995883	996554	740854	711456	615082	576731	580029	511391	477438	375782	375782	362869	316587	201112
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	27077	47681	68105	68105	12197	29074	43106	37149	37149	14515	4617	8745	7831	7831	4723	34862	35458	59677	59677	40069	48498	143966	161714	161714	106047	110117	85278	175945	175945	129522	129498	118804	207747	207747	149453	125682	138919	135595	135595	117121	159934	121275	143037	143037	73165	115860	97848	121554	121414	84692	93641	46585	46585	12210	9362	20453
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	153107	153740	153217	153217	153217	152468	144243	160719	160719	160719	160019	164808	169316	169316	189316	172659	189075	185613	185000	166000	159000	87000	60000	60000	47000	27000	41000	8000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	430701	429236	606437	609953	527066	564351	574090	649439	644341	583488	420301	381693	471364	471364	598192	570078	589266	538884	537759	542449	557852	483793	440133	440133	450103	409078	374027	297469	297469	296721	387598	318507	245853	245853	248858	258774	256529	271289	270784	231214	290198	255556	205986	206658	224755	228255	154336	159208	163517	176465	156720	170845	170845	131081	57020	41067
Hàng tồn kho###Inventory	862154	896751	843844	842891	970416	905415	847327	839576	843186	866574	849525	818401	871239	871239	884047	834722	782983	845450	851982	759945	727052	756847	682580	682580	716374	722449	689575	708992	708992	694866	671603	671116	599488	600958	551884	493857	511263	502048	501919	523006	464352	486578	630447	630447	431021	362935	352531	293872	292627	241103	222509	154015	154015	201834	235069	127557
Tài sản ngắn hạn khác###Other Current Assets	3037	3278	390	390	852	3931	2825	1837	1837	10020	12661	9986	2438	2438	5223	4875	12088	11078	10944	5941	2587	17545	21588	21588	9373	13536	11221	26738	26738	6919	10962	20504	32645	32645	20389	31949	13421	28005	28005	29565	6900	7862	16412	16412	11912	4407	10366	2096	2471	9131	4567	4337	4337	17744	15137	12035
Tài sản dài hạn###Non-current Assets	217468	229475	236620	235697	220707	236068	244430	261934	261934	243994	252187	262936	280625	280513	301943	318505	320296	336070	337290	343377	330608	287047	251761	251761	249062	236189	230794	216987	216987	212587	204153	205823	207795	206199	203665	183537	175192	159285	158734	153846	127839	122664	119819	121081	124722	124215	121324	125272	125272	127835	126999	102146	102146	268671	236771	36766
Các khoản phải thu dài hạn###Long term Account Receivable	2277	2277	4870	4870	4695	4705	8490	8517	8517	5194	7998	9116	10156	10156	11416	11437	11491	11107	11107	11708	12553	10672	9259	9259	10894	11573	11120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1470	1470	1393	234	234	0	0	0
Tài sản cố định ###Fixed assets	167705	174804	180653	162002	158579	167519	167022	176851	176851	166194	173773	182812	193354	193354	207946	216552	206067	199047	199047	196815	204383	195421	180037	180037	183356	168735	163533	158964	157074	150191	140261	139195	138223	136628	158376	140526	133583	88071	121644	118740	95790	92245	88567	89672	92980	92088	89508	90204	93212	95866	96139	91214	91214	262271	235002	35166
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-340243	-331492	-294637	-306442	-299178	-292474	-281273	-271811	-271811	-253855	-242835	-235616	-228528	-228528	-220132	-208335	-202037	-195673	-195673	-187807	-178319	-174334	-168627	-168627	-152002	-144240	-139803	-135953	-135953	-131912	-127941	-111766	-108425	-108425	-105072	-102013	-104067	-78456	-78456	-75618	-72901	-70245	-67661	-67661	-68763	-66402	-64063	-60708	-60708	-58385	-56113	-54808	-54808	-45871	-41659	-37335
