CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	10275	11831	14182	14182	14209	14255	16187	18327	18327	16432	17354	15553	17671	17671	16310	16764	16135	17008	17008	14280	14984	14364	14473	14473	13762	13561	14440	14398	14398	14271	13462	14186	15102	15102	14804	13052	12821	13624	13624	11696	12420	11640	12026	12026	12853	11998	10128	6819	6819	11546	8694	0	11546	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	945	435	3072	3072	2147	688	1094	2754	2754	859	1208	760	3150	3150	2226	2368	1359	3966	3966	1239	3010	3166	2164	2164	2579	2323	594	1203	1203	1388	1178	1511	3096	3096	4856	3725	3019	3518	3518	2741	2899	4709	3728	3728	2520	1429	5041	1985	1985	3377	835	0	3377	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	7000	8348	8348	8348	9985	11148	12156	11156	11156	11160	11160	11163	11163	11163	11450	11523	11534	10534	10534	10546	10546	8988	10679	10679	9720	10005	11943	11514	11514	11321	11387	10756	9756	9756	8389	8309	7834	7272	7272	7201	7696	6173	6563	6563	9411	9411	3711	4012	4012	7187	6122	0	7187	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1847	2565	2303	2303	1586	1930	2051	3562	3562	2258	2905	2045	2131	2131	2068	2847	3196	2333	2333	2042	1198	2124	1583	1583	1446	1198	1463	1681	1585	1402	656	1628	2165	2165	1548	853	1899	2762	2762	1477	1527	741	1714	1714	670	1135	1329	748	748	493	1522	1809	493	381
Hàng tồn kho###Inventory	460	459	460	460	460	460	862	855	855	2131	2075	1561	1228	1228	566	23	24	153	153	404	209	41	41	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	149	0	0	0	0	0	0	0	0	193	39	0	193	0
Tài sản ngắn hạn khác###Other Current Assets	23	23	0	0	31	28	23	0	0	23	6	23	0	0	0	2	21	21	21	49	22	45	5	5	18	35	441	0	96	161	240	291	86	86	10	165	68	73	73	39	150	17	21	21	252	23	48	74	74	296	176	0	296	0
Tài sản dài hạn###Non-current Assets	3939	3960	4014	4014	2311	1000	108	108	108	108	71	124	71	71	29	71	135	71	71	2267	2162	2162	2162	2162	2162	2162	2162	2162	2162	2162	2162	2162	2170	2170	2179	2187	2235	2261	2261	2277	2210	2231	2243	2243	2336	2356	7925	8024	8024	185	7822	0	185	0
Các khoản phải thu dài hạn###Long term Account Receivable	10	10	10	10	10	10	10	10	10	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	965	990	990	990	990	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	17	25	73	99	99	115	48	69	81	81	174	194	274	373	373	185	172	0	185	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-753	-745	-745	-737	-728	-944	-918	-918	-886	-864	-843	-818	-818	-763	-668	-575	-459	-459	-172	-253	0	-172	-73
