CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q2 2015	 2014	Q4 2014	Q2 2014	 2013	Q4 2013	Q2 2013	Q1 2013	 2012	Q4 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	94169	83079	137552	137552	182090	128072	114044	132176	129832	160445	124650	153118	205056	205056	122000	81615	65885	149726	149726	117987	152735	118396	132514	132514	85243	147791	147791	88073	132961	132961	162313	52482	46344	46344	80174	177953	133221
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5941	24612	69405	68822	69787	6161	38456	60002	59153	73353	36600	100860	147147	147147	30203	9967	21233	36851	36851	72999	69814	52557	71539	71539	10103	16878	16878	16724	37523	37523	98509	8705	239	239	5202	21344	17655
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	2000	2000	2000	2000	0	0	0	0	0	0	0	0	65000	65000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	7000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	61011	27164	35109	35692	86884	95048	48529	43492	43482	62316	63870	29772	34833	34833	70430	49639	25507	29262	29262	23089	67436	53383	50642	50642	68139	125095	125095	42489	82346	82346	62877	42938	44998	44998	64254	143898	109188
Hàng tồn kho###Inventory	25004	24997	27002	27002	24742	23550	23944	25197	25197	24777	22806	22486	23040	23040	21331	20596	19100	18352	18352	19253	14344	12456	9714	9714	5927	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản ngắn hạn khác###Other Current Assets	2213	6307	6036	6036	677	1314	1114	1486	0	0	1374	0	35	35	35	1413	45	261	261	2645	1141	0	620	620	1074	5818	5818	28860	13092	13092	927	839	1107	1107	5718	5711	4379
Tài sản dài hạn###Non-current Assets	1772166	1754045	1728851	1728851	1694576	1689022	1708612	1714341	1715837	1726763	1740926	1762700	1778016	1778016	1779402	1814988	1842898	1859039	1859039	1892270	1883308	1908086	1923841	1923841	1957023	1886658	1886658	1726655	1369800	1369800	1167258	1131753	1093860	1093860	827060	433116	222101
Các khoản phải thu dài hạn###Long term Account Receivable	18061	18061	18061	18061	18061	18061	18054	18051	18061	18061	18061	18061	18061	18061	0	18061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1735224	1562677	1586817	1586817	1607636	1628456	1649221	1670096	1670096	1688208	1705989	1725711	1743570	1743570	1762523	1780371	1824713	1842511	1847308	1868203	1880004	1895407	1912588	1912588	1944186	1876099	8651	8692	1359016	8773	8852	8901	8945	1071278	9147	1074	211529
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-408115	-384717	-365079	-365079	-344259	-323439	-302674	-281800	-281800	-263892	-245972	-227927	-210068	-210068	-192154	-174306	-156398	-138601	-138601	-121188	-104243	-86974	-69793	-69793	-35905	-1380	-1380	-2111	-2030	-2030	-1538	-1879	-1874	-1874	-1835	-1773	-1713
