CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	71686	71076	80854	84592	51677	53042	55660	60776	60895	48727	57625	58754	58647	58647	46220	41269	42886	44007	44007	69907	69923	69952	69327	69327	76856	75150	67820	65675	69511	84210	85833	88225	88695	88695	123882	139276	168283	169390	139547	245162	274501	294974	374639	374739	402566	373831	386886	417624	417558	228583	238197	270148	450635	227600
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	5747	10030	35855	10856	2644	7311	3492	5567	5597	2091	1520	9764	5818	5818	5687	3294	8120	2174	2174	2316	3947	4660	830	830	951	1444	29533	24849	24849	9979	3472	4331	4744	4744	1429	1459	6725	5327	5327	16351	18356	8372	45932	45932	3755	17518	21232	18912	18912	80741	8734	4875	117886	7340
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	18494	12611	10645	35645	15152	12439	17832	20370	20370	18100	29848	23955	34440	34440	23384	23114	24128	29894	29894	35590	35032	33308	36248	36248	35261	33299	322	322	322	22689	7815	8148	8581	8581	11896	14113	15360	16360	16360	106761	107512	157985	176860	176860	194402	195042	236261	134345	134345	94437	172303	260107	303652	213016
Các khoản phải thu ngắn hạn###Short term Account Receivables	45782	46935	32568	36588	31701	31112	28416	27343	27890	21259	20722	19504	12175	12175	10752	9265	5409	7178	7178	24660	25824	22822	23359	23359	27172	26892	24375	25914	25995	33350	56326	56995	57453	57453	90843	103341	125178	126596	98748	74614	94390	79658	94430	94530	159902	83493	48097	78066	263202	52788	40052	4697	26383	7007
Hàng tồn kho###Inventory	1218	1218	1218	1218	1218	1218	4959	7466	7037	7037	5506	5506	5601	5601	5506	4894	4393	3780	3780	6216	4378	7878	7878	7878	11998	11998	11998	13487	16998	16998	17411	17401	16499	16499	16387	16387	10879	10874	10874	2241	2056	1760	1554	1554	1225	1080	804	728	728	200	122	110	2342	0
Tài sản ngắn hạn khác###Other Current Assets	445	281	567	284	961	961	961	30	0	238	28	24	613	613	891	702	837	980	980	1125	741	1284	1012	1012	1474	1518	1593	1104	1348	1193	809	1351	1417	1417	3327	3976	10141	10233	8238	45195	52187	47198	55863	55863	43282	76699	80492	185573	371	416	16986	359	373	236
Tài sản dài hạn###Non-current Assets	208991	207298	200948	196965	197330	193152	188167	182049	182049	176218	165650	165747	165913	165913	166000	165451	164612	163776	163776	184225	183991	184222	183617	183617	175870	183251	183436	186131	182620	191098	190544	190604	190918	196144	272136	274261	299040	299219	327068	247802	246146	242118	239852	239752	219741	203953	269200	200951	200951	214204	213851	211416	205804	273697
Các khoản phải thu dài hạn###Long term Account Receivable	5171	5195	5171	81	81	81	81	81	81	81	81	85	81	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2565	1004	1057	1057	1110	1096	1218	252	252	300	347	394	442	442	1466	1571	1676	1781	1781	678	725	774	1	1	3	5	7	9	9	10	12	124395	124404	124404	124413	124445	124515	353	124583	124592	122825	120651	757	118173	128018	112119	120286	1135	117447	114046	110202	107357	105123	143104
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-612	-452	-399	-399	-346	-299	-876	-819	-819	-771	-724	-677	-629	-629	-755	-650	-545	-440	-440	-393	-346	-297	-250	-250	-1392	-1390	-1388	-1386	-1386	-1385	-1383	-1375	-1366	-1366	-1511	-2614	-2928	-2812	-2812	-2691	-2569	-2446	-2326	-2326	-2210	-2094	-2015	-1901	-1901	-1788	-1657	0	-1368	-1294
