CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005
Tài sản ngắn hạn###Current Assets	287152	47166	48299	50291	41164	32744	171329	235949	235949	409066	396200	377667	444561	443920	378119	369055	359558	368120	367112	325773	261733	249490	269958	269958	401703	341004	191329	284690	298670	299457	265118	279053	292918	293041	295230	289932	274946	307853	305032	299719	291418	286492	280119	280146	261117	253643	287140	296739	297595	230146	216840	242043	273022	272923	217683	202250	242503	271272	266855	357669	351510	293396	290300	290300	129628	107002	82026	86077	86077	83694	78010	90346	105030	105030	151414
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	28483	1055	2871	2841	1913	796	622	57695	57695	263110	201476	139630	954	954	74938	162677	74832	110177	110177	78691	69302	62651	101945	101945	95914	84547	74926	80683	80683	90716	51721	63077	85694	85694	89677	86609	71784	76451	75240	78496	39600	37050	34541	34541	25788	31387	39393	32669	32669	19497	58377	52983	85318	85318	56364	57584	56591	64578	13378	5077	7705	9292	19977	19977	5202	5352	2222	3935	3935	29601	1182	1725	1693	1693	3978
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	17900	41000	42700	42700	36500	29100	167500	176000	176000	139500	188500	230000	439700	439700	294400	194700	274723	249129	249129	210005	184205	179205	161705	161705	160005	106505	102205	78705	78705	57205	8705	7300	7300	7300	6000	8900	4900	24900	24900	6900	33760	16010	18510	18510	9150	9350	5000	25000	25000	44500	0	45000	47000	47000	1300	1700	1870	1670	52870	60099	79224	44700	120000	120000	1150	650	650	650	650	650	650	650	650	650	650
Các khoản phải thu ngắn hạn###Short term Account Receivables	240679	2359	1062	4514	2503	2684	3095	2179	2179	6318	4434	7344	2966	2325	6829	6228	7253	5989	4730	35212	6273	6224	4437	4437	6616	10717	7835	11031	10886	10846	9848	10709	9304	9304	34736	34029	33021	39893	40896	40212	36305	47294	57814	57814	46400	65425	73091	83474	83471	33712	35922	20819	25578	26157	50414	28344	33965	35978	35978	37045	64542	44670	24857	24857	26139	19009	8487	17888	17888	6406	6780	11401	12252	12288	44775
Hàng tồn kho###Inventory	13	0	3	3	11	11	11	0	0	5	26	0	0	0	23	255	253	254	254	255	259	253	301	301	137513	137465	4628	113627	127849	139994	194175	197176	190099	190210	163726	159717	163655	165277	163237	172543	178465	181140	166288	166315	174516	145411	168030	153852	154712	127235	119733	116460	113497	112818	108820	113939	143278	167544	163127	243861	189825	186331	118045	118045	93790	79828	69396	62767	62767	46693	69125	76327	89008	89008	101576
Tài sản ngắn hạn khác###Other Current Assets	77	2752	1662	233	237	153	101	76	76	133	1764	693	941	941	1928	5195	2496	2570	2822	1610	1693	1156	1568	1568	1654	1771	1734	645	547	695	668	791	521	533	1092	677	1586	1332	758	1568	3289	4997	2965	2965	5263	2070	1627	1743	1743	5202	2807	6782	1629	1629	785	683	6799	1502	1502	11588	10214	8403	7421	7421	3347	2163	1270	838	838	344	272	243	1427	1392	436
Tài sản dài hạn###Non-current Assets	93069	259141	345149	341399	310321	295235	320835	103856	103858	95227	95631	99030	93619	93619	97935	99741	100210	99306	99306	94887	142282	156111	156827	156827	158392	154585	287581	152213	138184	129815	123449	112680	113785	113776	117353	116901	117011	115236	111615	115569	116455	112946	114246	114218	125665	142421	137204	134425	134210	167247	164455	116774	110312	110274	74795	74804	78671	75523	81833	82750	80865	82489	67955	67955	67603	52969	54538	56175	56175	57896	59937	61512	63202	63202	49371
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	212	212	12	12	12	46938	46938	46938	46938	46938	46938	0	46938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	557	557	0	0	0	0	0	0	0	0	0	0	260	260	260	0	311	0
Tài sản cố định ###Fixed assets	11185	12726	13153	13153	13150	12270	12644	13063	13063	13452	13273	13190	13196	13196	13706	14039	14030	14451	14451	14859	14948	15409	15739	15738	14977	15133	15390	15716	15714	15544	15836	16148	16171	16171	15693	15945	16732	18974	16824	19276	19644	20080	19903	19880	20535	20800	20968	20610	20693	21799	21848	22301	24069	24069	18839	5016	21991	28006	28006	24641	22229	20314	20649	20649	20950	21225	23116	26458	26458	30559	35020	39539	47514	46051	48080
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-12449	-12186	-11759	-11759	-12651	-12285	-11969	-11550	-11550	-11199	-10788	-10409	-10040	-10040	-10070	-9662	-9272	-8868	-8868	-8457	-8046	-7643	-7279	-7279	-6860	-6968	-6608	-6250	-6252	-5901	-5597	-5250	-4921	-4921	-7133	-6828	-7254	-7512	-6928	-7171	-7299	-6898	-6577	-6578	-6504	-6360	-6270	-6016	-6016	-8460	-8787	-9342	-10269	-10269	-10454	-10094	-12933	-14692	0	-14528	0	-13435	-12681	-12681	-12685	-11920	-12559	-12386	-12386	-12595	-15075	-14655	0	0	0
