CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	51502	55484	55671	89942	85709	91363	90072	84318	86038	85110	84941	67458	62334	69029	66939	61334	72935	71634	75309	80176	80091	67775	82279	78706	121057	84440	121263	83808	83649	80725	78418	75224	66623	66623	67221	78509	81088	78755	84182	84291	81599	81620	76544	77428	86005	101962	89126	70811	70812	59453	61585	62021	59139	59141	40215	20729	66170	10984
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	11024	11551	10700	5809	22621	30523	52835	43441	16495	53063	47934	29756	21313	21313	21129	15164	25986	33392	33401	27324	30598	28932	49096	49096	66565	73489	80936	80559	80559	77200	37886	37521	2619	2619	1346	4255	4570	2579	1352	948	3571	1395	28917	28917	33335	49245	54350	51981	51981	37465	35245	31494	28749	28749	26634	5791	39888	510
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	16202	17502	16202	23102	20201	18180	7830	7830	36191	0	0	2000	1000	1000	10000	14337	14254	1254	1254	19176	19176	19176	24176	24176	6176	1176	1091	1091	1091	1091	36895	33587	56683	56683	56683	47092	44658	38710	39937	38026	31061	33472	0	0	0	0	0	0	0	7099	6900	5000	5000	5000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	21120	23189	25829	50747	39968	39395	26742	30550	30955	29618	34933	33256	38159	44339	33395	29532	30590	34848	38532	30316	28345	16411	4229	610	46589	8018	37263	204	35	318	1532	1676	4645	4645	6156	23473	27900	33480	40537	42373	44083	43987	44671	45555	47168	39898	30127	15046	15046	10942	15611	21390	21913	21913	8234	7274	22722	8134
Hàng tồn kho###Inventory	42	41	41	41	41	108	41	41	41	44	43	45	46	46	47	47	6	40	40	0	10	0	0	0	0	83	323	323	323	392	394	434	435	435	453	534	704	674	674	1012	937	836	923	923	3030	9533	2122	1098	1099	949	1104	1473	1229	1229	1262	969	1330	826
Tài sản ngắn hạn khác###Other Current Assets	3115	3202	2901	10243	2879	3158	2625	2456	2358	2385	2030	2401	1817	2330	2369	2255	2099	2100	2083	3360	1961	3255	4778	4823	1727	1673	1650	1630	1640	1724	1712	2006	2241	2241	2582	3155	3256	3312	1682	1932	1947	1930	2034	2034	2473	3287	2528	2686	2686	2999	2725	2664	2248	2249	4086	6695	2230	1513
Tài sản dài hạn###Non-current Assets	28157	25007	25407	5631	18611	18826	20234	8587	1797	579	3092	219	6624	-2388	-2380	7876	4229	8024	4349	51	4289	15452	1620	5025	-37024	0	-37066	0	0	1146	1893	4237	8370	8373	9086	13913	14958	19295	19295	20652	22030	24282	27366	27366	29541	31268	32821	39003	39003	45033	47089	49455	51770	51770	65233	83946	66860	81147
Các khoản phải thu dài hạn###Long term Account Receivable	21569	18398	18398	0	0	0	0	372	0	0	2556	0	5884	0	0	7136	3436	7136	0	0	3700	1620	1620	0	-37024	0	-37066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	628	594	676	677	777	950	1146	1217	1217	449	204	219	227	227	235	245	176	184	184	683	548	32	0	0	0	0	0	0	0	1146	1885	4194	8281	8306	9012	13793	14828	19100	19100	20427	21755	23893	26944	26944	29062	30729	32272	38470	38470	44448	46443	48721	51007	51007	64608	83211	66546	80716
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-611	-1933	-1687	-788	-873	-706	-520	-274	-274	-344	-333	-318	-309	-309	-301	-292	-280	-272	-272	-263	-260	-273	-593	-593	-593	-593	-665	-934	-934	-3929	-5181	-8935	-15876	-16337	-15635	-21953	-20941	-27626	-27626	-26500	-25176	-27446	-30485	-30485	-30546	-28879	-27209	-34990	-34990	-39573	-37550	-35271	-32986	-32986	0	-50698	-36075	-20741
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-41	0	-37	-35	-35	-35	0	-35	0	0	0	0	0	0	0	0	0
