CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	 2012
Tài sản ngắn hạn###Current Assets	2925929	3497518	3646422	3494341	3389613	3157202	3254120	3630369	3809463	3883313	3789634	3633658	3861165	3867731	4652215	4454633	4109061	4656278	4418901	4718212	4354670	3463545	3463545	3521649	3521649	2820488	2820488	2220532
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	170187	176614	269900	269865	262810	68233	132851	298068	297378	257323	178261	165665	276149	276149	309862	88800	117369	454985	454975	370305	544906	456122	456122	481529	481529	62860	62860	53962
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	253500	203500	118500	118500	4716	4716	4716	4716	4716	4216	0	0	0	0	0	20000	0	0	0	0	0	0	0	16595	16595	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1332248	1406521	1597784	1580577	1560505	1555063	1685732	1961068	1952157	1776018	1607472	1608027	1696172	1694983	1629112	1702115	1709745	1905093	1934151	2170048	1819461	2005173	2005173	2181714	1950225	1804753	1804753	1227018
Hàng tồn kho###Inventory	1078036	1580019	1549251	1410351	1397673	1400301	1275204	1247564	1271419	1603969	1746506	1592911	1623530	1631391	2437054	2377729	2010760	2044795	1778618	1949680	1826888	898206	898206	825816	825816	707381	707381	760211
Tài sản ngắn hạn khác###Other Current Assets	91959	130864	110987	115047	163907	128889	155616	118954	283793	241786	257395	267055	265314	265209	276187	265991	271187	251404	251156	228179	163415	104045	104045	15994	247483	245494	245494	179340
Tài sản dài hạn###Non-current Assets	2157488	2177090	2191442	2378542	2364075	2308561	2304338	2301843	2299255	2419420	2316426	2359469	2273651	2273443	2318517	2241292	2454769	2210403	2479379	2135724	1652966	1983167	1983167	819898	819898	710789	710789	708175
Các khoản phải thu dài hạn###Long term Account Receivable	782	782	689	689	689	689	7739	7648	7648	7648	7648	7050	7050	7050	7050	7050	0	0	0	0	0	8766	8766	56773	56773	48235	48235	33716
Tài sản cố định ###Fixed assets	1459464	1469962	1481621	1456268	1449047	1456143	1466518	1476237	1476237	1491926	1505439	1604023	1618618	1532400	1547658	1475238	1496412	1516303	1516246	1440125	1449839	277859	277859	241802	241802	510882	233240	305862
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-218424	-229756	-218662	-218686	-223411	-217624	-231640	-225034	-225034	-296873	-410376	-425573	-411004	-410464	-431400	-434638	-419576	-399672	-399729	-393014	-362478	-333486	-333486	-322705	-322705	-351183	-351183	-297881
