CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	Q4 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	7644512	6600249	6385391	6863230	7451853	7535597	7032898	7623218	7623218	9462578	9075932	6856556	8031892	8026788	8349204	6860975	6357660	6614552	6614552	7080584	7264439	7264439	7592303	7592303	8250915	7154783	5253908	5871493	5896283	4591537	4833504	4007170	4388615	4465044	4235620	3756446	4140328	4269272	4271904	3029758	2501937	2766024	2615396	2615542	2163006	1728754	1519494	1403001	1397542	1729035	1714504	1390467	1640547	1470518	1455293	1265804	1612849	1395609	898588	1281720	862821	495120	862688	538796	533268
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	252178	453631	625387	620887	560873	146104	369839	447689	447689	880800	933144	971489	1785116	1782616	1042291	670985	732712	1532279	1532279	879768	864823	864823	82926	82926	661950	185623	362029	2000246	2000246	842021	958109	965913	1298619	1305258	511241	150284	777272	1092050	1092050	209092	314202	691652	741371	594776	88330	228307	77797	151115	151115	53601	121556	51658	99679	24679	19010	7257	12268	16253	10292	3333	32136	35455	31126	14646	8935
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1861618	1586663	1403566	1408066	1085305	1036259	730846	516490	516490	677703	696247	260433	231236	241236	653704	536538	612802	537109	537109	975607	894003	894003	1702410	0	0	1138981	303978	150798	150798	308527	306548	269481	128385	134171	172686	178713	25162	79837	79837	57770	80283	34126	223610	223610	138687	187044	151607	229707	229707	228511	228280	171759	222463	209718	263857	222976	370978	192823	191643	169170	150007	2150	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1278480	1266208	1400444	1947251	1853562	1520468	1538523	1905808	1905808	2011103	1289865	1565117	1913342	1897091	1624073	1199439	1207540	1260301	1260301	1135535	1114455	1112336	1269645	1269645	1521884	1007022	1013218	989181	1013971	937358	643666	514423	577285	583066	482923	466696	535275	472712	472713	520877	444111	545094	456682	463982	442187	271494	307504	231631	231671	535131	491952	421488	583189	472842	222965	612689	730060	899500	606272	992896	589127	388605	662747	443204	463726
Hàng tồn kho###Inventory	4138529	3223949	2894179	2825699	3873767	4765792	4304467	4674283	4674283	5852081	6105723	3990069	4073199	4073199	4930372	4391378	3723511	3220431	3220431	4026812	4312733	4312733	4451448	4451448	4817117	4727995	3409060	2464315	2464315	2318334	2702196	2130164	2228390	2286613	2924536	2781680	2655924	2408809	2412513	2050210	1515590	1357579	1213742	1214495	1351104	955262	918244	749998	744436	859693	825907	716251	717559	733000	906938	395939	458233	260183	72766	88528	64023	55103	140131	58020	54114
Tài sản ngắn hạn khác###Other Current Assets	113707	69797	61815	61327	78346	66975	89223	78948	78948	40891	50952	69448	28999	32646	98764	62634	81094	64432	64432	62862	78424	80543	85874	85874	86251	95162	165623	266953	266953	185298	222985	127189	155936	155936	144234	179073	146695	215863	214790	191808	147751	137572	119615	118679	142698	86647	64343	40550	40613	52099	46808	29311	17657	30279	42523	26944	41310	26850	17615	27792	27528	13807	28685	22926	6492
Tài sản dài hạn###Non-current Assets	1748543	1719713	1679093	1677034	1584393	1506023	1440518	1469297	1482606	1470128	1456093	1465121	1478394	1470894	1497667	1495220	1526619	1556527	1556527	1868091	1960709	1960709	1693186	1693186	1747802	1767252	1738480	1766050	1766050	1770491	1809161	1853308	1881317	1879174	1898635	1893496	2138601	2056194	2042643	1862900	1614413	1455321	1279408	1280076	1155939	859239	903036	819370	817925	800804	713725	746097	626359	821297	1014920	1079956	889130	725164	931308	697015	645043	414962	170487	379600	51394
Các khoản phải thu dài hạn###Long term Account Receivable	4873	5873	5865	3807	7307	3807	7307	7307	7307	14792	14682	14634	14605	14605	14611	14615	14618	14679	14679	287630	240969	240969	0	0	65441	65743	65055	75822	75822	114157	114195	113033	112489	112489	108675	102532	97003	92226	92226	46026	36154	64720	50245	50245	0	99026	113340	119900	119900	136487	136406	136544	21621	131383	133607	26992	9778	9965	20396	20564	12646	12835	2536	0	0
Tài sản cố định ###Fixed assets	1050158	993864	1002151	1002151	967310	983510	1004944	1039768	1039768	946446	945737	959311	978812	978812	1005572	1014928	1125021	1155868	1155868	1189115	1315799	1315799	1550128	1550128	1543699	1564409	1536964	1558974	1552541	1550933	1562746	1622402	1645651	1643975	1659977	1649715	1677064	1648679	1706566	1544750	1306920	1061072	968661	968661	845089	500138	468768	427070	427070	401751	313693	311510	294179	282979	467297	431157	426875	424875	239186	235192	233633	29045	134104	32518	32215
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1589187	-1558253	-1505224	-1505224	-1464986	-1424703	-1381230	-1339347	-1339347	-1295707	-1252211	-1209223	-1167891	-1167891	-1126721	-1085062	-1044017	-1010891	-1010891	-967212	-834684	-834684	-669572	-669572	-639938	-601139	-561524	-522683	-518145	-479527	-442907	-423106	-385037	-385006	-347918	-311128	-254332	-238030	-230265	-202549	-181963	-169894	-158821	-158818	-148560	-138324	-129388	-120983	-120983	-121945	-113972	-106308	-101248	-100902	-95365	-88681	-82561	-76571	-32383	0	0	-28055	-59439	-27018	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1583	-792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-23470	-22574	-21414	-30820	-20246	-19070	-27272	-16661	-26067	-13755	-13112	-12462	-11800	-11800	-11135	-10532	-17714	-16554	-16554	-15559	-12174	-12174	-9925	-9925	-9242	-8541	-7841	-7142	-7142	-6569	-6057	-5740	-5232	-5232	-4747	-4344	-4008	-3834	-5988	-4658	-3975	-3807	-3639	-3642	-3477	-3314	-3182	-3035	-3035	-2878	-2722	-2586	-2442	-2910	-2742	-2465	-2196	-1931	-1888	0	0	-1513	-1424	-1419	0
