CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	1250943	1411424	1863087	1839681	1357237	1275599	1261989	1611245	1611245	1330824	1480345	1440756	1378042	1377538	1145801	1216108	1126980	1103981	1119602	1099017	982420	997059	957407	1006812	1152153	1109351	1061488	951628	951628	861362	899288	910413	792703	792703	743823	760761	806666	806666	768502	834955	956800	777699	777699	777699	625469	591233	471752	416474	416829	404924	479275	463343	354445	354113	366626	378458	302571	291644	280791
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	149702	202493	425668	425668	208458	130243	116324	215197	215197	178866	243058	413478	330821	330821	286376	267722	224957	171369	171369	215414	150003	137561	167946	167946	214223	38979	170535	193005	193005	275278	257651	241237	146586	146586	142037	93321	116330	116330	87903	43217	56567	51314	51314	51314	36431	40360	62877	77177	77177	57093	59006	90000	64420	64420	45063	82626	44459	40559	30904
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000	40000	40000	0	0	0	0	110000	170000	140000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4000	0	0	0	0	0	0	0	0	0	62700	35000	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	431191	384372	548305	548305	623224	678761	458619	655369	655369	438975	552793	477817	524668	523800	396149	454793	452321	497411	497411	476576	412312	389450	339688	389092	460483	491583	360145	389136	389136	301138	415650	400469	353852	353852	369768	410169	366138	366138	311897	434721	509364	373114	373114	373114	326705	263877	227345	196715	196717	158520	211612	198943	167535	167330	131748	160767	134837	162363	123837
Hàng tồn kho###Inventory	666210	819152	879130	855725	521570	461423	680687	738251	738251	708236	682439	547202	520619	520983	460075	488316	446184	391217	406837	363740	417006	465806	445779	445779	361436	403916	381416	363625	363625	273352	215747	257784	281580	281580	223175	248888	313920	313920	357799	348876	380719	343445	343445	343445	251230	279732	176541	137955	138308	182914	202075	167583	118787	118543	124379	95985	117866	85316	123618
Tài sản ngắn hạn khác###Other Current Assets	3839	5406	9984	9983	3984	5171	6358	2428	2428	4748	2056	2259	1935	1935	3201	5277	3518	3984	3984	3288	3099	4242	3995	3995	6011	4872	9393	5862	5862	11594	10240	10923	10685	10685	8843	8383	10277	10277	10904	8140	10150	9825	9825	9825	7103	7264	4988	4628	4628	6397	6582	6817	3704	3821	2736	4080	5409	3406	2432
Tài sản dài hạn###Non-current Assets	412039	415844	420068	420068	423838	429640	426114	430826	430826	430083	433991	437220	438719	438719	446816	437413	414860	396950	397439	371348	344116	342757	338227	338227	338110	329905	333906	338049	338049	356316	351966	355113	359589	359589	364305	353531	352636	352636	337994	336665	334884	313769	313769	313769	305016	303283	299032	298500	298230	295770	294091	286728	285547	285073	267950	262647	261751	132496	59738
Các khoản phải thu dài hạn###Long term Account Receivable	1561	1585	1574	1574	1570	2158	2146	2180	2180	2005	1923	1872	1768	1768	2240	2213	2315	1727	1727	1310	1263	1112	1215	1215	989	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	182377	183242	187053	187053	191130	196249	192640	196279	196279	194886	198811	202698	201061	201061	208024	105423	105277	109286	109286	94732	91321	94123	95878	95878	95764	98222	101075	105826	104269	106167	106654	112691	116406	116406	118912	113561	112010	98173	98638	95788	94726	70314	68213	70314	63104	59562	55453	51654	54507	52093	49938	41298	39716	39160	29055	27874	26923	47867	27468
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-140531	-136132	-131870	-131870	-127085	-122272	-118391	-113757	-113757	-109625	-104898	-100576	-96761	-96761	-101005	-99014	-97129	-95924	-95924	-87889	-85233	-83829	-82763	-82763	-81773	-78824	-76324	-73658	-73658	-72046	-69273	-66106	-62746	-62746	-59649	-62190	-54680	-54680	-51975	-49043	-46127	-43131	-43131	-43131	-41254	-39192	-37258	-35452	-35452	-34479	-34177	-32945	-31713	-31597	-31134	-30662	-29266	-28088	-25253
