CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	4900416	4559103	4501536	4690661	3926137	3984959	3916975	3650758	3811748	3323944	3094599	3198383	2856716	2820351	2367712	2209716	2273067	2316145	2347073	2005791	2043704	2067821	1957306	1939423	1479334	1427309	1482987	1411607	1459775	1021863	1297399	1069707	1167992	1167987	963774	832048	678918	717873	717873	663969	734791	540509	569294	220550	145315
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	243837	165167	236465	239119	176140	161156	162834	192528	210857	431287	363591	625919	233542	233542	192785	180020	152801	252211	252211	191559	187738	199413	299723	299723	159442	203735	201455	236575	236575	198029	346190	148704	360151	360151	285050	118441	84953	96221	96221	55631	106289	165608	113457	27510	31071
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	12245	55859	55857	55857	57856	78855	853	752	752	751	749	748	861	861	13261	13261	13261	13147	13147	13147	647	647	647	647	0	0	0	0	0	0	0	5124	5124	5124	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	3633638	3332076	3363084	3553736	2690188	2831955	2749865	2771455	2821980	2008863	1965094	1846877	2014397	1993313	1474899	1310565	1368596	1357552	1509578	950531	1048454	1177605	1070740	1062153	831729	846905	883654	924987	975854	551451	744246	729856	660796	636269	449879	528215	369698	363818	363818	258235	317358	156811	186001	122333	46073
Hàng tồn kho###Inventory	831116	811776	675399	668680	817214	747006	645905	520741	483114	657363	603802	501057	421549	406299	522868	419793	424384	319986	320424	634320	604688	525025	388962	388600	445341	344395	278568	155612	152907	169578	123660	130742	113466	137987	195859	162218	195797	240072	240072	321655	275515	192095	247835	57864	64047
Tài sản ngắn hạn khác###Other Current Assets	179580	194226	170731	173269	184739	165988	357519	165282	295045	225681	161363	223782	186366	186335	163899	286076	314024	373249	251712	216235	202177	165130	197235	188301	42821	32275	119310	94432	94439	102805	83303	55282	28455	28455	32987	23173	28469	17762	17762	28449	35629	25996	22000	12842	4125
Tài sản dài hạn###Non-current Assets	1014278	1106447	1145924	1052931	989128	1082400	861907	1072494	904660	904400	1095412	954477	981138	982662	1220589	1123832	1119162	1086184	1190986	1145750	1091734	1015407	992546	1001677	986655	943465	844302	786482	781898	696277	545115	520117	426245	426295	405486	392910	398622	516396	516396	486360	462922	467428	400505	289884	130945
Các khoản phải thu dài hạn###Long term Account Receivable	35388	12204	31122	30656	29070	28777	36313	41659	41649	42701	42962	43505	44094	44094	7622	5700	5562	3060	3335	3069	3633	3485	3734	3734	3464	3449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1442	1442	0	0
Tài sản cố định ###Fixed assets	587413	638378	678215	678067	691209	722265	710907	746987	750325	738582	715406	629378	645894	645902	779818	759426	770902	751783	751783	753290	687632	669043	660171	660171	433618	432248	425367	418773	403184	382516	267226	253695	265860	265860	268843	266846	276949	444984	484010	460126	437279	446797	379486	176849	127658
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-364834	-353607	-338291	-238279	-218301	-252275	-273442	-280231	-276893	-265816	-287702	-277371	-274131	-274122	-241092	-230993	-220768	-204506	-204506	-194342	-185081	-175530	-166432	-166432	-149929	-130540	-120603	-113355	-114396	-109156	-101301	-99036	-92531	-92531	-90109	-84374	-76873	-152244	-152244	-142313	-128854	-115108	-102978	-58071	-35331
