CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-31250	-58914	-57697	-57697	-57676	-57209	-56741	-56274	-56274	-55312	-54844	-54361	-53862	-53862	-52880	-52359	-51817	-51250	-51250	-50662	-50073	-49483	-48889	-48889	-49549	-48972	-48267	-47232	-47232	-46191	-44835	-43635	-42326	-42817	-41336	-40495	-39395	-37373	-38229	-36355	-33173	-31612	-29124	-29751	-27686	-25322	-23704	-20949	-23607	-20846	-18990	-16984	-13351	0	-9754	0	0	-4360	0	0	0	-3973	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-15031	-14284	-14849	-15140	-15707	-15274	-14854	-14425	-14425	-14060	-13694	-21648	-19224	-19219	-17639	-15728	-13658	-11202	-10625	-3652	-6186	-6050	-5780	-6818	-6298	-6147	-6778	-6839	-7718	-7250	-6460	-6912	-5975	-6702	-6548	-6114	-6343	-5403	-6758	-8127	-7205	-7228	-6421	-6946	-7035	-6641	-6063	-6038	-12314	-11596	-6070	-5335	-5130	0	-6112	0	0	-4838	0	0	0	-6060	0
Lợi thế thương mại	34114	35812	37511	37511	39209	40908	42605	44304	44304	0	0	47264	48898	48896	50528	51621	53268	54885	54885	0	58115	59732	61345	13020	13427	13834	14241	14656	9	593	1088	1583	0	2104	1337	8450	8450	9828	7793	8014	10009	10698	11964	9815	10286	4300	5848	7045	291	301	311	332	332	0	0	0	0	332	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	811710	821807	865672	896066	1235860	974557	962150	1005760	1004418	1615290	1631874	1648098	1664574	1663607	1644319	1681779	1691587	1707582	1695618	1052789	1117646	1144720	1165757	1151144	1184131	1273862	1250594	1274586	1214408	1176833	1172733	1109812	989730	999005	1021295	1084035	1094739	1107708	799882	770122	787781	754553	758840	721859	728861	747260	748066	753657	689974	432178	349531	311579	284554	293214	181261	183285	184744	198750	235978	215881	207561	208745	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	701778	684157	869499	872707	1032932	847292	801983	769274	773267	772209	772928	788014	1155027	1151517	768505	1334482	1411325	1335547	1331565	1250729	1297636	1240943	1464589	1402574	1415809	1415169	1677447	1566900	1585909	1467570	1453875	1452171	1433242	1471462	1238902	1360688	1564133	1516480	1550819	1419944	1285579	1329033	1369812	1347953	1357858	1480747	1575287	1731568	1500633	1647598	1627321	1805629	1688719	1825331	1614343	1515900	1563440	1536769	1031293	1261839	1227572	960977	0
Tài sản dài hạn khác###Other long term assets	728639	713796	736979	733086	722376	753238	765169	785541	802257	204926	152715	196919	223129	223225	288957	306997	314975	344584	357801	346775	321942	246692	297950	241099	237164	255507	268771	282118	300968	290471	253926	292198	272058	262027	450188	446674	478328	468242	490752	552587	514170	636781	611535	637090	617007	611250	596908	582543	776387	645531	654697	589754	547925	431901	623521	164353	220468	172433	231569	173809	208506	164847	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	18034655	17516698	19318371	18137031	20077750	19525060	19275586	20085187	20082905	20169969	20179903	20289452	21629224	21402028	21303897	22316251	21832381	22845352	22441783	21475729	20656525	20762802	20729701	21893935	21823249	22461808	22949666	22829691	23067174	22357142	22358655	22619975	22953150	23040746	25629859	27268560	27915893	28416846	29039850	28220246	28564146	30139618	30124909	31114626	31176561	30770950	30679485	31686889	31519613	30366970	30399123	27030677	27238665	27411720	24878325	24360044	26051823	22659347	22804760	21011638	19374236	19242696	0
Nợ phải trả ###Liabilities	10273983	9845099	11580050	10374631	12086337	11776872	11706281	12211969	12063753	12452769	12653020	12668137	13771145	13543945	13864774	14671205	14326295	15365084	14990014	14235046	13574616	13501625	13401533	14622558	14622644	15321384	15621543	15559100	15758880	15197682	15329787	15551744	15828720	16010957	18913112	20434576	20979792	21527164	22039254	21496151	21750225	23299662	24695202	25667797	26125523	25698357	25524527	26169541	25936778	26181292	26133680	22524635	22794855	22374527	20603391	20317360	22213196	20068784	19598426	17962703	16478410	16466142	0
Nợ ngắn hạn###Short term Liabilities	6497604	5936783	7722679	6435836	9151279	8889522	8702738	9181526	8939963	9258412	9590290	9200827	10435272	9906709	10120797	10937745	9585779	10582840	10411943	10397112	9619538	9746427	9887108	10733400	10551690	10680065	10966676	11568656	10287162	9793746	10180689	10093301	10645237	10879971	12564772	13906488	14587427	14919520	15456593	14498889	14716765	16354447	17240406	17413273	17835144	17497510	14875045	15144898	13892987	14618398	14389638	13081954	14569274	13809104	11669831	11244763	12920035	10975996	9708217	8150829	6882929	7503453	0
Nợ dài hạn###Long term Liabilities	3776379	3908317	3857371	3938794	2935058	2887350	3003543	3030443	3123790	3194357	3062731	3467310	3335872	3637236	3743977	3733461	4740516	4782244	4578071	3837934	3955078	3755199	3514425	3889159	4070955	4641319	4654867	3990444	5471717	5403936	5149098	5458443	5183483	5130987	6348339	6528088	6392365	6607644	6582661	6997262	7033459	6945215	7454797	8254525	8290378	8200847	10649482	11024643	12043790	11562894	11744041	9442681	8225581	8565423	8933560	9072597	9293162	9092788	9890209	9811875	9595480	8962690	0
