CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	505150	475992	476411	505150	501708	550504	628461	654888	699144	870399	938755	1039485	1233092	1233068	1093634	1172363	1165811	1285318	1286830	1103662	1233852	1094184	1422054	1441614	1250524	1027514	1198289	1082776	1083648	1051105	1258490	930725	1023256	1023564	1048438	866076	598137	598717	828810	567746	572025	737275	701065	386016	295408	216830	199652	197293	174793	179527	187816	145840	85853	86223	60046
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	62	79	62	62	1396	211	1362	531	30258	12352	55030	2601	81846	81846	12501	10620	1440	48877	48877	6428	21802	51106	24523	26548	44959	10903	25076	15798	15798	4756	43811	23768	13404	13402	10845	3478	8677	8677	2711	2331	2580	54832	54824	3372	731	12442	40880	40880	1005	5093	10691	46225	2139	2060	2173
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	1249	0	29727	0	59777	30827	23789	25384	25384	12384	22774	20544	15563	15563	15563	15300	15300	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	23406	16457	16649	23406	16781	19779	19083	18522	18523	67476	91003	121458	99750	99726	65624	137048	133645	172480	173992	138709	157413	82667	204461	220784	107459	145775	149621	167708	168569	97715	121366	191095	187548	187542	120946	59435	190145	190915	138119	34814	90852	102541	103024	46079	44221	81551	66567	66567	57538	75261	99034	49633	29439	49925	40963
Hàng tồn kho###Inventory	480847	458683	458936	480847	482615	527716	605511	602905	646980	718883	755549	887561	1013429	1013429	988919	997073	1005325	1039519	1039518	937352	1030666	940629	1157951	1160810	1070460	868094	1009040	886750	886750	922240	1067850	713145	819554	819554	912943	785247	393224	393033	665071	515432	468498	539694	503010	318214	238268	116473	90473	87561	111939	96218	75302	49373	54072	32280	15370
Tài sản ngắn hạn khác###Other Current Assets	834	773	763	834	917	1549	2505	3204	3384	11912	6345	4076	12683	12683	14205	4848	4856	8879	8880	5609	8671	4482	33118	33471	27646	2741	14552	12520	12531	26394	25463	2718	2751	3066	3704	17915	6091	6091	22909	15169	10096	40207	40207	18351	12188	6364	1731	2285	4312	2955	2790	609	203	1958	1540
Tài sản dài hạn###Non-current Assets	772608	742247	770477	772608	803021	835038	861267	897677	897822	934192	968419	991734	972408	972408	1000820	1020257	1033228	1036243	1037544	1004965	987289	1024605	1048175	1044963	1028435	1021199	1016726	1043206	1042741	1062769	996955	1002430	1000871	1000944	1007601	1027881	985858	988005	928595	895828	844644	819631	819512	732855	691305	618714	570056	570056	439997	389553	310301	308653	231520	29489	18065
Các khoản phải thu dài hạn###Long term Account Receivable	-644	-929	0	-644	-644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	468599	438495	465825	468599	498707	529816	560832	596164	596164	631737	666504	701300	741100	741100	777758	816958	857065	891846	893147	934285	974097	686889	718200	717777	742064	773806	785464	1035630	819166	852673	887125	990881	988462	988535	997411	1021465	230958	985220	925637	893478	842516	244355	817264	730487	688703	615789	248477	566796	437017	386474	307561	305557	231022	19884	17390
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1040426	-993770	-966443	-1040426	-1010321	-980215	-963642	-928313	-928313	-893831	-859067	-824274	-784984	-784984	-746105	-706704	-668940	-629626	-629359	-588224	-547365	-506981	-473880	-474304	-449220	-414497	-380735	-346596	-347035	-312457	-277854	-243673	-209227	-209227	-174569	-139965	-98855	-96419	-91696	-84901	-78206	-71526	-71526	-64906	-58312	-52002	-46010	-46010	-40035	-34075	-28114	-22178	-456	0	0
