CAN DOI KE TOAN	 2019	 2018	 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	938	610	1261	120705	122448	122448	118322	114913	562433	111307	593319	604342	611640	634344	628930	656887	656247	665440	612191	600570	601157	598760	602317	559982	533094	533094	572984	496803	374111	524242	526626	563265	542145	536649	570980	570980	549184	469230	436213	375300	377563	444367	454732	260428	167213	117062
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	28	106	112	251	707	707	548	1350	821	1491	1491	2315	226	1510	877	877	795	1611	1142	1636	1636	817	3435	4553	7135	7135	2118	8070	1637	11141	11141	9857	6863	12775	17932	17932	10192	10456	4071	8387	8387	12980	5499	3513	3370	180
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	10480	10480	10480	10480	10480	10480	34300	34300	23900	23901	23901	23901	23901	23821	23820	23821	24181	24181	34581	34830	34831	34831	35031	39646	39646	39646	39296	46612	27456	22530	22530	13685	13685	15060	9770	7445
Các khoản phải thu ngắn hạn###Short term Account Receivables	346	1	723	120210	121675	121675	113405	113377	197239	109816	213707	216100	215577	224434	214469	212051	211786	206838	157436	148278	148865	174896	181338	174311	164781	164781	195240	140159	20618	155047	157431	175551	171864	168049	232193	232193	244845	180032	198157	173470	173470	216290	240267	99016	82455	24504
Hàng tồn kho###Inventory	0	0	0	0	0	0	4369	185	364373	0	364050	371541	381247	393306	398831	428882	405222	416959	424183	421012	421012	393737	385727	350713	332183	332183	345173	318887	312369	316183	316183	335565	321960	308933	274555	274555	251636	228913	203656	168844	171106	185302	179009	139145	63949	84371
Tài sản ngắn hạn khác###Other Current Assets	564	503	426	245	67	67	0	0	0	0	3590	3906	4110	4613	4273	4598	4143	5732	5530	5743	5743	5409	7916	6585	5175	5175	6272	5506	4907	7040	7040	7462	6428	7245	6655	6655	3217	3217	2873	2070	2070	16109	16273	3694	7669	562
Tài sản dài hạn###Non-current Assets	20480	28952	34677	40941	42969	46139	48001	49963	65699	52797	86994	89286	91813	137463	139936	141626	143527	146397	151917	154292	154292	157035	159212	161944	164639	164639	167385	169732	171642	164232	164232	166261	163470	164430	165836	165836	132534	127494	121700	122160	122160	106001	103867	102688	83024	52024
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	154	154	154	154	0	154	0	0	0	0	0	0	0	0	0	0	0	133	133	133	133	133	133	133	-381	133	133	502	502	595	595	595	524	524	0	0	0	0	0	4720	15346	11318
Tài sản cố định ###Fixed assets	20480	28952	34677	40941	42500	45609	47238	49292	64572	52126	82372	84099	85786	131179	133271	133271	135723	138596	143736	151366	151366	153805	156218	158401	156052	161028	163620	165988	168409	113659	160487	162131	159367	160109	106350	161472	129918	125258	120240	120666	120666	104362	102264	96707	62031	37994
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-80642	-84420	-79470	-77532	-75974	-76814	-75185	-73131	-78093	-70297	-78093	-76366	-75106	-72866	-70789	-70789	-68337	-66093	-64653	-62034	-62034	-52501	-50702	-48289	-45883	-45883	-43469	-41057	-39627	-36259	-37230	-35045	-32552	-30926	-29051	-29051	-27147	-25339	-23617	-22075	-22075	-20651	-19168	-16487	-16653	-13906
