CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	 2012
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	26728568	38494616	189656390	49358798	48651687	49712729	41971830	191979671	49101314	46183418	51214126	45441593	153736211	43233710	38300912	38344372	35810668	123127177	35077089	29283900	31222255	27552799	146949724	206812749	201421377	206215687
Các khoản giảm trừ doanh thu###Deduction revenues	20887	16878	52864	19274	11585	11471	10995	47197	11452	8283	13811	11305	39154	9710	7984	11100	9436	30660	7768	11274	7036	11974	29237	31837	5493670	5368178
Doanh thu thuần###Net Sales	26707681	38477738	189603525	49339524	48640101	49701258	41960835	191932474	49089861	46175135	51200315	45430288	153697057	43224000	38292928	38333272	35801232	123096517	35069321	29272626	31215219	27540825	146920488	206780912	195927707	200847509
Giá vốn hàng bán###Cost of goods sold	23975845	38027942	175434117	45782434	45262962	46023260	38182580	178026371	45790701	42848886	47167369	42219668	141400532	40160976	35105835	35259604	32618733	108891432	30655296	25917647	27805710	24588422	133736913	199624380	187944064	193897643
Lợi nhuận gộp###Gross profit	2731837	449796	14169409	3557090	3377139	3677999	3778255	13906103	3299160	3326250	4032947	3210620	12296525	3063024	3187093	3073667	3182500	14205085	4414025	3354979	3409509	2952403	13183575	7156532	7983643	6949867
Doanh thu hoạt động tài chính###Financial activities Revenues	280528	230307	1004291	332236	259115	245753	166831	995307	260052	350328	232494	162809	791143	182426	178439	218076	253689	879879	273829	149201	331792	180441	795562	816946	845429	1016344
Chi phí tài chính###Financial Expenses	204109	352316	966448	206843	211992	333175	206229	1508440	254161	596419	388230	267886	790645	187746	164625	207781	232692	844098	221123	276380	191743	185745	2576638	1578082	1418276	1387734
Chi phí bán hàng###Selling Expenses	2062414	2015984	8702295	2275515	2150142	2014428	2253728	8543576	2295984	2057007	2205358	1956923	7320737	1612608	2010442	1978442	1800310	7701329	2219416	1905045	1824579	1702719	6849772	6098339	5360984	5413654
Chi phí quản lý doanh nghiệp###Managing Expenses	188820	148745	639668	198423	150711	148757	134677	573153	153391	107386	164768	149818	817994	302611	198028	269032	239144	1016549	298036	229149	270703	232526	976916	833513	824699	760636
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	681975	-1703290	5511407	1373414	1297242	1588728	1516748	4912892	1030651	1054191	1658878	1182526	4614347	1228865	1054193	949266	1336157	6122735	2105022	1247543	1587648	1166756	4082584	-130435	1225114	808135
Thu nhập khác###Other incomes	94712	26220	201624	68899	29120	44053	59792	349071	141985	52738	33999	31828	324763	193638	77801	178147	32973	336689	188960	62370	-116089	235244	435753	746823	694476	292533
Chi phí khác###Other Expenses	-5156	25218	65259	37534	15788	9674	8171	84306	47280	-35640	76721	8050	154143	91300	25897	37452	19264	159238	57670	42425	46194	30808	308270	294803	238173	122497
Lợi nhuận khác###Other profits	99868	1001	136364	31365	13332	34379	51621	264764	94705	88377	-42723	23778	170620	102338	51904	140695	13709	177451	131290	19945	-162284	204437	127484	452019	456303	170036
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	781844	-1702288	5647772	1404779	1310574	1623107	1568369	5177656	1125356	1142568	1616156	1206303	4784967	1331203	1106097	1089961	1349866	6300187	2236312	1267488	1425364	1371193	4210067	321584	2021114	978170
Chi phí thuế TNDN###Corporate Income Tax Expenses	-338770	110868	971210	272625	198360	281707	273881	1023092	199002	252022	325548	203098	873304	252909	211964	184686	243752	1152753	401131	207664	288911	236925	796436	330673	442192	206491
Chi phí thuế TNDN###Corporate Income Tax Expenses	62214	111083	996924	313271	196605	282858	259521	994431	189338	251484	324833	201636	894834	275508	211715	184824	243011	1152207	407063	211277	284208	234457	795979	329573	443111	206995
Chi phí thuế TNDN###Corporate Income Tax Expenses	-400984	-215	-25714	-40646	1756	-1151	14361	28662	9664	538	714	1462	-21529	-22600	248	-137	741	546	-5932	-3613	4703	2468	456	1100	-919	-504
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	1164200	-1733217	5195345	1289093	1264841	1502051	1388005	4561229	1024767	975687	1290608	1108003	4355056	1235685	1015104	1026789	1223538	5625471	1835181	1059824	1136454	1134267	3748763	347002	1578923	771680
---Cac Chi So Tai Chinh---																										
EBITDA	1.01	0.97	1.19	1.19	1.29	1.41	1.34	1.42	1.42	1.32	1.25	1.30	0.92	0.92	1.35	4.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	43.66	35.81	52.16	52.16	56.35	55.42	53.17	47.44	47.44	63.56	52.37	71.38	63.96	63.96	53.81	56.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
