CAN DOI KE TOAN	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	2615045	2615045	2349672	2344132	2247677	2404229	2404229	2451104	2397885	2378360	2486991	2489219	2531903	2454187	2318514	2295020	2463588	2440378	2462489	2534967	2638893	2639000	2691702	2728607	2724872	2794951	2794954	2857402	3014038	3220682	2999429	3006387	2984451	2583083	2566011	2635483	2626575	2646084	2148455	1921478	1929212	2111556	1909147	1796982	1745559	1679927	1694819	1691336	1895415	1031203	990679
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	65974	65974	380071	77250	137748	273233	273233	134441	70287	53395	153928	153928	142410	212584	109250	87389	87389	71025	88010	83443	175033	175033	229462	280442	271972	337728	337728	364647	504297	511642	295341	295533	430318	70418	106984	179234	179234	364185	65131	133671	181332	178482	73069	43013	71875	49818	49818	70313	778767	46794	29884
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	43500	43500	73500	30000	0	0	0	3000	3000	58600	58600	58600	0	0	0	0	0	1150	1150	1438	1438	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	4000	2250	19500	28500	29000	29000	779	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	71333	71333	99060	652817	442454	489017	489017	63506	99809	110700	89410	85225	54565	60682	68221	80352	248010	257586	268822	269999	250941	250941	194634	198414	209637	209170	209173	213819	230209	221238	227242	231111	263423	271884	292614	301436	321176	186015	191459	157994	173130	357361	394488	365250	359698	315910	299830	277421	47927	36481	81342
Hàng tồn kho###Inventory	2456130	2456130	1848102	1597090	1646592	1618577	1618577	2245406	2222929	2209484	2195671	2195671	2251830	2142066	2132444	2119942	2119942	2101097	2095175	2114817	2147175	2147175	2261023	2245882	2240774	2244596	2244596	2271636	2268711	2474554	2462032	2465218	2273529	2221831	2150897	2135687	2106122	2080240	1876581	1610209	1554729	1552742	1420936	1347252	1260053	1259893	1281564	1308997	1043152	908700	839635
Tài sản ngắn hạn khác###Other Current Assets	21607	21607	22439	16976	20882	23402	23402	7751	4860	4782	4482	10894	9597	8855	8599	7336	8247	7671	7482	8108	7144	7251	6582	3870	2488	3457	3457	6149	9671	11809	13374	13375	16032	17800	14365	17976	18893	14495	14135	18454	18870	18971	18403	21966	25433	25305	34607	33825	25570	39228	39818
Tài sản dài hạn###Non-current Assets	548055	548055	620618	668636	634241	661728	661728	874595	890787	925878	875052	872902	897954	919358	918812	942036	773492	757442	809698	809441	800751	800751	791490	784503	784011	775557	775484	766062	781335	1491452	1294702	1297045	1271921	1254258	1241500	1215975	1217302	1195804	1158400	1143003	1095399	863539	862411	846390	808505	790349	791165	797548	580429	414667	344798
Các khoản phải thu dài hạn###Long term Account Receivable	118555	118555	120098	122203	78402	84675	84675	105485	109230	109823	109189	106928	149026	153987	159647	168602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	526
Tài sản cố định ###Fixed assets	21803	21803	22218	20477	21040	21438	21438	22694	22843	23686	24528	24528	24436	25417	26399	27405	27405	28244	29328	30314	523531	523531	525570	526425	526302	24235	526325	527786	529358	1247073	31052	1062811	1054164	1041781	1032546	36362	1014208	1006598	972397	966557	916834	684898	676591	657426	633144	618652	618752	598359	440365	268161	195733
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-52475	-52475	-52758	-52170	-56402	-55853	-55853	-55027	-54186	-53355	-52524	-52524	-51702	-50729	-49753	-48755	-48755	-47742	-46723	-45553	-44387	-44387	-43671	-42504	-43261	-41872	-41872	-40366	-38853	-39377	-37747	-37747	-36257	-34795	-33123	-31396	-31396	-29629	-27908	-26213	-24517	-24517	-22851	-21340	-19856	-18364	-18364	-16620	-13398	-9578	0
