CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	Q4 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	1828704	1603280	1624461	1624461	1552835	1739741	1631938	1893146	1893146	1988462	1834994	1536486	1606527	1606527	1682679	1664096	1406271	1310068	1310068	1101392	1125400	1178464	1171380	1171380	1065463	1049492	968230	994563	994563	866515	970335	862721	960142	960142	945650	1026785	988308	952614	952614	826818	1048697	980381	1018043	1018043	962705	963941	852169	923288	915478	668400	632915	591956	657498	657581	465732	427322	475069	511570	517575	503024	543715	640724	521009	521009	437390	466010	358235	358234	381877	277671
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	213354	231980	225134	225134	195454	185931	181876	216257	216257	209794	181235	208206	130484	130484	136824	125333	108726	96377	96377	108770	138000	130941	88198	88198	105120	99419	108174	140749	140749	95611	81164	112661	118097	118097	118798	106189	91434	90639	90639	85123	146789	98896	94525	94525	74999	77386	97038	139338	139338	71010	52622	77134	135544	135243	23549	37956	29006	67259	67599	45487	56381	88203	46763	46763	33823	40989	36386	36386	120571	32935
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	225407	225407	225390	225390	202790	202790	202565	202565	202565	201890	201890	151125	151125	151125	128520	83130	34000	29500	29500	29500	4500	4500	4500	4500	4500	4500	4500	4500	4500	1600	1600	1600	1600	1600	0	0	0	0	0	0	0	0	0	0	0	500	569	1069	1069	3545	3745	4304	4304	4604	10956	11848	19166	22297	24046	25706	26755	37569	53210	53210	31176	32056	27056	27056	10056	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	343185	272123	258791	258791	299204	269923	311757	279887	279887	579918	318299	361438	475028	475028	637778	576481	579216	369199	369199	303802	223191	291045	200231	200231	308995	240442	279234	190871	186692	212732	196573	234219	194228	194228	250695	205957	221585	215953	215953	213403	195766	259921	174784	174784	183793	159224	242646	174992	187152	178263	161515	184787	247628	246682	241442	193024	230075	206828	209445	220075	223021	239300	167846	167846	192421	183908	114226	114226	74169	90749
Hàng tồn kho###Inventory	997394	843185	892708	892708	819033	1029499	894681	1138024	1138024	955146	1098333	734142	805790	805790	722267	824512	625070	728759	728759	577910	669971	657951	780567	780567	556852	643879	531866	624547	624547	525476	648983	481401	612733	612733	547613	686481	624254	610214	610214	496615	665023	584036	690125	690125	638946	647212	427927	526018	503961	333223	347605	271788	238591	238315	168727	136816	137495	159857	159826	160263	179476	246433	234541	234541	174156	187889	166967	166966	159413	146591
Tài sản ngắn hạn khác###Other Current Assets	49363	30585	22438	22438	36355	51598	41059	56413	56413	41713	35237	81575	44101	44101	57290	54641	59259	86232	86232	81409	89737	94028	97885	97885	89995	61252	44455	33896	38075	31095	42015	32840	33484	33484	28543	28159	51035	35809	35809	31677	41118	37528	58609	58609	64968	79619	83990	81871	83958	82361	67428	53942	31431	32737	21058	47679	59327	55329	56660	51493	58082	29217	18648	18648	5814	21167	13599	13599	17666	7397
Tài sản dài hạn###Non-current Assets	1242786	1272146	1298344	1298344	1319480	1346108	1357325	1354180	1354180	1207362	1231441	1383564	1428855	1428855	1460279	1459070	1496701	1510326	1510326	1454280	1425196	1356509	1337877	1337877	1304480	1246757	1068569	1065555	1065555	1061801	1037213	1017706	1029149	1029149	1022895	1020893	1004048	1013182	1013182	1019923	1029470	1038420	1035301	1035301	1046890	1056970	988853	990559	954714	1081239	1056908	1058400	1048045	1047802	1046182	1040932	1048763	796290	794770	728059	705625	646864	585706	585706	442200	395272	387238	387238	375872	360531
Các khoản phải thu dài hạn###Long term Account Receivable	45	5	5	5	5	5	5	5	5	5	5	5	5	5	35	35	35	35	35	35	35	35	35	35	35	35	35	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1840	1954	2041	2150	2233	2233	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1039354	1065906	1090578	1090578	1107868	1121694	1105558	1107112	1107112	1046049	1069117	1136905	1184941	1184941	1172964	1171292	1174108	1178372	1178372	978978	960553	881387	870879	870879	865926	744429	703679	718871	718871	681375	695505	674434	696803	696803	695339	695053	668977	664472	677782	686074	695469	705128	693305	703081	806159	817475	737582	728183	748131	853867	842044	938600	948806	948544	953156	965938	977067	725563	721348	661363	592953	547777	517454	517454	404032	356867	362465	362465	346078	343418
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-668291	-655252	-636946	-636946	-619567	-601651	-583521	-566797	-566797	-549755	-624673	-624089	-659709	-659709	-655256	-662777	-803711	-782219	-782219	-767847	-757730	-743045	-742421	-742421	-728893	-731396	-723326	-722745	-722745	-731886	-728162	-721064	-708572	-708572	-698279	-691484	-718110	-705091	-705091	-691430	-679652	-678125	-670946	-667644	-657097	-644091	-642560	-629981	-629981	-624708	-615265	-602907	-593246	-593247	-580565	-570255	-556984	-550510	-550014	-562371	-549899	-537733	-528268	-528268	-532821	-525438	-507455	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-121657	-111161	-100666	-100666	-90543	-80277	-70586	-61619	-61619	-52893	-47607	-40924	-36367	-36367	-31466	-30078	-23037	-24689	-24689	-20303	-17084	-14368	-11656	-11656	-8944	-6407	-4271	-2484	-2484	-3497	-2633	-1840	-1612	-1612	-1383	-1155	-927	-699	-699	-471	-243	-15	0	0	-3216	-3087	-2959	-2830	-2830	-2701	-2572	-2444	-2315	-2315	-2187	-2712	-2559	-2406	-2406	-2483	-2750	-2485	-4516	-4516	-4158	-3799	-3081	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-31356	-30633	-29867	-29867	-29105	-28346	-27572	-27767	-27767	-26606	-25446	-24556	-24716	-24716	-23827	-22235	-21456	-20663	-20663	-19851	-19032	-18292	-17601	-17601	-16909	-16270	-15605	-14887	-14887	-14170	-13473	-12467	-11801	-11801	-11269	-10787	-6117	-5777	-5777	-5436	-5125	-4888	-4683	-4683	-4479	-4274	-4073	-3870	-3870	-3666	-3511	-14517	-14238	-14237	-13590	-13350	-12666	-11982	-13004	-12120	-10718	-9999	-9574	-9574	-11224	-10911	-10042	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8666	8951	9236	9807	9522	9807	10377	10787	10851	-285	12217	12706	13514	13864	0	0	0	0	13864	0	0	0	0	0	0	0	0	0	0	0	0
