CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008
Tài sản ngắn hạn###Current Assets	189660	212438	266525	266529	130856	382229	173650	168517	168558	160488	152446	127626	113991	113991	91206	76205	56983	42614	42675	35461	49005	43945	39974	40164	52267	40023	42300	37693	44349	35035	40356	33755	33321	33693	31303	25974	22693	30177	45360	34605	32814	39709	54267	60332	48488	48181	56305	43147	42974	35644	31935	22353	19472	19420	27927
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	67503	40940	206945	206945	24304	14968	28746	33279	33279	29876	23298	30656	14964	90116	67142	55275	41130	17090	17090	19319	10983	16319	16367	16367	19186	15638	20880	20593	20593	15298	19801	9474	8571	8571	10377	4369	3309	7245	7245	5078	3800	5640	4786	4291	1140	4023	2392	5492	5450	3909	4713	4163	4321	4321	716
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	70000	107643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	0	0	5500	0	0	0	0	0	1200	1200	20716
Các khoản phải thu ngắn hạn###Short term Account Receivables	47251	59904	52581	52585	60709	362544	144239	135037	135078	129243	128839	96689	98920	23768	23846	20569	15327	24695	24756	13362	37422	27075	21105	21221	32433	23570	14353	14876	14566	15224	14553	16350	14837	15209	18739	18873	16761	20612	35795	26975	27757	30416	45838	51894	44714	36273	40618	33662	33559	28790	24575	16189	12569	12517	6305
Hàng tồn kho###Inventory	52	133	99	99	222	64	94	81	81	63	12	96	36	36	71	82	72	66	66	185	256	182	209	209	185	233	170	338	338	304	447	297	355	355	210	328	301	270	270	376	472	373	1046	1117	377	381	844	262	262	243	198	126	71	71	122
Tài sản ngắn hạn khác###Other Current Assets	4853	3818	6901	6901	45621	4653	571	120	120	1305	297	185	71	71	147	279	454	763	763	2594	345	369	2293	2367	462	582	6898	1886	8852	4209	5555	7634	9557	9557	1978	2404	2322	2050	2050	2176	785	3280	2596	2535	2257	7503	6952	3731	3703	2702	2449	1874	1311	1311	69
Tài sản dài hạn###Non-current Assets	802283	780799	757114	759577	696802	238813	202047	202711	201931	206510	176967	183344	186799	186708	188249	190443	196368	202432	202226	206397	186426	187113	192947	192862	170629	174121	175056	183767	177248	189235	181986	185650	188972	188972	200978	206280	212699	218701	218701	224409	230972	231907	221735	221986	196357	181498	170550	122209	122403	108453	104563	107942	110493	110493	87897
Các khoản phải thu dài hạn###Long term Account Receivable	11071	11071	11071	11071	794	72	72	72	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	131	300	149	140	1339	128	128	0
Tài sản cố định ###Fixed assets	167733	85473	86902	86902	90295	93286	95304	98651	97942	102027	104879	108964	108281	108281	109934	109705	112846	115878	117933	118811	115895	112077	115024	114938	117655	120218	122742	125858	125858	129623	133416	137166	140916	140916	145803	148707	152730	156291	156291	159947	163626	164046	163740	164145	166148	151163	139078	52722	90636	76017	70859	71804	73507	73507	59024
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-142482	-139544	-136958	-136958	-133809	-130637	-127503	-124401	-125109	-121269	-118175	-114229	-111241	-111241	-108253	-105976	-103041	-100088	-100112	-97143	-94923	-92152	-89454	-89453	-86315	-84993	-82231	-79178	-79178	-75666	-72126	-68629	-65131	-65131	-61997	-58602	-55866	-52369	-52369	-48887	-45909	-42429	-39044	-39044	-35656	-33959	-32250	-30516	-30516	-28799	-27088	-25378	-23660	-23660	-17441
