CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	866810	861003	980428	980428	934293	1019162	894025	951939	972004	834721	781806	812128	841711	841711	845331	905133	834717	982310	982957	852688	785554	799664	712595	712595	602976	563943	558672	668931	668931	615782	587924	608870	529646	529646	514451	470932	445565	407597	406532	355910	236627	315870	353283	351846	337503	307868	281370	323818	323818	323400	312796	299362	334360	334360	351813	279001	235598	267857	267711	243564	241403	215373	221106	220366	170821	194005	177860	177860	119022
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	209664	209013	306200	306200	177101	205075	94626	99227	99227	107099	97362	97562	74993	74993	87374	86057	86470	69122	69122	94473	119719	85528	91638	91638	67633	82528	85621	71633	71633	78150	74331	104773	69120	69120	64570	57489	64952	33197	33197	29010	17678	51306	34168	34168	21268	35857	25194	28567	28567	75408	55433	75617	72567	72567	154525	90785	17587	8621	8621	1765	13578	5435	25430	25630	9871	30143	32420	32420	17525
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	10000	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	454658	412226	364816	364816	454925	395253	347302	341651	339842	373573	405452	340247	383796	383796	463353	443803	411233	372230	370717	493087	393245	371028	317957	317957	314650	302860	254643	240688	240688	247976	254308	260885	201852	201852	222227	262703	223347	158344	158344	179808	88967	107078	172440	172440	224628	176664	151114	101880	101880	97054	132939	136510	86062	86062	97063	77758	45613	67356	67210	54897	58779	49946	47589	49427	53272	53397	39894	39894	41899
Hàng tồn kho###Inventory	201284	234438	303577	303577	300112	416502	442187	498251	520126	353689	278797	373383	381996	381996	291690	369210	327023	513485	515645	247890	265925	334300	298170	298170	210021	174470	215286	348921	348921	272810	253030	235510	254088	254088	219854	146422	147445	207876	206811	136040	118949	151856	141283	141294	86661	83668	86279	170556	170556	129767	111413	75968	162339	162339	94584	104846	167818	188307	188307	167649	156137	157468	145651	144547	105666	108881	104986	104986	59464
Tài sản ngắn hạn khác###Other Current Assets	1203	5326	5834	5834	154	2332	9910	12810	12810	360	195	937	926	926	2914	6062	9991	27473	27473	17238	6665	8807	4830	4830	10673	4086	3122	7689	7689	16846	6255	7702	4587	4587	7800	4319	9821	8179	8179	11052	11033	5631	5393	3944	4946	11680	18783	22816	22816	21171	13010	11267	13393	13393	5641	5612	4580	3573	3573	4253	2909	2524	2435	763	2012	1584	560	560	134
Tài sản dài hạn###Non-current Assets	209720	211200	209461	209461	204077	208087	209709	217315	217315	230988	239927	254911	264081	264081	283294	289803	292722	294949	293394	282643	275569	285498	292548	292548	300416	288328	295825	296599	296599	283222	230062	236978	399831	399831	406052	402042	394168	397860	397777	377287	359871	365467	368362	368240	370994	369201	380973	330827	330927	292872	245612	176721	154656	154656	105899	87536	88265	87560	87862	87406	86340	85331	64175	63782	61151	63453	35768	35768	27408
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	2255	2255	2255	2255	2255	2255	2255	2255	2347	2347	2347	2447	2447	2447	2447	2447	2447	2447	2519	2519	2519	2519	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	115706	114751	100475	100475	103004	106560	112624	119224	119224	126279	133981	142317	150151	150151	156285	162513	167950	176015	174460	172727	164360	167222	172908	172908	177260	164564	171002	176060	173799	158071	110279	115168	276738	276738	281074	275864	268327	270810	270728	247470	229263	233003	233967	234712	243373	240989	256345	31921	304546	266536	219331	149245	126014	126014	79070	51707	51889	51216	51518	49982	49040	48392	45841	46084	47568	49870	35715	35715	27283
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-292238	-287190	-282335	-282335	-297508	-292995	-287676	-281819	-281819	-275508	-268550	-260958	-254013	-254013	-245909	-245187	-236488	-238815	-239608	-229858	-219888	-210862	-200141	-200141	-192284	-184607	-176838	-169097	-169097	-162205	-158670	-153817	-185175	-185175	-179483	-173264	-171441	-164641	-164724	-157687	-148535	-141378	-136871	-136910	-129733	-122808	-112868	-108437	-108437	-103841	-99351	-93860	-88797	-88797	-85467	-82130	-78573	-74771	-74469	-69636	-65156	-61841	-57994	-57979	-54092	-50397	-43615	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	-11731	-10998	-10266	-9534	-9534	-8802	-8070	-7338	-9188	-9188	-8223	-10079	-8871	-7663	-7663	-6455	-5247	-4039	-5332	-5332	-3899	-3182	-2482	-1999	-1999	-1531	-1153	-928	-703	-703	-479	-254	-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-967	-881	-881	-795	-709	-623	-537	-537	-451	-365	-559	-437	-437	-314	-191	-61	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-754	-691	-629	-629	-559	-500	-489	-477	-477	-465	-454	-442	-430	-430	-419	-398	-372	-307	-271	-254	-237	-220	-203	-203	-186	-162	-148	-134	-134	-119	-105	-91	-76	-76	-62	-48	-34	-19	-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-921	-838	-754	-670	-670	-586	-503	-503	-335	0	0	0	0	0	0
