CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	1888051	1477535	1543978	1542908	1244686	1221235	1371053	1486034	1486796	1323666	1293782	1289396	1124700	1122559	915749	787986	765993	721041	720694	652682	592520	753556	732494	737128	656964	582386	606667	727619	719909	661145	581979	590262	594779	630331	426708	468295	543983	621094	618301	822786	747215	673280	598694	614234	548798	460657	466171	411134	410258	338332	295680	308298	305211	305211	334467	295779	276878	271745	271745	317483	345098	326823	335760	335760	321488	151322	143275	133384	133456	151982	151444	150825	152300	152300	90999	81048	64925
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	775764	444716	391629	391564	226466	238439	253276	266564	266564	387924	602173	514836	204332	204332	308475	138348	183354	146257	118257	207847	144610	323474	264084	264504	257364	230633	181271	266707	266715	185129	142938	143069	103911	103934	47965	104453	160984	202754	202754	223949	195365	248932	266592	272095	253264	14258	20900	32884	32884	99655	35360	19867	33701	33701	27261	36585	41403	38805	38805	22998	16336	21380	13290	13290	80024	8925	5593	4707	4707	4610	9506	9567	12773	12773	4280	3241	7722
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	46028	66707	43335	43335	43308	39509	55100	17451	17451	20264	9034	19209	6409	6409	6394	6394	13389	3389	31389	2829	2829	2420	2840	2420	2408	2825	2353	2353	2938	2975	15480	12525	12525	12525	8607	9265	6494	11287	10044	112160	102424	51234	42694	43677	31707	242111	213904	221039	221039	104250	126621	137602	130781	130781	144441	94971	80930	48913	48913	97505	120890	165880	197148	197148	140333	40333	39250	37000	37000	42000	42000	50000	50000	50000	0	0	6011
Các khoản phải thu ngắn hạn###Short term Account Receivables	605868	417075	381947	381817	255588	136732	232194	308111	308843	197635	217897	345322	482114	479874	159743	296365	256947	112904	112566	150002	197370	182045	151608	158382	146916	128220	142598	175786	167619	213542	226549	224848	277626	314039	159426	127032	165667	95554	93041	179448	139760	157568	134557	137415	112651	100988	118758	76587	75711	55756	69394	66293	68115	68115	89876	106918	84046	97137	97137	78033	113274	82785	74185	74185	48535	67237	56039	42464	42817	63121	64440	58786	55391	58898	53002	39593	28412
Hàng tồn kho###Inventory	402160	489009	641636	640811	674860	758999	782907	843803	843803	687803	437448	364174	397544	397643	400602	302970	283259	427044	426393	256082	216440	204115	282552	280386	224421	178356	246166	253297	250637	234732	180304	179486	176038	175100	186536	205764	192104	286869	286871	282304	276955	189716	137647	146338	140167	90926	101196	63686	63686	65620	54012	62417	52333	52333	58185	41180	57897	68339	68339	95338	77628	42170	39552	39552	43208	29856	37624	45050	45050	35217	30234	26639	30204	30204	32577	36798	21740
Tài sản ngắn hạn khác###Other Current Assets	58232	60028	85431	85381	44463	47556	47577	50105	50135	30040	27230	45854	34300	34301	40535	43908	29044	31447	32089	35921	31270	41502	31410	31435	25855	42353	34280	29477	32000	24768	16707	30335	24680	24733	24174	21780	18735	24630	25591	24925	32710	25830	17204	14709	11009	12374	11412	16938	16938	13052	10293	22119	20282	20282	14704	16126	12601	18551	18551	23609	16971	14608	11585	11585	9388	4972	4770	4163	3881	7034	5264	5834	3931	424	1140	1416	1040
Tài sản dài hạn###Non-current Assets	409069	392090	354472	357256	346300	367482	363661	356931	356901	358330	353449	358362	362443	362443	363495	363402	365768	368957	369091	391303	391299	208987	194944	195479	198095	198484	201008	203843	210307	247727	250277	366281	371532	368667	272203	273229	271591	267810	267029	250721	252726	171506	163363	375454	154807	155059	154494	137794	137794	134825	159949	136337	134633	134633	121322	116673	107069	103079	103079	134257	54866	52110	48593	48593	64407	59959	57326	54600	54600	39837	38434	38269	38514	38770	50087	47052	47458
Các khoản phải thu dài hạn###Long term Account Receivable	2041	1969	1969	1969	1696	1696	1696	1696	1696	1696	879	879	879	879	879	874	844	844	844	440	440	432	16	16	16	466	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	168659	168412	138549	141173	118964	121026	124042	122732	122732	125614	127539	130226	132709	132709	133120	132317	134797	136841	136975	151779	151803	128666	130890	130958	133019	134838	133486	157573	140823	168453	169331	138899	176556	177970	208067	209836	210007	159539	204572	188159	188884	130508	98341	309375	117153	117778	132013	97522	126989	109945	126229	125906	124952	124952	112396	107687	98092	94271	94271	77112	47924	44985	41307	41307	39024	34504	31699	28763	28763	14521	13050	11633	12675	11689	12793	11528	11875
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-112588	-107719	-102702	-102692	-98581	-94596	-90805	-87355	-87355	-83702	-79876	-76555	-72699	-72699	-69781	-66052	-62298	-58556	-58303	-70549	-66527	-64583	-61325	-61220	-58047	-55736	-63602	-61176	-61453	-74124	-70593	-68123	-64921	-67997	-64262	-59989	-54918	-50535	-49353	-43956	-40795	-33663	-31175	-46885	-29024	-27597	-25467	-23608	-23608	-23943	-22808	-21299	-19900	-19900	-18965	-18048	-17145	-16208	-16208	-15328	-14638	-13904	-13305	-13305	-12624	-11955	-11328	-11038	-11038	-11094	-10537	-10253	0	0	0	0	0
