CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	 2010	Q4 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	46389844	45148433	41815397	42034111	42492241	44606453	40888258	40932013	40954626	38969976	45463244	42989139	38256958	38218562	37162880	37037148	37506549	33202945	33352699	34445727	36169454	35618292	33696797	33833057	32576939	31620517	32882300	33289239	33259312	32563895	29033428	30397021	28307000	28261081	25938889	25874986	23936352	20371924	20447784	25071807	25229158	26601437	19228454	19228454	28734335	16241377	16241377	10757633	7015598
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12531543	5277467	4475889	4475895	5933209	7375347	7589140	6705645	6705675	7302683	9718262	14666499	13502017	13672017	12897663	14515028	14216571	13537561	13612560	17064067	17113729	17979212	17748332	17762345	19799252	20405257	24528363	24080006	24079685	23250247	20321030	21418317	18292998	18293128	18276677	17781206	15955511	12753085	12722193	12393665	11909916	10770265	10045200	10045200	8267720	4927168	4927168	2281486	4192313
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	21109300	25891000	24915000	24915000	22599154	24019154	19844854	21602454	21602454	20998654	20697354	15040450	13577350	13407350	13367350	11522350	10332350	5898450	5823450	5322866	5993186	6086320	6099320	6083320	6366956	4196636	1736636	1683875	1683875	1050100	1061630	1113700	818400	761700	58850	21050	59200	68900	101475	114223	154523	772105	317330	317330	1414335	2201551	2201551	2521360	200000
Các khoản phải thu ngắn hạn###Short term Account Receivables	10643121	11568889	10358798	10562310	11708793	11157974	11512641	10213711	10232069	8973093	12405072	10880623	9174883	9115469	8607415	9347269	11230056	11878376	12021627	9909531	11140534	9583778	8091854	8213169	4902021	5021896	4935412	5118147	5053612	5791164	5614180	5786717	5960271	5961891	5703111	5957905	6585735	5373621	5504621	9610715	11316948	13020970	6950176	6950176	16388145	7412310	7412310	3814561	2296215
Hàng tồn kho###Inventory	1541174	1901852	1574703	1591782	1760398	1500699	1522194	1948260	1952144	1301847	2229261	2071316	1645376	1651526	1854511	1317575	1422598	1291226	1296721	1378245	1415682	1385409	1212198	1220690	1124146	1605550	1242709	1860495	1801172	1703512	1604494	1474525	2461448	2470697	1307708	1640805	837353	1613862	1533661	1834040	958327	1313258	1058438	1058438	1784439	868237	868237	1144104	235541
Tài sản ngắn hạn khác###Other Current Assets	564706	509225	491007	489123	490687	553279	419429	461943	462283	393699	413295	330252	357332	372199	435940	334927	304973	597332	598341	771018	506324	583573	545092	553533	384565	391177	439180	546717	640968	768872	432093	603761	773883	773665	592543	474019	498554	562457	585834	1119164	889443	724838	857310	857310	879696	832112	832112	843436	91529
Tài sản dài hạn###Non-current Assets	20758113	20304204	20363391	20220212	20065304	20593817	21121194	21682408	21624340	22029919	22609847	23160576	23632385	23568432	23416687	23340195	23506475	23550908	23544572	23661097	23356833	24090496	23017810	22891328	22301306	21217033	20086390	20502168	20503361	20644425	20342831	21090878	22071935	22242465	22417828	23247300	24165617	24774257	24660637	24665536	25436793	25651434	26382313	26382313	26143400	23437882	23437882	11136201	9492265
Các khoản phải thu dài hạn###Long term Account Receivable	140724	140544	127884	128406	111622	118869	110600	216829	216829	214448	207144	186793	188769	191289	202202	180973	146136	134964	134703	82832	33608	26441	140775	22637	29722	26878	24808	25491	0	1992	0	0	0	0	0	0	0	0	1578	311	4293	311	4271	4271	17235	6640	6640	86	0
Tài sản cố định ###Fixed assets	14636642	15184192	15849873	15849860	16737810	17375593	17962175	18609211	18540035	19167664	19844559	20319365	15395529	15496986	15589832	16030086	16458627	17203070	17160567	17998267	18796675	14242971	14870119	14843716	13753747	13741350	14402601	15230811	15182324	15978699	16769837	17180449	19832972	19944853	19631572	20029617	20634120	15838374	20987959	20693403	21127311	21190442	17363864	21690933	21390515	17976591	18850462	10093552	8713547
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-34268770	-33678362	-33075833	-33075833	-33839438	-33192674	-32540030	-31880678	-31954596	-31262560	-30538637	-29811376	-29131716	-29100217	-28461927	-27931600	-27263159	-26530426	-26528017	-25712966	-24890547	-23931558	-23236332	-23231650	-22492449	-21895960	-21143489	-20237840	-20225879	-19319784	-18462922	-17645457	-16812993	-16645117	-15917784	-15137539	-14327546	-13570489	-13571002	-12847778	-12095568	-11295088	-10574985	-10574985	-9864578	-7790531	-7790531	-8337258	-7306451
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	-36303	-33920	-31537	-29155	-29155	-33360	-30977	-54122	-50180	-50180	-47179	-45874	-41588	-37302	-37302	-136941	-157335	-146786	-135440	-135440	-171497	-158880	-146535	-134755	-134755	-161642	-145768	-130466	-116788	-116788	-103110	-89432	-73450	-61971	-61971	-50492	-39012	-27530	-16053	-16053	-9450	-1214	-1214	-655	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-130047	-128791	-127618	-127631	-131772	-124678	-117270	-110540	-110550	-103127	-97627	-91449	-87390	-87390	-82492	-78284	-72875	-69088	-69088	-65354	-60668	-57449	-54185	-53837	-50576	-47344	-47379	-41221	-41221	-38097	-34954	-32379	-30092	-30282	-27892	-25401	-23235	-20767	-20652	-16884	-13840	-12456	-11176	-11176	-10090	-7831	-7831	-5742	-3381
Lợi thế thương mại	52788	67996	83204	83204	113356	130796	147597	165674	165036	182475	200553	217274	235432	234794	252313	270311	287351	305190	305190	322629	340069	708211	393444	393907	416635	433852	457548	479512	482276	471207	518667	553608	0	531262	561391	580713	580713	619357	600035	619357	707214	658002	692065	692065	703711	15654	15654	0	0
Bất động sản đầu tư ###Real Estate Investment	22772	22980	23187	23187	23394	23601	23808	24015	24015	24222	24429	24636	24843	23721	24240	24134	24365	24515	70776	0	0	0	0	0	7139695	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	1101	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	394531	395427	404694	404694	59911	60964	61983	63020	63020	64240	65108	92422	92633	92633	141678	141807	143587	144206	144206	143852	143969	143529	85742	85742	85211	85231	87806	87201	87236	444016	442927	446860	445219	505219	699456	848092	867894	867827	867794	895308	1038292	925264	990464	990464	914283	1328255	1328255	629645	710486
Tài sản dài hạn khác###Other long term assets	887916	888790	936881	931150	1568652	1557026	1552782	1534135	1549996	1430633	1393470	1388296	1358828	1396097	1393156	1306376	1276814	1305579	1297348	1377190	1365847	949498	1323006	925275	876297	858150	816384	1378383	924089	887414	890331	1007049	1262482	1261130	1525410	1788878	2063567	2291090	2183949	2369300	2607793	2817985	3004579	3004579	3117656	3236872	3236872	412918	68231
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	67147956	65452636	62178787	62254323	62557545	65200270	62009452	62614420	62578965	60999895	68073091	66149716	61889343	61786994	60579566	60377343	61013023	56753854	56897271	58106824	59526287	59708788	56714606	56724385	54878246	52837550	52968690	53791407	53762672	53208320	49376259	51487899	50378935	50503546	48356717	49122286	48101969	45146181	45108421	49737343	50665951	52252871	45610767	45610767	54877735	39679259	39679259	21893834	16507863
Nợ phải trả ###Liabilities	13620273	13489515	12564256	12569850	15298612	18797911	16081250	15747295	15114380	16742953	23025431	20371490	18617835	18626768	19208546	19000221	18529035	15910006	16039764	15902923	18233008	16096501	13825543	13830394	10994954	11290168	12595417	16112059	16079060	16098037	12428786	14384828	15345611	15369123	13292155	15133789	14937904	16310931	16353385	21765191	23282442	24728434	20591724	20591724	28185322	17012303	17012303	14303221	10920872
