CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	6378970	6143244	7342055	7659222	7605462	7613451	7884673	8204357	8498307	8802367	9273945	9619215	9582551	9624435	10168582	10140686	10268019	9328210	8380379	9067833	10251056	9125589	9434378	9936678	8929023	8273337	10663717	10893487	11588825	10392191	9713143	10911240	11132938	10874876	11228653	11179111	13133457	12590794	14125278	13683156	10696295	12496570	9770329	9826006	10564364	11082019	10104398	7784691	6618809	4520774	4407830	1790159	3590395	4336046	3216469	2628832	756767
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	319720	243577	365818	362444	482719	603100	722014	862899	885223	913176	773941	796623	901207	901922	765851	840896	835999	1322735	1272615	1136983	896686	750357	873244	870282	547590	765930	867225	1765815	1750368	1177142	802757	1206389	1597774	1621077	829310	499511	510428	736104	2435108	871025	1502335	1851900	784019	865996	850085	1512649	1093498	1521462	1137179	590483	903147	191323	474324	478635	327442	552360	44130
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	228349	296291	301149	301149	209172	145719	178023	132466	133482	76949	53184	71116	102202	101602	105791	107567	104803	102679	154267	99726	103279	113036	119608	121578	55436	69867	98700	124084	139525	152064	143829	47548	47220	77219	166480	165749	180208	229959	305484	305882	127551	134197	128652	96777	470132	451363	574544	512122	174826	105659	128392	141497	136553	140274	200854	84130	524
Các khoản phải thu ngắn hạn###Short term Account Receivables	3109870	3069658	3138862	3305809	3257674	3111891	3099596	3094235	3238906	2996112	3571496	3569387	3511011	3483424	3546919	3154958	3575933	2977588	3085225	3174349	3814629	3609647	3522633	3598354	2785311	2855389	3498181	3909159	4674411	4546918	3667511	4914398	4016937	4135734	5581458	6516362	7240733	5851095	6760599	7569261	4305742	5544763	4511561	4929142	5666647	6002671	5443776	3843648	3306251	2782555	2265485	1337746	1891315	2440224	1611299	968172	309721
Hàng tồn kho###Inventory	2585085	2368763	3368312	3524566	3495732	3587329	3715339	3948688	4072457	4645794	4705906	4982965	4892745	4960599	5522667	5783402	5481688	4766306	3703992	4478847	5058275	4320795	4615299	5034927	5198981	4197925	5804360	4616960	4539082	4038214	3817102	3615637	4061557	3630509	3130968	2461789	3298878	3696767	4213409	4485151	4282528	4389818	3868221	3469693	3177907	2679603	2516075	1653077	1738306	859770	895891	64423	971499	1145387	949663	919636	319075
Tài sản ngắn hạn khác###Other Current Assets	135946	164954	167914	165255	160165	165412	169701	166069	168238	170336	169418	199124	175386	176889	227354	253863	269596	158901	164280	177928	378185	331753	303594	311537	341705	384226	395250	477468	485439	477854	1281945	1127268	1409450	1410337	1520437	1535700	1903210	2076869	410678	451839	478139	575893	477877	464397	399592	435733	476506	254382	262246	182307	214916	55170	116704	131526	127213	104533	83317
Tài sản dài hạn###Non-current Assets	2049470	2443543	2326726	2323476	2353841	2387348	2441919	2464083	3045064	2644492	2688929	2728502	3093370	3199066	3264323	3322552	3460237	3637505	4547679	4388432	4420166	5557664	5428391	5317984	6223919	6242728	4500240	4185743	4355323	4227829	4218030	5317443	5382722	5593972	6168377	6306772	5991460	6363222	6041949	5716690	6581161	7019024	7002740	7549106	6663878	6354873	7272493	4719004	5277886	3396386	2648629	2170735	2058108	2068757	1642663	1174071	104494
Các khoản phải thu dài hạn###Long term Account Receivable	115548	121795	117562	110670	112689	112689	112882	119631	118232	198284	208762	207848	297964	303851	299130	295601	305960	308186	507008	509555	540030	517586	524579	417912	1115671	1120192	745656	174082	218932	218932	218932	199244	199210	165626	4667	4667	4667	5356	5356	4667	4667	5459	5367	5367	5572	5637	11686	4924	12303	101	0	0	0	-100	-100	0	0
Tài sản cố định ###Fixed assets	1295677	1317638	1339949	1340569	1367995	1395466	1416667	1441872	1441091	1470042	1497003	1524367	1549223	1511243	1533590	1553849	1580659	1717351	1715293	1698592	1725518	1702902	1723292	1720346	1748581	1754890	1744616	2686205	1754588	1781591	1816225	2409005	3536230	3810517	4248588	4337533	4323671	2479996	3994574	3423681	3881113	4073408	1818352	4592251	3789556	3393253	3760215	796203	1954891	937867	833206	61263	639239	662308	693199	478265	59119
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-763876	-713003	-711556	-712409	-699420	-691106	-687782	-678253	-678925	-678402	-663767	-645950	-627946	-620933	-608678	-646647	-633074	-611168	-611925	-591481	-554233	-531089	-505833	-508767	-494993	-462157	-430945	-411424	-415265	-455907	-434845	-655164	-617006	-610817	-595647	-566734	-554060	-521409	-507167	-457543	-410783	-382193	-356509	-344808	-328189	-299131	-275971	-241180	-231339	-185154	-174920	-8644	-269571	0	0	-147320	0
