CAN DOI KE TOAN	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	Q4 2013	 2012	Q4 2012
Tài sản ngắn hạn###Current Assets	270736	270736	272962	274327	300365	300856	303593	302713	336892	328437	322159	322143	294871	244224	263128	206234	195139	213918	220638	220828	197267	197267	214044	133835	133835	105753	105753
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2323	2323	3943	4109	4934	3681	3683	3086	5037	3454	4415	4415	3530	1965	1060	913	826	1205	1397	1198	923	923	5651	530	530	544	544
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	2050	6000	6000	6000	6000	3950	3000	3000	3000	3000	3000	10060	19060	19060	19060	30000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	198610	198610	199199	200398	225580	227324	230079	227898	236523	173342	183195	183179	184240	130271	147833	113546	101955	114826	116629	116104	91932	91932	106372	63461	63461	26123	26123
Hàng tồn kho###Inventory	69794	69794	69794	69794	69794	69794	69695	69543	89097	143914	127878	127878	102367	106404	107463	85925	86508	93130	91394	84259	76928	76928	62471	46053	46053	53043	53043
Tài sản ngắn hạn khác###Other Current Assets	10	10	27	27	58	58	136	136	234	1726	671	671	784	2584	3771	2851	2851	1758	1158	207	8424	8424	9549	23791	23791	26043	26043
Tài sản dài hạn###Non-current Assets	41767	41767	39657	42806	45959	45959	46033	75765	113584	133567	129069	129183	129377	124979	112597	116756	128555	116959	91050	89755	92053	92053	77698	67732	67732	61867	61867
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	2036	2349	2349	2349	2333	2333	2333	2333	2333	2333	2270	297	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	30285	30285	27665	30814	33963	33963	34038	51275	101691	105756	96143	96143	96725	92248	95373	98818	98819	95447	78509	76176	78897	77634	64546	64886	61846	57710	57710
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-22911	-22911	-22911	-19761	-16612	-16612	-16997	-16997	-49802	-46440	-43320	-43320	-40323	-37574	-34712	-32086	-32086	-29501	-26945	-24405	-21898	-21898	-19697	-13730	-13730	-7119	-7119
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	-3416	-4864	-4160	-3456	-3456	-2803	-2049	-1460	-641	-641	-244	-59	0	0	0	0	0	0	0	0
