CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008
Tài sản ngắn hạn###Current Assets	366638	325451	254792	254689	214449	292135	257193	264832	264832	278499	248470	260196	247468	247608	219372	196614	226585	205564	204168	116246	175465	216270	225284	205243	219431	219663	235582	201685	201729	188670	203912	224898	226899	223662	195145	183587	195920	205278	205280	165888	168541	205591	196862	196255	162332	185209	165285	142645	142645	163087	134209	131520	127208	67603
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	59528	60318	36533	36533	45532	90512	51245	90315	90315	93381	105120	109806	97052	97052	68393	60520	77366	67431	67431	29720	57913	28464	27805	65905	136158	79133	103409	55896	55896	88570	94402	129922	126567	126567	122625	109286	124681	119154	119154	96737	78286	95039	86029	86029	91000	106781	93491	78156	78156	113311	78222	71760	81931	29118
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	95300	82400	63500	63500	20500	25300	25300	9500	9500	9500	0	0	0	0	0	0	0	0	0	0	28100	87600	97600	59500	8100	67600	57600	57600	57600	12600	4500	0	0	0	0	0	0	0	0	0	0	25000	25000	25000	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	62646	65304	49705	49602	31162	39550	44469	34839	34839	58869	30690	42969	41269	41409	53528	27861	48334	50891	49495	21774	28762	43456	41346	21305	20016	15463	17174	17685	17729	23705	29810	28935	23900	20663	24939	25850	17767	24809	24811	19990	30542	27108	23531	22939	21622	26433	25308	27152	27152	21451	25986	31309	20471	9845
Hàng tồn kho###Inventory	145275	115373	104650	104650	115224	133640	134091	128854	128854	112932	108263	104290	108495	108495	91476	102427	95569	81191	81191	56227	54294	51807	52664	52664	52455	57032	56796	58563	58563	54445	67336	61353	70419	70419	46231	46997	52099	59390	59390	47802	55572	55627	58989	58989	46731	47847	42313	35465	35465	26507	28523	26364	23510	28589
Tài sản ngắn hạn khác###Other Current Assets	3888	2056	404	404	2031	3132	2089	1323	1323	3817	4397	3130	653	653	5975	5807	5315	6051	6051	8525	6396	4943	5869	5869	2702	435	603	11941	11941	9350	7864	4687	6013	6013	1350	1454	1374	1924	1924	1360	4141	2818	3312	3297	2979	4148	4173	1873	1873	1818	1478	2087	1296	51
Tài sản dài hạn###Non-current Assets	312537	316378	321699	321802	327399	333151	338524	343987	343987	350060	353253	358286	358275	358147	361918	365871	349866	336579	337975	310489	263730	182406	146584	166625	137993	110569	110461	112575	112575	114729	98916	95551	95433	98579	82121	82773	68851	70701	70701	69485	65122	60344	61111	61111	57488	53464	51337	45644	45644	44218	40176	40771	38518	33866
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	254763	257939	262541	262541	267475	272329	277191	281788	281788	279457	284677	289083	293215	309742	310885	51508	47475	50101	50101	51489	54127	55090	57708	57708	59827	62461	65098	68931	67662	69213	66228	66718	68545	68545	65517	66162	68134	69984	69984	68769	64377	59558	50937	60283	56618	52552	50382	37196	43301	41812	38069	38642	36367	31627
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-126132	-121287	-116401	-116401	-111473	-106536	-101507	-96442	-96442	-91389	-86044	-80735	-76108	-96347	-91150	-86133	-83529	-80903	-80903	-78595	-75957	-73341	-70723	-70723	-68266	-65632	-62995	-60335	-60335	-57688	-55134	-53117	-50620	-50620	-48302	-45953	-44164	-41854	-41854	-40608	-38777	-36901	-35541	-35541	-34170	-32843	-31398	-29730	-29730	-28624	-27521	-26661	-25571	-22341
