CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014
Tài sản ngắn hạn###Current Assets	1201556	1111104	934209	980861	1098684	1198788	1168337	982159	907969	1053335	1098962	1070938	866091	867648	1029287	903897	984345	633117	878093	1007967	1254303	1069486	818435	818435	964826	948602
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	237560	189876	80101	80101	110075	301859	257855	73323	71253	127946	173449	59956	54163	51096	58716	45667	60491	38383	38383	168265	250611	109543	74286	74286	147569	172982
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2000	1000	1000	1000	1000	1000	1000	1000	3000	3000	3000	1000	1000	4000	1000	1000	6000	6000	6277	6000	5000	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	465511	515318	622573	675385	576285	409298	495864	648427	573780	555630	534119	643930	535411	536430	556780	464437	535865	311215	556337	437591	485025	481300	362916	362916	417399	387178
Hàng tồn kho###Inventory	469403	364634	216809	210607	377570	459598	376166	233782	233760	320880	347970	316208	234289	232949	381897	367130	342928	242804	241345	364294	472073	440446	338768	338768	335620	332977
Tài sản ngắn hạn khác###Other Current Assets	27083	40276	13726	13767	33754	27033	37452	25627	26175	45879	40424	49843	41228	43173	30893	25663	39062	34714	35751	31817	41594	38198	42466	42466	64238	55464
Tài sản dài hạn###Non-current Assets	2797191	2858936	2902350	2904715	2892080	2845276	2912256	2971733	2970591	3123889	3175759	3234893	3284527	3282805	3384227	3477136	3594169	3613485	3611754	3689265	3798972	3818223	3950746	3950746	4052442	4093499
Các khoản phải thu dài hạn###Long term Account Receivable	105505	103151	97047	97047	96765	96505	96465	90595	90595	90210	89969	76615	70840	70840	102616	100576	101173	95668	82713	82014	82032	81894	76996	76996	75984	46295
Tài sản cố định ###Fixed assets	2081188	2169469	2219590	2218214	2261197	2229232	2317789	2387612	2390138	2510562	2565999	2654620	2690207	2692156	2776572	2856499	2960919	3037449	3037449	3113381	3222319	3309915	3391973	3391973	3490842	3649552
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3768304	-3677492	-3606584	-3607962	-3549021	-3501026	-3440632	-3369150	-3366624	-3213736	-3155133	-3068255	-3028481	-3026531	-2939758	-2849961	-2759726	-2679425	-2679425	-2581377	-2473706	-2380345	-2280182	-2280182	-2220336	-2020299
