CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	403439	314779	316680	401978	266856	244517	228195	228647	187487	214803	262133	295423	298631	271174	307888	244752	271564	271188	336452	340927	262423	223630	223636	220736	236746	224800	247924	246816	251793	215658	169497	187902	187867	182065	162143	181456	239802	237197	255027	197758	183062	170675	170675	178521	166909	177521	178646	178646	160444	66147	39258	14548
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	37118	66183	66183	18432	12058	18586	38495	38519	20916	21254	52651	30866	30866	10701	16917	24577	29698	29695	54569	31630	32715	43907	43907	31771	19082	34827	69900	51795	13813	28578	27411	10207	10207	21136	12670	23794	66367	78656	23207	25631	24447	13937	13937	37815	42883	28288	30583	30583	41394	1929	6956	1880
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14000	14000	14000	16000	20000	20000	20000	38089	21589	23149	20830	20000	20000	20000	20000	32531	44531	32531	20000	20000	0	18000	18000	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	298022	198255	200931	226066	181213	163839	171491	171538	109833	117555	145316	173630	173630	172478	192122	126294	134017	134229	158315	127912	95951	60569	60576	47603	79574	28778	48998	48379	69941	78370	45075	95932	95933	35349	32131	20816	57006	57838	31343	42919	62752	55673	55673	66417	71415	92563	70764	70764	28967	15068	4141	2770
Hàng tồn kho###Inventory	67640	50305	49533	153162	68790	58116	18153	18537	55446	72671	63814	88347	91186	86083	95650	90605	105539	104911	123355	172978	116412	69304	69304	113607	106430	113951	101776	101303	138756	76286	65467	52865	52863	93343	84750	93707	62152	59630	173373	98115	82118	66905	66905	55648	36998	39363	57973	57973	69904	32282	26156	8836
Tài sản ngắn hạn khác###Other Current Assets	658	36	33	4319	4796	3977	55	53	1292	3324	352	2581	2950	1913	3199	3276	2310	2353	213	8408	3345	35849	35849	11756	11659	27244	7251	7251	7694	9275	10713	8898	8864	12236	12593	10608	9747	8542	7104	11093	13746	16159	16159	18641	15613	17306	19327	19327	20180	16868	2005	1061
Tài sản dài hạn###Non-current Assets	38166	39262	39262	39329	39478	39778	39167	39116	59562	69234	35896	34781	34781	32219	28887	27995	27939	27939	28551	33606	7007	7881	7876	8679	9564	10142	11004	11078	11028	15389	16508	17624	18370	18590	18839	16923	17899	17989	19511	19785	20571	21591	21591	21419	29236	20308	4121	4121	4323	1697	862	2504
Các khoản phải thu dài hạn###Long term Account Receivable	135	125	125	125	7	7	58	7	20979	32390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	37877	38990	38990	39054	39340	39626	28424	28424	28442	25988	26127	26398	26398	26721	27049	27407	27939	27939	28551	33562	6891	7689	7689	8416	9218	9721	10500	10609	10484	14761	15760	16755	16755	16673	17600	15494	16288	16305	16956	17643	18363	19160	19160	19486	29154	3808	4009	4009	4323	1697	862	2504
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-6829	-5671	-5671	-5384	-5098	-4812	-4629	-4629	-4451	-4366	-4288	-4207	-4207	-4072	-3933	-3764	-3575	-3575	-3368	-5532	-5190	-4877	-4822	-4505	-4215	-4598	-4304	-4625	-4301	-5608	-5115	-4616	-4616	-4156	-3706	-3315	-2959	-2973	-2555	-2268	-1935	-1604	-1604	-1279	-1082	-827	-724	-724	-743	-415	-237	-132
