CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	2367253	2177849	2301780	2349612	2095657	1430273	1445649	1368946	1362519	1147561	1099910	919079	1050552	1049726	1103002	1253283	1085195	1193969	1243344	985609	972769	778906	890299	890299	800012	847768	1018236	1209710	1209710	1030017	1082430	1120094	1321960	1313607	1202473	1147221	1069800	1234414	1239746	1329901	1446470	1088957	1443964	1443964	1293274	1174469	1015657	887541	890186	777227	647172	434989	702230	554579	557666	685340	772075	535568	494351
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	112407	242223	669749	668749	509364	231524	343215	362430	362430	317081	331060	193316	240787	240787	275018	364648	271801	293464	293390	306034	284540	256511	401150	401150	320397	351519	264967	465482	465482	371314	397438	325191	485621	484617	337458	244299	298608	446219	446219	598703	598089	365262	636573	636573	589723	527373	509996	423855	423855	337894	180164	127052	227520	199098	119238	253281	322611	319861	304272
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1526918	1300845	968455	969455	895638	588124	494293	344260	344260	265306	218170	218365	297864	297864	376462	409855	375417	532036	532036	287860	306609	209252	200694	200694	88741	101728	355117	359731	359731	148508	142032	265046	232658	218132	228705	201441	109095	119282	119282	55429	123999	121778	147254	147254	97860	41939	43398	42694	42694	40713	43713	69321	103935	104126	81059	111857	105868	31700	30276
Các khoản phải thu ngắn hạn###Short term Account Receivables	272394	214474	227153	230468	185865	164824	194470	297005	297005	173743	204669	238602	218231	218231	193693	174464	240571	160167	160165	150892	147942	126489	107103	107103	113282	165500	117484	108064	108064	158416	204653	222447	234753	237823	322150	328120	339426	329969	335403	337218	342953	325899	297388	297388	306820	372103	267335	229542	229542	220569	240970	137373	243001	130399	220445	163472	143662	56919	42949
Hàng tồn kho###Inventory	294148	311764	327129	373785	383548	292182	328091	307902	294555	324663	293492	224515	257999	257174	221440	271989	165405	177263	226733	204542	194925	112302	148295	148295	226335	186961	186544	215123	215123	300044	261799	245704	322311	326418	275138	327717	288380	316727	316625	313446	353657	248541	346479	346479	265484	223450	180944	188573	191218	161370	171197	96299	124313	119882	123249	135923	188108	125144	114556
Tài sản ngắn hạn khác###Other Current Assets	161385	108542	109295	107155	121242	153619	85581	57349	64269	66767	52519	44280	35670	35670	36389	32326	32001	31040	31019	36280	38754	74351	33058	33058	51256	42061	94124	61311	61311	51734	76509	61706	46618	46618	39022	45644	34290	22216	22216	25106	27771	27478	16270	16270	33387	9604	13985	2877	2877	16681	11128	4945	3461	1075	13675	20807	11826	1944	2299
Tài sản dài hạn###Non-current Assets	3596799	3417579	3552733	3554961	3673758	3856770	3777348	3718384	3723990	3565720	3397833	3299717	3244472	3243570	3122628	2980994	2975506	2666390	2610787	2603065	2481880	2472604	2410072	2410072	2370334	2283603	2240823	2219120	2219120	2043353	2095322	2100717	2081230	2102281	2006989	1915050	1894481	1866717	1869239	1752639	1639388	1636229	1644381	1644381	1571106	1452557	1464196	1417812	1410446	1368174	1352908	1339611	1166811	1277984	1114737	1039866	1051633	1012846	446879
Các khoản phải thu dài hạn###Long term Account Receivable	5459	6499	6479	6479	8350	8379	9280	9261	9261	9407	8231	8328	8303	8303	17476	8643	8660	7310	7310	6070	8079	10360	10360	10360	10444	6571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1793815	1487230	1427186	1435271	1493247	1452277	1197838	1212115	1212115	1197606	1220879	912105	922982	922982	925819	949725	600922	621568	621568	554106	559828	521660	532810	532810	540179	550467	564542	1847206	578173	580331	582635	555374	1620092	1620999	1509190	1433877	1400406	547831	1399914	1250773	1136929	1134896	573120	1146929	1004287	870313	867470	527246	842058	759490	687544	643109	676289	660085	666253	669322	711596	729415	297581
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-629837	-616452	-596912	-592866	-609936	-597442	-598482	-589701	-589701	-589733	-611286	-619170	-610222	-610222	-607511	-623435	-614604	-629229	-629229	-642994	-634624	-641536	-640518	-640518	-655657	-636285	-656484	-649794	-649794	-652737	-643290	-644736	-645589	-645730	-657224	-651652	-655792	-650773	-650773	-647702	-639980	-637435	-637910	-637910	-626105	-619635	-615963	-603978	-603978	-603390	-600581	-597368	-594667	-594300	-600782	-588549	-595190	-556986	0
